book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Job,1,1,Job 1:1,True,128,626000000,True,7,7,True,8,8,,,,
Job,1,2,Job 1:2,False,1680000000,1680000000,True,10,10,True,10,10,,,,
Job,1,3,Job 1:3,True,145,432000000,True,9,9,True,9,9,,,,
Job,1,4,Job 1:4,False,315000000,315000000,True,8,8,True,8,8,,,,
Job,1,5,Job 1:5,False,265000000,265000000,True,10,10,True,10,10,,,,
Job,1,6,Job 1:6,False,129000000,129000000,True,9,9,True,9,9,,,,
Job,1,7,Job 1:7,True,133,0,True,10,10,True,10,10,,,,
Job,1,8,Job 1:8,False,123000000,123000000,True,9,9,True,9,9,,,,
Job,1,9,Job 1:9,False,83900000,83900000,True,10,10,True,10,10,,,,
Job,1,10,Job 1:10,True,132,0,True,9,9,True,9,9,,,,
Job,1,11,Job 1:11,True,134,81200000,True,9,9,True,8,8,,,,
Job,1,12,Job 1:12,False,99600000,99600000,True,10,10,True,10,10,,,,
Job,1,13,Job 1:13,False,65000000,65000000,True,9,9,True,9,9,,,,
Job,1,14,Job 1:14,False,62500000,62500000,True,10,10,True,10,10,,,,
Job,1,15,Job 1:15,False,80000000,80000000,True,10,10,True,10,10,,,,
Job,1,16,Job 1:16,False,62500000,62500000,True,9,9,True,9,9,,,,
Job,1,17,Job 1:17,False,50800000,50800000,True,10,10,True,10,10,,,,
Job,1,18,Job 1:18,False,52100000,52100000,True,10,10,True,10,10,,,,
Job,1,19,Job 1:19,False,44400000,44400000,True,10,10,True,10,10,,,,
Job,1,20,Job 1:20,True,134,0,True,10,10,True,10,10,,,,
Job,1,21,Job 1:21,False,42300000,42300000,True,8,8,True,8,8,,,,
Job,1,22,Job 1:22,True,133,0,True,10,10,True,10,10,,,,
Job,2,1,Job 2:1,True,133,281000000,True,9,9,True,9,9,,,,
Job,2,2,Job 2:2,False,147000000,147000000,True,9,9,True,9,9,,,,
Job,2,3,Job 2:3,False,1300000000,1300000000,True,10,10,True,10,10,,,,
Job,2,4,Job 2:4,True,131,0,True,10,10,True,10,10,,,,
Job,2,5,Job 2:5,True,124,160000000,True,10,10,True,10,10,,,,
Job,2,6,Job 2:6,False,74300000,74300000,True,10,10,True,10,10,,,,
Job,2,7,Job 2:7,False,51900000,51900000,True,10,10,True,10,10,,,,
Job,2,8,Job 2:8,False,50800000,50800000,True,10,10,True,10,10,,,,
Job,2,9,Job 2:9,True,132,37600000,True,8,8,True,9,9,,,,
Job,2,10,Job 2:10,False,64000000,64000000,True,10,10,True,10,10,,,,
Job,2,11,Job 2:11,False,31500000,31500000,True,10,10,True,10,10,,,,
Job,2,12,Job 2:12,False,39100000,39100000,True,10,10,True,10,10,,,,
Job,2,13,Job 2:13,False,27600000,27600000,True,10,10,True,10,10,,,,
Job,3,1,Job 3:1,True,126,158000000,True,10,10,True,10,10,,,,
Job,3,2,Job 3:2,True,122,0,True,10,10,True,10,10,,,,
Job,3,3,Job 3:3,True,129,98000000,True,9,9,True,9,9,,,,
Job,3,4,Job 3:4,False,1010000000,1010000000,True,8,8,True,8,8,,,,
Job,3,5,Job 3:5,False,265000000,265000000,True,9,9,True,9,9,,,,
Job,3,6,Job 3:6,False,191000000,191000000,True,9,9,True,9,9,,,,
Job,3,7,Job 3:7,True,129,61300000,True,9,9,True,9,9,,,,
Job,3,8,Job 3:8,False,72800000,72800000,True,10,10,True,10,10,,,,
Job,3,9,Job 3:9,False,39300000,39300000,True,10,10,True,10,10,,,,
Job,3,10,Job 3:10,False,54800000,54800000,True,9,9,True,9,9,,,,
Job,3,11,Job 3:11,False,29700000,29700000,True,10,10,True,10,10,,,,
Job,3,12,Job 3:12,False,36200000,36200000,True,10,10,True,10,10,,,,
Job,3,13,Job 3:13,False,25800000,25800000,True,10,10,True,10,10,,,,
Job,3,14,Job 3:14,False,25400000,25400000,True,10,10,True,10,10,,,,
Job,3,15,Job 3:15,False,32700000,32700000,True,10,10,True,10,10,,,,
Job,3,16,Job 3:16,True,126,0,True,10,10,True,10,10,,,,
Job,3,17,Job 3:17,True,131,23300000,True,10,10,True,10,10,,,,
Job,3,18,Job 3:18,False,23100000,23100000,True,10,10,True,10,10,,,,
Job,3,19,Job 3:19,False,20900000,20900000,True,10,10,True,10,10,,,,
Job,3,20,Job 3:20,False,27800000,27800000,True,10,10,True,10,10,,,,
Job,3,21,Job 3:21,False,20900000,20900000,True,10,10,True,10,10,,,,
Job,3,22,Job 3:22,False,19900000,19900000,True,10,10,True,10,10,,,,
Job,3,23,Job 3:23,False,20100000,20100000,True,9,9,True,9,9,,,,
Job,3,24,Job 3:24,False,20000000,20000000,True,10,10,True,10,10,,,,
Job,3,25,Job 3:25,False,23700000,23700000,True,10,10,True,10,10,,,,
Job,3,26,Job 3:26,True,126,20400000,True,10,10,True,10,10,,,,
Job,4,1,Job 4:1,False,133000000,133000000,True,9,9,True,9,9,,,,
Job,4,2,Job 4:2,False,80800000,80800000,True,9,9,True,9,9,,,,
Job,4,3,Job 4:3,False,93800000,93800000,True,9,9,True,9,9,,,,
Job,4,4,Job 4:4,False,83200000,83200000,True,10,10,True,10,10,,,,
Job,4,5,Job 4:5,False,747000000,747000000,True,8,8,True,8,8,,,,
Job,4,6,Job 4:6,False,164000000,164000000,True,10,10,True,10,10,,,,
Job,4,7,Job 4:7,False,70700000,70700000,True,9,9,True,9,9,,,,
Job,4,8,Job 4:8,False,71900000,71900000,True,9,8,True,9,8,,,,
Job,4,9,Job 4:9,False,40900000,40900000,True,10,10,True,10,10,,,,
Job,4,10,Job 4:10,False,53100000,53100000,True,10,10,True,10,10,,,,
Job,4,11,Job 4:11,True,127,30700000,True,10,10,True,10,10,,,,
Job,4,12,Job 4:12,True,131,33000000,True,10,10,True,10,10,,,,
Job,4,13,Job 4:13,False,24100000,24100000,True,10,10,True,10,10,,,,
Job,4,14,Job 4:14,True,130,0,True,10,10,True,10,10,,,,
Job,4,15,Job 4:15,True,129,27500000,True,10,10,True,10,10,,,,
Job,4,16,Job 4:16,True,126,23100000,True,10,10,True,10,10,,,,
Job,4,17,Job 4:17,False,20000000,20000000,True,9,9,True,9,9,,,,
Job,4,18,Job 4:18,False,21600000,21600000,True,10,10,True,10,10,,,,
Job,4,19,Job 4:19,False,19800000,19800000,True,10,10,True,10,10,,,,
Job,4,20,Job 4:20,False,27800000,27800000,True,10,10,True,10,10,,,,
Job,4,21,Job 4:21,False,18600000,18600000,True,10,10,True,10,10,,,,
Job,5,1,Job 5:1,False,116000000,116000000,True,10,10,True,10,10,,,,
Job,5,2,Job 5:2,False,75500000,75500000,True,10,10,True,10,10,,,,
Job,5,3,Job 5:3,False,63000000,63000000,True,10,10,True,10,10,,,,
Job,5,4,Job 5:4,False,79900000,79900000,True,10,10,True,10,10,,,,
Job,5,5,Job 5:5,False,97000000,97000000,True,9,9,True,9,9,,,,
Job,5,6,Job 5:6,False,807000000,807000000,True,10,10,True,10,10,,,,
Job,5,7,Job 5:7,False,124000000,124000000,True,10,10,True,10,10,,,,
Job,5,8,Job 5:8,True,105,94200000,True,10,10,True,9,9,,,,
Job,5,9,Job 5:9,False,56900000,56900000,True,10,10,True,10,10,,,,
Job,5,10,Job 5:10,False,148000000,148000000,True,10,10,True,10,10,,,,
Job,5,11,Job 5:11,False,39800000,39800000,True,10,9,True,10,9,,,,
Job,5,12,Job 5:12,False,60300000,60300000,True,10,10,True,10,10,,,,
Job,5,13,Job 5:13,False,27600000,27600000,True,10,10,True,10,10,,,,
