book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Luke,1,1,Luke 1:1,False,55400000,55400000,True,8,8,True,8,8,7.74351,2.61792,0.859818,0.890419
Luke,1,2,Luke 1:2,False,124000000,124000000,True,7,7,True,7,7,8.093422,3.310391,0.957053,0.974232
Luke,1,3,Luke 1:3,False,47500000,47500000,True,8,8,True,8,8,7.676694,2.485692,0.841251,0.870463
Luke,1,4,Luke 1:4,False,71300000,71300000,True,9,9,True,9,9,7.85309,2.834777,0.890268,0.923146
Luke,1,5,Luke 1:5,False,28300000,28300000,True,8,8,True,8,8,7.451786,2.040603,0.778753,0.803292
Luke,1,6,Luke 1:6,False,39700000,39700000,True,10,10,True,10,10,7.598791,2.331522,0.819603,0.847196
Luke,1,7,Luke 1:7,False,17100000,17100000,True,10,10,True,10,10,7.232996,1.60762,0.717954,0.737947
Luke,1,8,Luke 1:8,False,36900000,36900000,True,10,10,True,10,10,7.567026,2.268662,0.810776,0.83771
Luke,1,9,Luke 1:9,False,15600000,15600000,True,10,10,True,10,10,7.193125,1.528715,0.706875,0.726039
Luke,1,10,Luke 1:10,False,43900000,43900000,True,10,10,True,10,10,7.642465,2.417953,0.831739,0.86024
Luke,1,11,Luke 1:11,False,14700000,14700000,True,10,10,True,10,10,7.167317,1.477643,0.699703,0.718332
Luke,1,12,Luke 1:12,False,15500000,15500000,True,10,10,True,10,10,7.190332,1.523188,0.706099,0.725205
Luke,1,13,Luke 1:13,False,12800000,12800000,True,8,8,True,8,8,7.10721,1.358691,0.683001,0.70038
Luke,1,14,Luke 1:14,False,23200000,23200000,True,10,9,True,10,9,7.365488,1.86982,0.754772,0.777518
Luke,1,15,Luke 1:15,False,14200000,14200000,True,10,10,True,10,10,7.152288,1.4479,0.695527,0.713843
Luke,1,16,Luke 1:16,False,22600000,22600000,True,10,10,True,10,10,7.354108,1.8473,0.75161,0.774119
Luke,1,17,Luke 1:17,False,10900000,10900000,True,10,10,True,10,10,7.037427,1.22059,0.663609,0.679538
Luke,1,18,Luke 1:18,False,20200000,20200000,True,10,10,True,10,10,7.305351,1.75081,0.738061,0.759557
Luke,1,19,Luke 1:19,False,15900000,15900000,True,10,10,True,10,10,7.201397,1.545086,0.709174,0.72851
Luke,1,20,Luke 1:20,False,11800000,11800000,True,10,10,True,10,10,7.071882,1.288777,0.673184,0.689829
Luke,1,21,Luke 1:21,False,9150000,9150000,True,10,10,True,10,10,6.961421,1.070177,0.642488,0.656838
Luke,1,22,Luke 1:22,False,7820000,7820000,True,10,10,True,10,10,6.893207,0.935181,0.623533,0.636465
Luke,1,23,Luke 1:23,False,7270000,7270000,True,10,10,True,10,10,6.861534,0.872502,0.614731,0.627006
Luke,1,24,Luke 1:24,False,7700000,7700000,True,8,8,True,8,8,6.886491,0.92189,0.621666,0.634459
Luke,1,25,Luke 1:25,False,8220000,8220000,True,9,9,True,9,9,6.914872,0.978056,0.629553,0.642936
Luke,1,26,Luke 1:26,False,8400000,8400000,True,8,8,True,8,8,6.924279,0.996674,0.632167,0.645745
Luke,1,27,Luke 1:27,False,6940000,6940000,True,9,9,True,9,9,6.84136,0.832576,0.609125,0.62098
Luke,1,28,Luke 1:28,False,6430000,6430000,True,7,7,True,7,7,6.808211,0.766976,0.599914,0.61108
Luke,1,29,Luke 1:29,False,6270000,6270000,True,8,8,True,8,8,6.797268,0.745319,0.596873,0.607812
Luke,1,30,Luke 1:30,False,11200000,11200000,True,8,8,True,8,8,7.049218,1.243926,0.666886,0.68306
Luke,1,31,Luke 1:31,False,5810000,5810000,True,9,9,True,9,9,6.764176,0.679832,0.587677,0.597928
Luke,1,32,Luke 1:32,False,4600000,4600000,True,10,10,True,10,10,6.662758,0.479126,0.559495,0.567639
Luke,1,33,Luke 1:33,False,3200000,3200000,True,10,10,True,10,10,6.50515,0.167222,0.515698,0.520567
Luke,1,34,Luke 1:34,False,3060000,3060000,True,9,9,True,9,9,6.485722,0.128773,0.510299,0.514764
Luke,1,35,Luke 1:35,False,4460000,4460000,True,9,9,True,9,9,6.649335,0.452562,0.555765,0.56363
Luke,1,36,Luke 1:36,False,2940000,2940000,True,10,10,True,10,10,6.468347,0.09439,0.505471,0.509575
Luke,1,37,Luke 1:37,False,3900000,3900000,True,8,8,True,8,8,6.591065,0.337246,0.539572,0.546226
Luke,1,38,Luke 1:38,False,3270000,3270000,True,9,9,True,9,9,6.514548,0.18582,0.518309,0.523374
Luke,1,39,Luke 1:39,False,2960000,2960000,True,9,9,True,9,9,6.471292,0.100217,0.506289,0.510455
Luke,1,40,Luke 1:40,False,4090000,4090000,True,10,10,True,10,10,6.611723,0.378129,0.545313,0.552396
Luke,1,41,Luke 1:41,False,2440000,2440000,True,9,9,True,9,9,6.38739,-0.065823,0.482974,0.485396
Luke,1,42,Luke 1:42,False,2250000,2250000,True,10,10,True,10,10,6.352183,-0.135498,0.473191,0.474881
Luke,1,43,Luke 1:43,False,3340000,3340000,True,10,10,True,10,10,6.523747,0.204024,0.520866,0.526121
Luke,1,44,Luke 1:44,False,1760000,1760000,True,10,10,True,10,10,6.245513,-0.346596,0.443549,0.443023
Luke,1,45,Luke 1:45,False,3960000,3960000,True,8,8,True,8,8,6.597695,0.350368,0.541415,0.548207
