book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Matthew,1,1,Matthew 1:1 bible,False,10700000,10700000,True,9,9,True,9,9,,,,
Matthew,1,2,Matthew 1:2 bible,False,17800000,17800000,True,9,9,True,9,9,,,,
Matthew,1,3,Matthew 1:3 bible,True,117,12200000,True,8,8,True,8,8,,,,
Matthew,1,4,Matthew 1:4 bible,False,9850000,9850000,True,8,8,True,8,8,,,,
Matthew,1,5,Matthew 1:5 bible,False,9390000,9390000,True,8,8,True,8,8,,,,
Matthew,1,6,Matthew 1:6 bible,False,8490000,8490000,True,9,9,True,9,9,,,,
Matthew,1,7,Matthew 1:7 bible,False,7620000,7620000,True,8,8,True,8,8,,,,
Matthew,1,8,Matthew 1:8 bible,False,7910000,7910000,True,9,9,True,9,9,,,,
Matthew,1,9,Matthew 1:9 bible,False,7460000,7460000,True,9,9,True,9,9,,,,
Matthew,1,10,Matthew 1:10 bible,False,6540000,6540000,True,9,9,True,9,9,,,,
Matthew,1,11,Matthew 1:11 bible,False,6470000,6470000,True,10,10,True,10,10,,,,
Matthew,1,12,Matthew 1:12 bible,False,6280000,6280000,True,9,9,True,9,9,,,,
Matthew,1,13,Matthew 1:13 bible,False,5480000,5480000,True,7,7,True,7,7,,,,
Matthew,1,14,Matthew 1:14 bible,False,5460000,5460000,True,9,9,True,9,9,,,,
Matthew,1,15,Matthew 1:15 bible,True,138,0,True,10,10,True,10,10,,,,
Matthew,1,16,Matthew 1:16 bible,False,4960000,4960000,True,9,9,True,9,9,,,,
Matthew,1,17,Matthew 1:17 bible,False,4750000,4750000,True,9,9,True,9,9,,,,
Matthew,1,18,Matthew 1:18 bible,False,5300000,5300000,True,9,9,True,9,9,,,,
Matthew,1,19,Matthew 1:19 bible,False,3810000,3810000,True,9,9,True,9,9,,,,
Matthew,1,20,Matthew 1:20 bible,False,4750000,4750000,True,9,9,True,9,9,,,,
Matthew,1,21,Matthew 1:21 bible,False,4050000,4050000,True,9,9,True,9,9,,,,
Matthew,1,22,Matthew 1:22 bible,True,131,3350000,True,9,9,True,9,9,,,,
Matthew,1,23,Matthew 1:23 bible,True,123,3070000,True,7,7,True,10,10,,,,
Matthew,1,24,Matthew 1:24 bible,False,2270000,2270000,True,9,9,True,9,9,,,,
Matthew,1,25,Matthew 1:25 bible,False,2040000,2040000,True,9,9,True,9,9,,,,
Matthew,2,1,Matthew 2:1 bible,False,8340000,8340000,True,9,9,True,9,9,,,,
Matthew,2,2,Matthew 2:2 bible,False,5300000,5300000,True,9,9,True,9,9,,,,
Matthew,2,3,Matthew 2:3 bible,False,12100000,12100000,True,9,9,True,9,9,,,,
Matthew,2,4,Matthew 2:4 bible,True,133,7320000,True,9,9,True,9,9,,,,
Matthew,2,5,Matthew 2:5 bible,False,5470000,5470000,True,9,9,True,9,9,,,,
Matthew,2,6,Matthew 2:6 bible,False,4520000,4520000,True,9,9,True,9,9,,,,
Matthew,2,7,Matthew 2:7 bible,False,4040000,4040000,True,9,9,True,9,9,,,,
Matthew,2,8,Matthew 2:8 bible,False,5320000,5320000,True,10,10,True,10,10,,,,
Matthew,2,9,Matthew 2:9 bible,False,4750000,4750000,True,9,9,True,9,9,,,,
Matthew,2,10,Matthew 2:10 bible,False,4540000,4540000,True,9,9,True,9,9,,,,
Matthew,2,11,Matthew 2:11 bible,False,4010000,4010000,True,9,9,True,9,9,,,,
Matthew,2,12,Matthew 2:12 bible,False,3660000,3660000,True,9,9,True,9,9,,,,
Matthew,2,13,Matthew 2:13 bible,False,3970000,3970000,True,8,8,True,8,8,,,,
Matthew,2,14,Matthew 2:14 bible,True,63,0,True,10,10,True,10,10,,,,
Matthew,2,15,Matthew 2:15 bible,False,3930000,3930000,True,9,9,True,9,9,,,,
Matthew,2,16,Matthew 2:16 bible,True,133,3050000,True,10,10,True,10,10,,,,
Matthew,2,17,Matthew 2:17 bible,False,2930000,2930000,True,10,10,True,10,10,,,,
Matthew,2,18,Matthew 2:18 bible,False,2510000,2510000,True,9,9,True,9,9,,,,
Matthew,2,19,Matthew 2:19 bible,False,2720000,2720000,True,9,9,True,9,9,,,,
Matthew,2,20,Matthew 2:20 bible,False,3300000,3300000,True,10,10,True,10,10,,,,
Matthew,2,21,Matthew 2:21 bible,True,140,2120000,True,10,10,True,10,10,,,,
Matthew,2,22,Matthew 2:22 bible,False,2150000,2150000,True,10,10,True,10,10,,,,
