book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Romans,1,1,Romans 1:1 bible,True,132,6710000,True,8,8,True,9,9,,,,
Romans,1,2,Romans 1:2 bible,False,12100000,12100000,True,9,9,True,9,9,,,,
Romans,1,3,Romans 1:3 bible,False,8530000,8530000,True,9,9,True,9,9,,,,
Romans,1,4,Romans 1:4 bible,False,6800000,6800000,True,9,9,True,9,9,,,,
Romans,1,5,Romans 1:5 bible,False,6500000,6500000,True,9,9,True,9,9,,,,
Romans,1,6,Romans 1:6 bible,False,5550000,5550000,True,8,8,True,8,8,,,,
Romans,1,7,Romans 1:7 bible,True,138,5440000,True,8,8,True,9,9,,,,
Romans,1,8,Romans 1:8 bible,False,5440000,5440000,True,8,8,True,8,8,,,,
Romans,1,9,Romans 1:9 bible,False,5340000,5340000,True,9,9,True,9,9,,,,
Romans,1,10,Romans 1:10 bible,False,4350000,4350000,True,9,9,True,9,9,,,,
Romans,1,11,Romans 1:11 bible,False,4330000,4330000,True,8,8,True,8,8,,,,
Romans,1,12,Romans 1:12 bible,False,4330000,4330000,True,10,10,True,10,10,,,,
Romans,1,13,Romans 1:13 bible,True,138,0,True,9,9,True,9,9,,,,
Romans,1,14,Romans 1:14 bible,False,3970000,3970000,True,9,9,True,9,9,,,,
Romans,1,15,Romans 1:15 bible,False,3660000,3660000,True,9,9,True,9,9,,,,
Romans,1,16,Romans 1:16 bible,False,3970000,3970000,True,7,7,True,7,7,,,,
Romans,1,17,Romans 1:17 bible,False,3800000,3800000,True,8,8,True,8,8,,,,
Romans,1,18,Romans 1:18 bible,True,130,3940000,True,9,9,True,8,8,,,,
Romans,1,19,Romans 1:19 bible,False,2710000,2710000,True,9,9,True,9,9,,,,
Romans,1,20,Romans 1:20 bible,False,3650000,3650000,True,8,8,True,8,8,,,,
Romans,1,21,Romans 1:21 bible,False,3140000,3140000,True,9,9,True,9,9,,,,
Romans,1,22,Romans 1:22 bible,False,2340000,2340000,True,9,9,True,9,9,,,,
Romans,1,23,Romans 1:23 bible,False,1750000,1750000,True,8,8,True,8,8,,,,
Romans,1,24,Romans 1:24 bible,False,1360000,1360000,True,9,9,True,9,9,,,,
Romans,1,25,Romans 1:25 bible,False,1150000,1150000,True,9,9,True,9,9,,,,
Romans,1,26,Romans 1:26 bible,False,2490000,2490000,True,8,8,True,8,8,,,,
Romans,1,27,Romans 1:27 bible,False,2470000,2470000,True,9,9,True,9,9,,,,
Romans,1,28,Romans 1:28 bible,False,1300000,1300000,True,8,8,True,8,8,,,,
Romans,1,29,Romans 1:29 bible,True,134,1270000,True,9,9,True,9,9,,,,
