book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
1 Corinthians,1,1,1 Corinthians 1:1,False,15500000,15500000,True,8,8,True,8,8,7.190332,2.16226,0.853111,0.856017
1 Corinthians,1,2,1 Corinthians 1:2,False,35400000,35400000,True,9,9,True,9,9,7.549003,2.965536,1.0,0.997702
1 Corinthians,1,3,1 Corinthians 1:3,False,18600000,18600000,True,8,8,True,8,8,7.269513,2.339593,0.885539,0.887296
1 Corinthians,1,4,1 Corinthians 1:4,False,11400000,11400000,True,9,9,True,9,9,7.056905,1.863439,0.798468,0.80331
1 Corinthians,1,5,1 Corinthians 1:5,False,11200000,11200000,True,10,10,True,10,10,7.049218,1.846223,0.79532,0.800274
1 Corinthians,1,6,1 Corinthians 1:6,False,11200000,11200000,True,10,10,True,10,10,7.049218,1.846223,0.79532,0.800274
1 Corinthians,1,7,1 Corinthians 1:7,False,8000000,8000000,True,9,9,True,9,9,6.90309,1.518957,0.735476,0.742549
1 Corinthians,1,8,1 Corinthians 1:8,False,7860000,7860000,True,8,8,True,8,8,6.895423,1.501785,0.732335,0.73952
1 Corinthians,1,9,1 Corinthians 1:9,False,7530000,7530000,True,8,8,True,8,8,6.876795,1.460067,0.724707,0.732162
1 Corinthians,1,10,1 Corinthians 1:10,False,8090000,8090000,True,9,9,True,9,9,6.907949,1.529838,0.737465,0.744468
1 Corinthians,1,11,1 Corinthians 1:11,False,6970000,6970000,True,9,9,True,9,9,6.843233,1.384902,0.710962,0.718904
1 Corinthians,1,12,1 Corinthians 1:12,False,5690000,5690000,True,10,10,True,10,10,6.755112,1.187548,0.674873,0.684094
1 Corinthians,1,13,1 Corinthians 1:13,False,4890000,4890000,True,8,8,True,8,8,6.689309,1.040175,0.647925,0.6581
1 Corinthians,1,14,1 Corinthians 1:14,False,6220000,6220000,True,10,10,True,10,10,6.79379,1.274171,0.690713,0.699373
1 Corinthians,1,15,1 Corinthians 1:15,False,4760000,4760000,True,9,9,True,9,9,6.677607,1.013968,0.643132,0.653477
1 Corinthians,1,16,1 Corinthians 1:16,False,4690000,4690000,True,10,10,True,10,10,6.671173,0.999558,0.640497,0.650936
1 Corinthians,1,17,1 Corinthians 1:17,False,4410000,4410000,True,8,8,True,8,8,6.644439,0.939685,0.629549,0.640375
1 Corinthians,1,18,1 Corinthians 1:18,False,4870000,4870000,True,8,8,True,8,8,6.687529,1.036189,0.647196,0.657397
1 Corinthians,1,19,1 Corinthians 1:19,False,3630000,3630000,True,10,10,True,10,10,6.559907,0.750368,0.59493,0.606982
1 Corinthians,1,20,1 Corinthians 1:20,False,5380000,5380000,True,7,7,True,7,7,6.730782,1.133059,0.664909,0.674483
1 Corinthians,1,21,1 Corinthians 1:21,False,3750000,3750000,True,10,10,True,10,10,6.574031,0.782001,0.600714,0.612562
1 Corinthians,1,22,1 Corinthians 1:22,False,3230000,3230000,True,10,10,True,10,10,6.509203,0.636812,0.574165,0.586953
1 Corinthians,1,23,1 Corinthians 1:23,False,3110000,3110000,True,9,9,True,9,9,6.492761,0.599988,0.567431,0.580458
1 Corinthians,1,24,1 Corinthians 1:24,False,1760000,1760000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
1 Corinthians,1,25,1 Corinthians 1:25,False,1410000,1410000,True,9,9,True,9,9,6.149219,-0.169402,0.426739,0.44475
1 Corinthians,1,26,1 Corinthians 1:26,False,3430000,3430000,True,9,9,True,9,9,6.535294,0.695246,0.58485,0.59726
