book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
2 Chronicles,1,1,2 Chronicles 1:1,False,14700000,14700000,True,10,10,True,10,10,,,,
2 Chronicles,1,2,2 Chronicles 1:2,False,34000000,34000000,True,9,9,True,9,9,,,,
2 Chronicles,1,3,2 Chronicles 1:3,False,12800000,12800000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Chronicles,1,4,2 Chronicles 1:4,False,10600000,10600000,True,9,9,True,9,9,,,,
2 Chronicles,1,5,2 Chronicles 1:5,False,8550000,8550000,True,8,8,True,8,8,,,,
2 Chronicles,1,6,2 Chronicles 1:6,False,6700000,6700000,True,10,10,True,10,10,,,,
2 Chronicles,1,7,2 Chronicles 1:7,False,5520000,5520000,True,10,10,True,10,10,,,,
2 Chronicles,1,8,2 Chronicles 1:8,False,6780000,6780000,True,10,10,True,10,10,,,,
2 Chronicles,1,9,2 Chronicles 1:9,False,4640000,4640000,True,10,10,True,10,10,,,,
2 Chronicles,1,10,2 Chronicles 1:10,False,6690000,6690000,True,9,9,True,9,9,,,,
2 Chronicles,1,11,2 Chronicles 1:11,False,4800000,4800000,True,10,10,True,10,10,,,,
2 Chronicles,1,12,2 Chronicles 1:12,False,5650000,5650000,True,9,9,True,9,9,,,,
2 Chronicles,1,13,2 Chronicles 1:13,False,3880000,3880000,True,9,9,True,9,9,,,,
2 Chronicles,1,14,2 Chronicles 1:14,False,4020000,4020000,True,9,9,True,9,9,,,,
2 Chronicles,1,15,2 Chronicles 1:15,False,4230000,4230000,True,9,9,True,9,9,,,,
2 Chronicles,1,16,2 Chronicles 1:16,False,4560000,4560000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Chronicles,1,17,2 Chronicles 1:17,False,3650000,3650000,True,9,9,True,9,9,,,,
2 Chronicles,1,18,2 Chronicles 1:18,False,3740000,3740000,True,9,9,True,9,9,,,,
2 Chronicles,2,1,2 Chronicles 2:1,False,9150000,9150000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Chronicles,2,2,2 Chronicles 2:2,False,6350000,6350000,True,8,8,True,8,8,,,,
2 Chronicles,2,3,2 Chronicles 2:3,False,22000000,22000000,True,8,8,True,8,8,,,,
2 Chronicles,2,4,2 Chronicles 2:4,False,7540000,7540000,True,10,10,True,10,10,,,,
2 Chronicles,2,5,2 Chronicles 2:5,False,5310000,5310000,True,9,9,True,9,9,,,,
2 Chronicles,2,6,2 Chronicles 2:6,False,3690000,3690000,True,10,10,True,10,10,,,,
2 Chronicles,2,7,2 Chronicles 2:7,False,2880000,2880000,True,9,9,True,9,9,,,,
2 Chronicles,2,8,2 Chronicles 2:8,False,3190000,3190000,True,10,10,True,10,10,,,,
2 Chronicles,2,9,2 Chronicles 2:9,True,118,2650000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Chronicles,2,10,2 Chronicles 2:10,False,4330000,4330000,True,9,9,True,9,9,,,,
2 Chronicles,2,11,2 Chronicles 2:11,False,2400000,2400000,True,10,10,True,10,10,,,,
2 Chronicles,2,12,2 Chronicles 2:12,False,3490000,3490000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Chronicles,2,13,2 Chronicles 2:13,False,2190000,2190000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Chronicles,2,14,2 Chronicles 2:14,False,2450000,2450000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Chronicles,2,15,2 Chronicles 2:15,False,2440000,2440000,True,9,9,True,9,9,,,,
2 Chronicles,2,16,2 Chronicles 2:16,False,1520000,1520000,True,9,9,True,9,9,,,,
2 Chronicles,2,17,2 Chronicles 2:17,False,1560000,1560000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Chronicles,3,1,2 Chronicles 3:1,False,7310000,7310000,True,9,9,True,9,9,,,,
2 Chronicles,3,2,2 Chronicles 3:2,False,6950000,6950000,True,9,9,True,9,9,,,,
2 Chronicles,3,3,2 Chronicles 3:3,False,5800000,5800000,True,9,9,True,9,9,,,,
2 Chronicles,3,4,2 Chronicles 3:4,False,19200000,19200000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Chronicles,3,5,2 Chronicles 3:5,False,8820000,8820000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Chronicles,3,6,2 Chronicles 3:6,False,5240000,5240000,True,9,9,True,9,9,,,,
2 Chronicles,3,7,2 Chronicles 3:7,False,4000000,4000000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Chronicles,3,8,2 Chronicles 3:8,False,4650000,4650000,True,9,9,True,9,9,,,,
2 Chronicles,3,9,2 Chronicles 3:9,False,4220000,4220000,True,9,9,True,9,9,,,,
2 Chronicles,3,10,2 Chronicles 3:10,False,4150000,4150000,True,9,9,True,9,9,,,,
2 Chronicles,3,11,2 Chronicles 3:11,False,3780000,3780000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Chronicles,3,12,2 Chronicles 3:12,False,3530000,3530000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Chronicles,3,13,2 Chronicles 3:13,False,3580000,3580000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Chronicles,3,14,2 Chronicles 3:14,False,2880000,2880000,True,10,10,True,10,10,,,,
2 Chronicles,3,15,2 Chronicles 3:15,False,3500000,3500000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Chronicles,3,16,2 Chronicles 3:16,False,4740000,4740000,True,9,9,True,9,9,,,,
2 Chronicles,3,17,2 Chronicles 3:17,False,2770000,2770000,True,8,8,True,8,8,,,,
2 Chronicles,4,1,2 Chronicles 4:1,False,6090000,6090000,True,9,9,True,9,9,,,,
2 Chronicles,4,2,2 Chronicles 4:2,False,4550000,4550000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Chronicles,4,3,2 Chronicles 4:3,False,6210000,6210000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Chronicles,4,4,2 Chronicles 4:4,False,5150000,5150000,True,8,8,True,8,8,,,,
2 Chronicles,4,5,2 Chronicles 4:5,False,15900000,15900000,True,8,8,True,8,8,,,,
2 Chronicles,4,6,2 Chronicles 4:6,False,8860000,8860000,True,10,10,True,10,10,,,,
2 Chronicles,4,7,2 Chronicles 4:7,True,5190000,5190000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Chronicles,4,8,2 Chronicles 4:8,False,5360000,5360000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
