book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
2 Peter,1,1,2 Peter 1:1,False,196000000,196000000,True,10,10,True,10,10,8.292256,1.563274,0.696792,0.722293
2 Peter,1,2,2 Peter 1:2,False,647000000,647000000,True,8,8,True,8,8,8.810904,2.859547,1.0,0.990636
2 Peter,1,3,2 Peter 1:3,False,188000000,188000000,True,9,9,True,9,9,8.274158,1.51804,0.686211,0.712929
2 Peter,1,4,2 Peter 1:4,False,140000000,140000000,True,9,9,True,9,9,8.146128,1.198051,0.611363,0.646688
2 Peter,1,5,2 Peter 1:5,False,126000000,126000000,True,9,9,True,9,9,8.100371,1.083688,0.584613,0.623014
2 Peter,1,6,2 Peter 1:6,False,75500000,75500000,True,10,10,True,10,10,7.877947,0.527778,0.454581,0.507934
2 Peter,1,7,2 Peter 1:7,False,110000000,110000000,True,9,9,True,9,9,8.041393,0.936283,0.550134,0.592499
2 Peter,1,8,2 Peter 1:8,False,69400000,69400000,True,9,9,True,9,9,7.841359,0.436334,0.433192,0.489004
2 Peter,1,9,2 Peter 1:9,False,52500000,52500000,True,9,9,True,9,9,7.720159,0.133414,0.362336,0.426296
2 Peter,1,10,2 Peter 1:10,False,83400000,83400000,True,10,10,True,10,10,7.921166,0.635797,0.479848,0.530295
2 Peter,1,11,2 Peter 1:11,False,42800000,42800000,True,10,10,True,10,10,7.631444,-0.088315,0.310472,0.380396
2 Peter,1,12,2 Peter 1:12,False,103000000,103000000,True,9,9,True,9,9,8.012837,0.864913,0.53344,0.577725
2 Peter,1,13,2 Peter 1:13,False,36300000,36300000,True,9,9,True,9,9,7.559907,-0.26711,0.268651,0.343383
2 Peter,1,14,2 Peter 1:14,False,36100000,36100000,True,9,9,True,9,9,7.557507,-0.273107,0.267248,0.342142
2 Peter,1,15,2 Peter 1:15,False,39500000,39500000,True,9,9,True,9,9,7.596597,-0.175409,0.2901,0.362366
2 Peter,1,16,2 Peter 1:16,False,32800000,32800000,True,9,9,True,9,9,7.515874,-0.377163,0.242909,0.320601
2 Peter,1,17,2 Peter 1:17,False,28400000,28400000,True,10,10,True,10,10,7.453318,-0.53351,0.206338,0.288235
2 Peter,1,18,2 Peter 1:18,False,29900000,29900000,True,9,9,True,9,9,7.475671,-0.477642,0.219406,0.299801
2 Peter,1,19,2 Peter 1:19,False,68200000,68200000,True,10,10,True,10,10,7.833784,0.417401,0.428763,0.485085
2 Peter,1,20,2 Peter 1:20,False,34000000,34000000,True,8,8,True,8,8,7.531479,-0.33816,0.252031,0.328675
2 Peter,1,21,2 Peter 1:21,False,44500000,44500000,True,9,9,True,9,9,7.64836,-0.046036,0.320362,0.389148
2 Peter,2,1,2 Peter 2:1,False,119000000,119000000,True,9,9,True,9,9,8.075547,1.021646,0.570101,0.61017
2 Peter,2,2,2 Peter 2:2,False,83100000,83100000,True,9,9,True,9,9,7.919601,0.631885,0.478933,0.529485
2 Peter,2,3,2 Peter 2:3,False,468000000,468000000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Peter,2,4,2 Peter 2:4,False,106000000,106000000,True,9,9,True,9,9,8.025306,0.896077,0.540729,0.584176
2 Peter,2,5,2 Peter 2:5,False,157000000,157000000,True,9,9,True,9,9,8.1959,1.322447,0.64046,0.672439
2 Peter,2,6,2 Peter 2:6,False,93600000,93600000,True,10,10,True,10,10,7.971276,0.761038,0.509142,0.556221
2 Peter,2,7,2 Peter 2:7,False,31000000,31000000,True,10,10,True,10,10,7.491362,-0.438427,0.228578,0.307919
2 Peter,2,8,2 Peter 2:8,False,32800000,32800000,True,10,10,True,10,10,7.515874,-0.377163,0.242909,0.320601
2 Peter,2,9,2 Peter 2:9,False,26000000,26000000,True,10,10,True,10,10,7.414973,-0.629346,0.183921,0.268396
2 Peter,2,10,2 Peter 2:10,False,29100000,29100000,True,10,10,True,10,10,7.463893,-0.50708,0.21252,0.293707
2 Peter,2,11,2 Peter 2:11,False,18900000,18900000,True,10,10,True,10,10,7.276462,-0.975533,0.102945,0.196732
2 Peter,2,12,2 Peter 2:12,False,19300000,19300000,True,10,10,True,10,10,7.285557,-0.9528,0.108263,0.201438
2 Peter,2,13,2 Peter 2:13,False,34400000,34400000,True,10,10,True,10,10,7.536558,-0.325465,0.255001,0.331303
2 Peter,2,14,2 Peter 2:14,False,16100000,16100000,True,10,10,True,10,10,7.206826,-1.149576,0.062235,0.160703
2 Peter,2,15,2 Peter 2:15,False,17600000,17600000,True,9,9,True,9,9,7.245513,-1.052885,0.084852,0.180719
2 Peter,2,16,2 Peter 2:16,False,14300000,14300000,True,9,9,True,9,9,7.155336,-1.278266,0.032134,0.134062
2 Peter,2,17,2 Peter 2:17,False,25000000,25000000,True,10,10,True,10,10,7.39794,-0.671918,0.173963,0.259583
2 Peter,2,18,2 Peter 2:18,False,25900000,25900000,True,10,10,True,10,10,7.4133,-0.633529,0.182942,0.26753
2 Peter,2,19,2 Peter 2:19,False,12600000,12600000,True,10,10,True,10,10,7.100371,-1.415643,0.0,0.105624
2 Peter,2,20,2 Peter 2:20,False,54000000,54000000,True,10,10,True,10,10,7.732394,0.163992,0.369489,0.432626
2 Peter,2,21,2 Peter 2:21,False,13800000,13800000,True,10,10,True,10,10,7.139879,-1.316898,0.023097,0.126065
2 Peter,2,22,2 Peter 2:22,False,12900000,12900000,True,9,9,True,9,9,7.11059,-1.390102,0.005974,0.110911
2 Peter,3,1,2 Peter 3:1,False,144000000,144000000,True,9,9,True,9,9,8.158362,1.228629,0.618516,0.653018
2 Peter,3,2,2 Peter 3:2,False,71400000,71400000,True,9,9,True,9,9,7.853698,0.467172,0.440405,0.495388
2 Peter,3,3,2 Peter 3:3,False,55600000,55600000,True,9,9,True,9,9,7.745075,0.195686,0.376902,0.439187
2 Peter,3,4,2 Peter 3:4,False,364000000,364000000,True,9,9,True,9,9,8.561101,2.235207,0.853962,0.861391
2 Peter,3,5,2 Peter 3:5,False,110000000,110000000,True,10,10,True,10,10,8.041393,0.936283,0.550134,0.592499
2 Peter,3,6,2 Peter 3:6,False,56800000,56800000,True,9,9,True,9,9,7.754348,0.218864,0.382324,0.443985
2 Peter,3,7,2 Peter 3:7,False,77600000,77600000,True,10,10,True,10,10,7.889862,0.557557,0.461547,0.514098
2 Peter,3,8,2 Peter 3:8,False,34300000,34300000,True,9,9,True,9,9,7.535294,-0.328625,0.254262,0.330649
2 Peter,3,9,2 Peter 3:9,False,26800000,26800000,True,7,7,True,7,7,7.428135,-0.596452,0.191615,0.275206
2 Peter,3,10,2 Peter 3:10,False,27600000,27600000,True,9,9,True,9,9,7.440909,-0.564524,0.199083,0.281815
2 Peter,3,11,2 Peter 3:11,False,18600000,18600000,True,10,10,True,10,10,7.269513,-0.9929,0.098883,0.193136
2 Peter,3,12,2 Peter 3:12,False,20700000,20700000,True,9,9,True,9,9,7.31597,-0.876788,0.126042,0.217173
2 Peter,3,13,2 Peter 3:13,False,15300000,15300000,True,9,9,True,9,9,7.184691,-1.204897,0.049295,0.149251
2 Peter,3,14,2 Peter 3:14,False,15300000,15300000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Peter,3,15,2 Peter 3:15,False,18200000,18200000,True,10,10,True,10,10,7.260071,-1.016498,0.093363,0.188251
2 Peter,3,16,2 Peter 3:16,False,20200000,20200000,True,9,9,True,9,9,7.305351,-0.903328,0.119834,0.211679
2 Peter,3,17,2 Peter 3:17,False,14000000,14000000,True,9,9,True,9,9,7.146128,-1.30128,0.02675,0.129298
2 Peter,3,18,2 Peter 3:18,False,25800000,25800000,True,9,9,True,9,9,7.41162,-0.637728,0.18196,0.266661
