book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
2 Samuel,1,1,2 Samuel 1:1,False,65300000,65300000,True,8,8,True,8,8,7.814913,2.46333,0.746109,0.811888
2 Samuel,1,2,2 Samuel 1:2,False,396000000,396000000,True,9,9,True,9,9,8.597695,4.151891,1.0,1.0
2 Samuel,1,3,2 Samuel 1:3,False,61200000,61200000,True,9,9,True,9,9,7.786751,2.402581,0.736975,0.802357
2 Samuel,1,4,2 Samuel 1:4,False,47400000,47400000,True,8,8,True,8,8,7.675778,2.163198,0.700982,0.764802
2 Samuel,1,5,2 Samuel 1:5,False,36700000,36700000,True,8,8,True,8,8,7.564666,1.923515,0.664943,0.7272
2 Samuel,1,6,2 Samuel 1:6,False,25000000,25000000,True,9,9,True,9,9,7.39794,1.563865,0.610867,0.670778
2 Samuel,1,7,2 Samuel 1:7,False,21000000,21000000,True,8,8,True,8,8,7.322219,1.400526,0.586307,0.645153
2 Samuel,1,8,2 Samuel 1:8,False,50400000,50400000,True,9,9,True,9,9,7.702431,2.22069,0.709626,0.773822
2 Samuel,1,9,2 Samuel 1:9,False,42700000,42700000,True,10,10,True,10,10,7.630428,2.065371,0.686273,0.749455
2 Samuel,1,10,2 Samuel 1:10,False,25100000,25100000,True,9,9,True,9,9,7.399674,1.567605,0.611429,0.671364
2 Samuel,1,11,2 Samuel 1:11,False,16700000,16700000,True,9,9,True,9,9,7.222716,1.185886,0.554034,0.611479
2 Samuel,1,12,2 Samuel 1:12,False,43000000,43000000,True,8,8,True,8,8,7.633468,2.07193,0.687259,0.750484
2 Samuel,1,13,2 Samuel 1:13,False,14400000,14400000,True,9,9,True,9,9,7.158363,1.047066,0.533161,0.589701
2 Samuel,1,14,2 Samuel 1:14,False,14200000,14200000,True,9,9,True,9,9,7.152288,1.033963,0.531191,0.587645
2 Samuel,1,15,2 Samuel 1:15,False,15100000,15100000,True,10,10,True,10,10,7.178977,1.091534,0.539847,0.596677
2 Samuel,1,16,2 Samuel 1:16,False,32100000,32100000,True,9,9,True,9,9,7.506505,1.798054,0.646079,0.707518
2 Samuel,1,17,2 Samuel 1:17,False,11800000,11800000,True,9,9,True,9,9,7.071882,0.860517,0.505112,0.560435
2 Samuel,1,18,2 Samuel 1:18,False,12800000,12800000,True,10,10,True,10,10,7.10721,0.936723,0.51657,0.57239
2 Samuel,1,19,2 Samuel 1:19,False,10400000,10400000,True,10,10,True,10,10,7.017033,0.742201,0.487322,0.541873
2 Samuel,1,20,2 Samuel 1:20,False,13500000,13500000,True,10,10,True,10,10,7.130334,0.986604,0.52407,0.580216
2 Samuel,1,21,2 Samuel 1:21,False,19100000,19100000,True,10,10,True,10,10,7.281033,1.311683,0.572949,0.631215
2 Samuel,1,22,2 Samuel 1:22,False,9130000,9130000,True,10,10,True,10,10,6.960471,0.620188,0.468976,0.522732
2 Samuel,1,23,2 Samuel 1:23,False,8520000,8520000,True,10,10,True,10,10,6.93044,0.555407,0.459236,0.512569
2 Samuel,1,24,2 Samuel 1:24,False,8640000,8640000,True,8,8,True,8,8,6.936514,0.56851,0.461206,0.514624
2 Samuel,1,25,2 Samuel 1:25,False,9270000,9270000,True,9,9,True,9,9,6.96708,0.634445,0.47112,0.524968
2 Samuel,1,26,2 Samuel 1:26,False,8400000,8400000,True,9,9,True,9,9,6.924279,0.542119,0.457238,0.510484
2 Samuel,1,27,2 Samuel 1:27,False,7930000,7930000,True,9,9,True,9,9,6.899273,0.488177,0.449127,0.502021
2 Samuel,2,1,2 Samuel 2:1,False,40700000,40700000,True,9,9,True,9,9,7.609594,2.020431,0.679515,0.742405
2 Samuel,2,2,2 Samuel 2:2,False,29700000,29700000,True,8,8,True,8,8,7.472756,1.725254,0.635133,0.696097
2 Samuel,2,3,2 Samuel 2:3,False,135000000,135000000,True,9,9,True,9,9,8.130334,3.143732,0.848414,0.909048
2 Samuel,2,4,2 Samuel 2:4,False,31800000,31800000,True,9,9,True,9,9,7.502427,1.789257,0.644756,0.706138
2 Samuel,2,5,2 Samuel 2:5,False,24400000,24400000,True,9,9,True,9,9,7.38739,1.541107,0.607445,0.667207
2 Samuel,2,6,2 Samuel 2:6,False,35100000,35100000,True,9,9,True,9,9,7.545307,1.881755,0.658664,0.720649
2 Samuel,2,7,2 Samuel 2:7,False,12600000,12600000,True,10,10,True,10,10,7.100371,0.92197,0.514352,0.570076
2 Samuel,2,8,2 Samuel 2:8,False,12500000,12500000,True,9,9,True,9,9,7.09691,0.914505,0.513229,0.568905
2 Samuel,2,9,2 Samuel 2:9,False,11000000,11000000,True,9,9,True,9,9,7.041393,0.794747,0.495223,0.550117
2 Samuel,2,10,2 Samuel 2:10,False,23400000,23400000,True,8,7,True,8,7,7.369216,1.501904,0.60155,0.661057
2 Samuel,2,11,2 Samuel 2:11,False,9060000,9060000,True,9,9,True,9,9,6.957128,0.612978,0.467892,0.5216
2 Samuel,2,12,2 Samuel 2:12,False,9000000,9000000,True,9,9,True,9,9,6.954243,0.606753,0.466956,0.520624
2 Samuel,2,13,2 Samuel 2:13,False,11000000,11000000,True,9,9,True,9,9,7.041393,0.794747,0.495223,0.550117
2 Samuel,2,14,2 Samuel 2:14,False,7640000,7640000,True,10,10,True,10,10,6.883093,0.453275,0.443879,0.496546
2 Samuel,2,15,2 Samuel 2:15,False,11400000,11400000,True,9,9,True,9,9,7.056905,0.828209,0.500254,0.555366
2 Samuel,2,16,2 Samuel 2:16,False,6580000,6580000,True,10,10,True,10,10,6.818226,0.313348,0.42284,0.474594
2 Samuel,2,17,2 Samuel 2:17,False,8410000,8410000,True,10,10,True,10,10,6.924796,0.543233,0.457405,0.510659
2 Samuel,2,18,2 Samuel 2:18,False,8510000,8510000,True,10,10,True,10,10,6.92993,0.554307,0.45907,0.512396
2 Samuel,2,19,2 Samuel 2:19,False,6400000,6400000,True,10,10,True,10,10,6.80618,0.287363,0.418933,0.470517
2 Samuel,2,20,2 Samuel 2:20,False,7490000,7490000,True,10,10,True,10,10,6.874482,0.434699,0.441086,0.493632
2 Samuel,2,21,2 Samuel 2:21,False,10000000,10000000,True,10,10,True,10,10,7.0,0.705458,0.481797,0.536109
2 Samuel,2,22,2 Samuel 2:22,False,5890000,5890000,True,10,10,True,10,10,6.770115,0.209567,0.407235,0.458312
2 Samuel,2,23,2 Samuel 2:23,False,5740000,5740000,True,10,10,True,10,10,6.758912,0.1854,0.403602,0.454521
