book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
2 Thessalonians,1,1,2 Thessalonians 1:1,False,3830000,3830000,True,8,8,True,8,8,6.583199,1.288666,0.781739,0.754954
2 Thessalonians,1,2,2 Thessalonians 1:2,False,5580000,5580000,True,9,9,True,9,9,6.746634,2.01027,0.98832,0.92701
2 Thessalonians,1,3,2 Thessalonians 1:3,False,4520000,4520000,True,9,9,True,9,9,6.655139,1.606296,0.87267,0.830688
2 Thessalonians,1,4,2 Thessalonians 1:4,False,3930000,3930000,True,9,9,True,9,9,6.594393,1.338089,0.795888,0.766738
2 Thessalonians,1,5,2 Thessalonians 1:5,False,3510000,3510000,True,9,9,True,9,9,6.545307,1.121366,0.733844,0.715064
2 Thessalonians,1,6,2 Thessalonians 1:6,False,3500000,3500000,True,9,9,True,9,9,6.544068,1.115895,0.732278,0.71376
2 Thessalonians,1,7,2 Thessalonians 1:7,False,3490000,3490000,True,10,10,True,10,10,6.542826,1.110409,0.730707,0.712451
2 Thessalonians,1,8,2 Thessalonians 1:8,False,3390000,3390000,True,10,10,True,10,10,6.5302,1.054663,0.714748,0.69916
2 Thessalonians,1,9,2 Thessalonians 1:9,False,3360000,3360000,True,10,10,True,10,10,6.526339,1.037619,0.709869,0.695096
2 Thessalonians,1,10,2 Thessalonians 1:10,False,2250000,2250000,True,9,9,True,9,9,6.352183,0.268678,0.489736,0.511753
2 Thessalonians,1,11,2 Thessalonians 1:11,False,2210000,2210000,True,8,8,True,8,8,6.344392,0.234283,0.479889,0.503552
2 Thessalonians,1,12,2 Thessalonians 1:12,False,2050000,2050000,True,9,9,True,9,9,6.311754,0.090177,0.438634,0.469192
2 Thessalonians,2,1,2 Thessalonians 2:1,False,2770000,2770000,True,9,9,True,9,9,6.44248,0.667361,0.603871,0.606813
2 Thessalonians,2,2,2 Thessalonians 2:2,False,1760000,1760000,True,10,10,True,10,10,6.245513,-0.202293,0.354906,0.399457
2 Thessalonians,2,3,2 Thessalonians 2:3,False,5700000,5700000,True,9,9,True,9,9,6.755875,2.051069,1.0,0.936738
2 Thessalonians,2,4,2 Thessalonians 2:4,False,2350000,2350000,True,10,10,True,10,10,6.371068,0.352061,0.513607,0.531635
2 Thessalonians,2,5,2 Thessalonians 2:5,False,1700000,1700000,True,10,10,True,10,10,6.230449,-0.268802,0.335865,0.383599
2 Thessalonians,2,6,2 Thessalonians 2:6,False,1290000,1290000,True,9,9,True,9,9,6.11059,-0.798007,0.184364,0.257418
2 Thessalonians,2,7,2 Thessalonians 2:7,False,1540000,1540000,True,10,10,True,10,10,6.187521,-0.45834,0.281605,0.338407
2 Thessalonians,2,8,2 Thessalonians 2:8,False,2360000,2360000,True,9,9,True,9,9,6.372912,0.360204,0.515938,0.533576
2 Thessalonians,2,9,2 Thessalonians 2:9,False,1800000,1800000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Thessalonians,2,10,2 Thessalonians 2:10,False,1410000,1410000,True,10,10,True,10,10,6.149219,-0.62745,0.233192,0.298085
2 Thessalonians,2,11,2 Thessalonians 2:11,False,1220000,1220000,True,9,9,True,9,9,6.08636,-0.904987,0.153738,0.23191
2 Thessalonians,2,12,2 Thessalonians 2:12,False,1020000,1020000,True,10,10,True,10,10,6.008601,-1.248313,0.05545,0.150049
2 Thessalonians,2,13,2 Thessalonians 2:13,False,1390000,1390000,True,9,9,True,9,9,6.143015,-0.654843,0.225349,0.291553
2 Thessalonians,2,14,2 Thessalonians 2:14,False,1440000,1440000,True,9,9,True,9,9,6.158363,-0.58708,0.244749,0.307711
2 Thessalonians,2,15,2 Thessalonians 2:15,False,1330000,1330000,True,9,9,True,9,9,6.123852,-0.739453,0.201127,0.27138
2 Thessalonians,2,16,2 Thessalonians 2:16,False,936000,936000,True,8,8,True,8,8,5.971276,-1.413108,0.008273,0.110756
2 Thessalonians,2,17,2 Thessalonians 2:17,False,1100000,1100000,True,10,10,True,10,10,6.041393,-1.103527,0.0969,0.184571
2 Thessalonians,3,1,2 Thessalonians 3:1,False,3450000,3450000,True,8,8,True,8,8,6.537819,1.088305,0.724379,0.707181
2 Thessalonians,3,2,2 Thessalonians 3:2,False,1390000,1390000,True,9,9,True,9,9,6.143015,-0.654843,0.225349,0.291553
2 Thessalonians,3,3,2 Thessalonians 3:3,False,1760000,1760000,True,10,10,True,10,10,6.245513,-0.202293,0.354906,0.399457
2 Thessalonians,3,4,2 Thessalonians 3:4,False,4110000,4110000,True,10,10,True,10,10,6.613842,1.423962,0.820471,0.787214
2 Thessalonians,3,5,2 Thessalonians 3:5,False,3660000,3660000,True,9,9,True,9,9,6.563481,1.201608,0.756816,0.734197
2 Thessalonians,3,6,2 Thessalonians 3:6,False,1820000,1820000,True,9,9,True,9,9,6.260072,-0.138013,0.373308,0.414784
2 Thessalonians,3,7,2 Thessalonians 3:7,False,1230000,1230000,True,9,9,True,9,9,6.089905,-0.889334,0.158219,0.235643
2 Thessalonians,3,8,2 Thessalonians 3:8,False,1380000,1380000,True,9,9,True,9,9,6.139879,-0.668688,0.221386,0.288252
2 Thessalonians,3,9,2 Thessalonians 3:9,False,1220000,1220000,True,10,10,True,10,10,6.08636,-0.904987,0.153738,0.23191
2 Thessalonians,3,10,2 Thessalonians 3:10,False,1480000,1480000,True,10,10,True,10,10,6.170262,-0.534542,0.259789,0.320237
2 Thessalonians,3,11,2 Thessalonians 3:11,False,964000,964000,True,9,9,True,9,9,5.984077,-1.356588,0.024453,0.124233
2 Thessalonians,3,12,2 Thessalonians 3:12,False,1350000,1350000,True,9,9,True,9,9,6.130334,-0.710833,0.209321,0.278204
2 Thessalonians,3,13,2 Thessalonians 3:13,False,1200000,1200000,True,9,9,True,9,9,6.079182,-0.936682,0.144664,0.224353
2 Thessalonians,3,14,2 Thessalonians 3:14,False,1080000,1080000,True,8,8,True,8,8,6.033424,-1.138712,0.086827,0.176182
2 Thessalonians,3,15,2 Thessalonians 3:15,False,1190000,1190000,True,10,10,True,10,10,6.075547,-0.952728,0.140071,0.220527
2 Thessalonians,3,16,2 Thessalonians 3:16,False,3870000,3870000,True,9,9,True,9,9,6.587711,1.308588,0.787442,0.759704
2 Thessalonians,3,17,2 Thessalonians 3:17,False,1180000,1180000,True,10,10,True,10,10,6.071882,-0.96891,0.135438,0.216669
2 Thessalonians,3,18,2 Thessalonians 3:18,False,922000,922000,True,9,9,True,9,9,5.964731,-1.442005,0.0,0.103866
