book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
2 Timothy,1,1,2 Timothy 1:1,False,28800000,28800000,True,8,8,True,8,8,7.459393,1.52472,0.663874,0.699972
2 Timothy,1,2,2 Timothy 1:2,False,72800000,72800000,True,9,9,True,9,9,7.862131,2.751187,0.922323,0.936806
2 Timothy,1,3,2 Timothy 1:3,False,30600000,30600000,True,10,10,True,10,10,7.485721,1.604899,0.68077,0.715455
2 Timothy,1,4,2 Timothy 1:4,False,23400000,23400000,True,9,9,True,9,9,7.369216,1.250103,0.606005,0.646943
2 Timothy,1,5,2 Timothy 1:5,False,42300000,42300000,True,8,8,True,8,8,7.62634,2.033129,0.771009,0.798147
2 Timothy,1,6,2 Timothy 1:6,False,13500000,13500000,True,9,9,True,9,9,7.130334,0.522632,0.452708,0.506467
2 Timothy,1,7,2 Timothy 1:7,False,13100000,13100000,True,7,7,True,7,7,7.117271,0.482852,0.444326,0.498785
2 Timothy,1,8,2 Timothy 1:8,False,13900000,13900000,True,8,8,True,8,8,7.143015,0.561249,0.460846,0.513924
2 Timothy,1,9,2 Timothy 1:9,False,24100000,24100000,True,9,9,True,9,9,7.382017,1.289087,0.61422,0.654471
2 Timothy,1,10,2 Timothy 1:10,False,14000000,14000000,True,9,9,True,9,9,7.146128,0.57073,0.462844,0.515755
2 Timothy,1,11,2 Timothy 1:11,False,9020000,9020000,True,9,9,True,9,9,6.955207,-0.010686,0.340324,0.403482
2 Timothy,1,12,2 Timothy 1:12,False,10200000,10200000,True,9,9,True,9,9,7.0086,0.151914,0.374588,0.434881
2 Timothy,1,13,2 Timothy 1:13,False,8360000,8360000,True,9,9,True,9,9,6.922206,-0.111182,0.319147,0.384076
2 Timothy,1,14,2 Timothy 1:14,False,8250000,8250000,True,8,8,True,8,8,6.916454,-0.1287,0.315456,0.380693
2 Timothy,1,15,2 Timothy 1:15,False,8780000,8780000,True,9,9,True,9,9,6.943495,-0.046353,0.332808,0.396595
2 Timothy,1,16,2 Timothy 1:16,False,17200000,17200000,True,9,9,True,9,9,7.235528,0.842983,0.520214,0.568328
2 Timothy,1,17,2 Timothy 1:17,False,6700000,6700000,True,10,10,True,10,10,6.826075,-0.403933,0.257457,0.327545
2 Timothy,1,18,2 Timothy 1:18,False,7620000,7620000,True,9,9,True,9,9,6.881955,-0.23376,0.293317,0.360406
2 Timothy,2,1,2 Timothy 2:1,False,19500000,19500000,True,9,9,True,9,9,7.290035,1.008971,0.555193,0.60038
2 Timothy,2,2,2 Timothy 2:2,False,30400000,30400000,True,9,9,True,9,9,7.482874,1.596227,0.678943,0.713781
2 Timothy,2,3,2 Timothy 2:3,False,45400000,45400000,True,10,10,True,10,10,7.657056,2.126667,0.79072,0.81621
2 Timothy,2,4,2 Timothy 2:4,False,16300000,16300000,True,9,9,True,9,9,7.212188,0.771903,0.505236,0.554602
2 Timothy,2,5,2 Timothy 2:5,False,12900000,12900000,True,9,9,True,9,9,7.11059,0.462505,0.440038,0.494856
2 Timothy,2,6,2 Timothy 2:6,False,20100000,20100000,True,10,10,True,10,10,7.303196,1.049052,0.563639,0.60812
2 Timothy,2,7,2 Timothy 2:7,False,6580000,6580000,True,10,10,True,10,10,6.818226,-0.427835,0.25242,0.32293
2 Timothy,2,8,2 Timothy 2:8,False,7530000,7530000,True,9,9,True,9,9,6.876795,-0.249474,0.290005,0.357372
2 Timothy,2,9,2 Timothy 2:9,False,11200000,11200000,True,9,9,True,9,9,7.049218,0.275609,0.400654,0.458766
2 Timothy,2,10,2 Timothy 2:10,False,7260000,7260000,True,10,10,True,10,10,6.860937,-0.297768,0.279829,0.348046
2 Timothy,2,11,2 Timothy 2:11,False,5480000,5480000,True,9,9,True,9,9,6.738781,-0.669772,0.201438,0.276211
2 Timothy,2,12,2 Timothy 2:12,False,5630000,5630000,True,9,9,True,9,9,6.750508,-0.634057,0.208964,0.283108
2 Timothy,2,13,2 Timothy 2:13,False,5280000,5280000,True,9,9,True,9,9,6.722634,-0.718943,0.191076,0.266716
