book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Acts,1,1,Acts 1:1,False,167000000,167000000,True,9,9,True,9,9,8.222716,2.75796,0.872887,0.907596
Acts,1,2,Acts 1:2,False,408000000,408000000,True,9,9,True,9,9,8.61066,3.483329,1.0,1.0
Acts,1,3,Acts 1:3,False,170000000,170000000,True,8,8,True,8,8,8.230449,2.772418,0.87542,0.91008
Acts,1,4,Acts 1:4,False,125000000,125000000,True,9,9,True,9,9,8.09691,2.52273,0.831665,0.867181
Acts,1,5,Acts 1:5,False,93000000,93000000,True,8,8,True,8,8,7.968483,2.2826,0.789585,0.825924
Acts,1,6,Acts 1:6,False,65900000,65900000,True,9,9,True,9,9,7.818885,2.002886,0.740568,0.777866
Acts,1,7,Acts 1:7,False,83800000,83800000,True,9,9,True,9,9,7.923244,2.198013,0.774762,0.811391
Acts,1,8,Acts 1:8,False,63200000,63200000,True,8,8,True,8,8,7.800717,1.968915,0.734615,0.77203
Acts,1,9,Acts 1:9,False,49300000,49300000,True,8,8,True,8,8,7.692847,1.767222,0.69927,0.737377
Acts,1,10,Acts 1:10,False,72200000,72200000,True,10,10,True,10,10,7.858537,2.077026,0.75356,0.790604
Acts,1,11,Acts 1:11,False,70900000,70900000,True,10,10,True,10,10,7.850646,2.062272,0.750974,0.788069
Acts,1,12,Acts 1:12,False,44000000,44000000,True,8,8,True,8,8,7.643453,1.674866,0.683085,0.721509
Acts,1,13,Acts 1:13,False,61800000,61800000,True,10,10,True,10,10,7.790988,1.950725,0.731427,0.768904
Acts,1,14,Acts 1:14,False,32200000,32200000,True,9,9,True,9,9,7.507856,1.42133,0.638656,0.677949
Acts,1,15,Acts 1:15,False,63800000,63800000,True,9,9,True,9,9,7.804821,1.976588,0.735959,0.773348
Acts,1,16,Acts 1:16,False,29000000,29000000,True,9,9,True,9,9,7.462398,1.336334,0.623761,0.663346
Acts,1,17,Acts 1:17,False,23600000,23600000,True,10,10,True,10,10,7.372912,1.169015,0.59444,0.634598
Acts,1,18,Acts 1:18,False,24100000,24100000,True,10,10,True,10,10,7.382017,1.186039,0.597424,0.637523
Acts,1,19,Acts 1:19,False,20300000,20300000,True,10,10,True,10,10,7.307496,1.046701,0.573006,0.613584
Acts,1,20,Acts 1:20,False,26600000,26600000,True,10,10,True,10,10,7.424882,1.266186,0.611469,0.651294
Acts,1,21,Acts 1:21,False,18500000,18500000,True,10,10,True,10,10,7.267172,0.971304,0.559793,0.60063
Acts,1,22,Acts 1:22,False,16600000,16600000,True,10,10,True,10,10,7.220108,0.883305,0.544373,0.585511
Acts,1,23,Acts 1:23,False,15800000,15800000,True,10,10,True,10,10,7.198657,0.843197,0.537344,0.57862
Acts,1,24,Acts 1:24,False,33200000,33200000,True,10,9,True,10,9,7.521138,1.446165,0.643008,0.682216
Acts,1,25,Acts 1:25,False,44600000,44600000,True,10,10,True,10,10,7.649335,1.685864,0.685013,0.723399
Acts,1,26,Acts 1:26,False,32500000,32500000,True,10,10,True,10,10,7.511883,1.42886,0.639976,0.679243
Acts,2,1,Acts 2:1,False,104000000,104000000,True,9,9,True,9,9,8.017033,2.373378,0.805493,0.841521
Acts,2,2,Acts 2:2,False,61900000,61900000,True,9,9,True,9,9,7.791691,1.952038,0.731657,0.76913
Acts,2,3,Acts 2:3,False,297000000,297000000,True,8,8,True,8,8,8.472756,3.225479,0.954815,0.972889
Acts,2,4,Acts 2:4,False,98200000,98200000,True,8,8,True,8,8,7.992111,2.32678,0.797327,0.833515
Acts,2,5,Acts 2:5,False,59900000,59900000,True,10,10,True,10,10,7.777427,1.925368,0.726983,0.764548
Acts,2,6,Acts 2:6,False,70200000,70200000,True,9,8,True,9,8,7.846337,2.054214,0.749562,0.786685
Acts,2,7,Acts 2:7,False,26100000,26100000,True,10,10,True,10,10,7.416641,1.250777,0.608768,0.648646
Acts,2,8,Acts 2:8,False,48700000,48700000,True,9,9,True,9,9,7.687529,1.757279,0.697527,0.735668
Acts,2,9,Acts 2:9,False,18900000,18900000,True,10,10,True,10,10,7.276462,0.988674,0.562837,0.603614
Acts,2,10,Acts 2:10,False,23700000,23700000,True,10,10,True,10,10,7.374748,1.172448,0.595042,0.635188
Acts,2,11,Acts 2:11,False,30500000,30500000,True,10,10,True,10,10,7.4843,1.377285,0.630938,0.670382
Acts,2,12,Acts 2:12,False,32600000,32600000,True,10,10,True,10,10,7.513218,1.431355,0.640413,0.679671
Acts,2,13,Acts 2:13,False,25500000,25500000,True,10,10,True,10,10,7.40654,1.231892,0.605459,0.645401
Acts,2,14,Acts 2:14,False,13400000,13400000,True,9,9,True,9,9,7.127105,0.70941,0.513899,0.555634
Acts,2,15,Acts 2:15,False,13800000,13800000,True,10,10,True,10,10,7.139879,0.733295,0.518085,0.559737
Acts,2,16,Acts 2:16,False,11400000,11400000,True,10,10,True,10,10,7.056905,0.578152,0.490898,0.533082
Acts,2,17,Acts 2:17,False,18600000,18600000,True,10,10,True,10,10,7.269513,0.975681,0.560561,0.601382
Acts,2,18,Acts 2:18,False,9860000,9860000,True,9,9,True,9,9,6.993877,0.460303,0.470246,0.512834
Acts,2,19,Acts 2:19,False,9040000,9040000,True,10,10,True,10,10,6.956168,0.389797,0.45789,0.500721
Acts,2,20,Acts 2:20,False,13200000,13200000,True,10,10,True,10,10,7.120574,0.697199,0.511759,0.553536
Acts,2,21,Acts 2:21,False,8900000,8900000,True,9,9,True,9,9,6.94939,0.377123,0.455669,0.498543
Acts,2,22,Acts 2:22,False,8800000,8800000,True,9,9,True,9,9,6.944483,0.367947,0.454061,0.496967
Acts,2,23,Acts 2:23,False,18800000,18800000,True,8,8,True,8,8,7.274158,0.984366,0.562083,0.602874
Acts,2,24,Acts 2:24,False,9070000,9070000,True,8,8,True,8,8,6.957607,0.392487,0.458362,0.501183
Acts,2,25,Acts 2:25,False,9210000,9210000,True,10,10,True,10,10,6.96426,0.404926,0.460542,0.50332
Acts,2,26,Acts 2:26,False,6580000,6580000,True,10,10,True,10,10,6.818226,0.131875,0.412692,0.456407
Acts,2,27,Acts 2:27,False,16300000,16300000,True,10,10,True,10,10,7.212188,0.868496,0.541777,0.582966
Acts,2,28,Acts 2:28,False,6470000,6470000,True,9,9,True,9,9,6.810904,0.118185,0.410293,0.454055
Acts,2,29,Acts 2:29,False,5230000,5230000,True,10,10,True,10,10,6.718502,-0.054587,0.380017,0.424371
Acts,2,30,Acts 2:30,False,10400000,10400000,True,10,10,True,10,10,7.017033,0.503601,0.477833,0.520273
Acts,2,31,Acts 2:31,False,6830000,6830000,True,10,10,True,10,10,6.834421,0.162156,0.417999,0.46161
Acts,2,32,Acts 2:32,False,3960000,3960000,True,9,9,True,9,9,6.597695,-0.280468,0.340433,0.385562
Acts,2,33,Acts 2:33,False,3460000,3460000,True,8,8,True,8,8,6.539076,-0.390073,0.321226,0.366731
Acts,2,34,Acts 2:34,False,3010000,3010000,True,9,9,True,9,9,6.478567,-0.503212,0.3014,0.347292
Acts,2,35,Acts 2:35,False,3440000,3440000,True,10,10,True,10,10,6.536559,-0.39478,0.320401,0.365922
Acts,2,36,Acts 2:36,False,3230000,3230000,True,9,9,True,9,9,6.509203,-0.44593,0.311438,0.357134
Acts,2,37,Acts 2:37,False,3100000,3100000,True,9,9,True,9,9,6.491362,-0.479288,0.305592,0.351403
Acts,2,38,Acts 2:38,False,4970000,4970000,True,8,8,True,8,8,6.696356,-0.095994,0.372761,0.417257
Acts,2,39,Acts 2:39,False,2720000,2720000,True,9,9,True,9,9,6.434569,-0.585478,0.286983,0.333158
Acts,2,40,Acts 2:40,False,4390000,4390000,True,10,10,True,10,10,6.642465,-0.19676,0.355102,0.399944
Acts,2,41,Acts 2:41,False,3540000,3540000,True,9,9,True,9,9,6.549003,-0.371511,0.324479,0.36992
Acts,2,42,Acts 2:42,False,5580000,5580000,True,8,8,True,8,8,6.746634,-0.001986,0.389235,0.433408
Acts,2,43,Acts 2:43,False,2190000,2190000,True,10,10,True,10,10,6.340444,-0.761471,0.256143,0.302921
Acts,2,44,Acts 2:44,False,2800000,2800000,True,10,10,True,10,10,6.447158,-0.561939,0.291108,0.337202
Acts,2,45,Acts 2:45,False,4860000,4860000,True,8,8,True,8,8,6.686636,-0.114168,0.369576,0.414134
Acts,2,46,Acts 2:46,False,2370000,2370000,True,9,9,True,9,9,6.374749,-0.697329,0.267383,0.313941
Acts,2,47,Acts 2:47,False,2400000,2400000,True,9,9,True,9,9,6.380211,-0.687115,0.269173,0.315696
Acts,3,1,Acts 3:1,False,67300000,67300000,True,10,10,True,10,10,7.828015,2.019956,0.743559,0.780799
Acts,3,2,Acts 3:2,False,49700000,49700000,True,10,10,True,10,10,7.696356,1.773784,0.70042,0.738504
Acts,3,3,Acts 3:3,False,75700000,75700000,True,10,10,True,10,10,7.879096,2.115466,0.760296,0.797209
Acts,3,4,Acts 3:4,False,231000000,231000000,True,8,8,True,8,8,8.363612,3.021404,0.919052,0.951431
Acts,3,5,Acts 3:5,False,89000000,89000000,True,8,8,True,8,8,7.94939,2.2469,0.783329,0.819791
Acts,3,6,Acts 3:6,False,86000000,86000000,True,9,9,True,9,9,7.934498,2.219057,0.778449,0.815007
Acts,3,7,Acts 3:7,False,57600000,57600000,True,8,8,True,8,8,7.760422,1.893573,0.721412,0.759085
Acts,3,8,Acts 3:8,False,23800000,23800000,True,10,10,True,10,10,7.376577,1.175867,0.595641,0.635776
Acts,3,9,Acts 3:9,False,18400000,18400000,True,10,10,True,10,10,7.264818,0.966903,0.559022,0.599874
Acts,3,10,Acts 3:10,False,21900000,21900000,True,9,9,True,9,9,7.340444,1.108307,0.583802,0.624168
Acts,3,11,Acts 3:11,False,33600000,33600000,True,10,10,True,10,10,7.526339,1.45589,0.644712,0.683887
Acts,3,12,Acts 3:12,False,33900000,33900000,True,10,10,True,10,10,7.5302,1.463108,0.645977,0.685127
Acts,3,13,Acts 3:13,False,23600000,23600000,True,8,8,True,8,8,7.372912,1.169015,0.59444,0.634598
Acts,3,14,Acts 3:14,False,12100000,12100000,True,9,9,True,9,9,7.082785,0.626542,0.499378,0.541396
Acts,3,15,Acts 3:15,False,14700000,14700000,True,10,10,True,10,10,7.167317,0.784598,0.527075,0.568552
Acts,3,16,Acts 3:16,False,17700000,17700000,True,9,9,True,9,9,7.247973,0.935407,0.553503,0.594462
Acts,3,17,Acts 3:17,False,10600000,10600000,True,8,8,True,8,8,7.025306,0.519069,0.480544,0.522931
Acts,3,18,Acts 3:18,False,10200000,10200000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
