book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Colossians,1,1,Colossians 1:1,False,4680000,4680000,True,10,10,True,10,10,6.670246,1.001287,0.44302,0.532564
Colossians,1,2,Colossians 1:2,False,6950000,6950000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Colossians,1,3,Colossians 1:3,False,5050000,5050000,True,8,8,True,8,8,6.703291,1.0965,0.457904,0.547842
Colossians,1,4,Colossians 1:4,False,4340000,4340000,True,9,9,True,9,9,6.63749,0.906908,0.428266,0.51742
Colossians,1,5,Colossians 1:5,False,4090000,4090000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Colossians,1,6,Colossians 1:6,False,3740000,3740000,True,10,10,True,10,10,6.572872,0.720727,0.399162,0.487546
Colossians,1,7,Colossians 1:7,False,3790000,3790000,True,8,8,True,8,8,6.578639,0.737345,0.40176,0.490212
Colossians,1,8,Colossians 1:8,False,3750000,3750000,True,9,9,True,9,9,6.574031,0.724068,0.399685,0.488082
Colossians,1,9,Colossians 1:9,False,3760000,3760000,True,9,9,True,9,9,6.575188,0.7274,0.400205,0.488617
Colossians,1,10,Colossians 1:10,False,3030000,3030000,True,9,9,True,9,9,6.481443,0.457296,0.357982,0.445276
Colossians,1,11,Colossians 1:11,False,2830000,2830000,True,9,9,True,9,9,6.451787,0.371849,0.344625,0.431565
Colossians,1,12,Colossians 1:12,False,2730000,2730000,True,10,10,True,10,10,6.436163,0.326833,0.337588,0.424342
Colossians,1,13,Colossians 1:13,False,2870000,2870000,True,7,7,True,7,7,6.457882,0.389412,0.347371,0.434383
Colossians,1,14,Colossians 1:14,False,2770000,2770000,True,8,8,True,8,8,6.44248,0.345034,0.340433,0.427262
Colossians,1,15,Colossians 1:15,False,3230000,3230000,True,8,8,True,8,8,6.509203,0.53728,0.370486,0.45811
Colossians,1,16,Colossians 1:16,False,2560000,2560000,True,9,9,True,9,9,6.40824,0.246381,0.325012,0.411432
Colossians,1,17,Colossians 1:17,False,2350000,2350000,True,9,9,True,9,9,6.371068,0.139278,0.308269,0.394247
Colossians,1,18,Colossians 1:18,False,2680000,2680000,True,9,9,True,9,9,6.428135,0.303703,0.333972,0.42063
Colossians,1,19,Colossians 1:19,False,1550000,1550000,True,9,9,True,9,9,6.190332,-0.381469,0.226865,0.310688
Colossians,1,20,Colossians 1:20,False,2340000,2340000,True,10,10,True,10,10,6.369216,0.133942,0.307435,0.393391
Colossians,1,21,Colossians 1:21,False,1500000,1500000,True,8,8,True,8,8,6.176092,-0.4225,0.220451,0.304104
Colossians,1,22,Colossians 1:22,False,1160000,1160000,True,9,9,True,9,9,6.064458,-0.744144,0.170172,0.252493
Colossians,1,23,Colossians 1:23,False,875000,875000,True,10,10,True,10,10,5.942009,-1.096953,0.11502,0.195882
Colossians,1,24,Colossians 1:24,False,734000,734000,True,10,10,True,10,10,5.865697,-1.316828,0.080649,0.160601
Colossians,1,25,Colossians 1:25,False,612000,612000,True,9,9,True,9,9,5.786752,-1.544287,0.045092,0.124103
Colossians,1,26,Colossians 1:26,False,1090000,1090000,True,10,10,True,10,10,6.037427,-0.822028,0.157997,0.239996
Colossians,1,27,Colossians 1:27,False,1180000,1180000,True,9,9,True,9,9,6.071882,-0.722753,0.173515,0.255926
Colossians,1,28,Colossians 1:28,False,688000,688000,True,9,9,True,9,9,5.837589,-1.397813,0.067989,0.147606
Colossians,1,29,Colossians 1:29,False,1130000,1130000,True,9,9,True,9,9,6.053079,-0.776931,0.165046,0.247232
Colossians,2,1,Colossians 2:1,False,3980000,3980000,True,8,8,True,8,8,6.599883,0.798554,0.411328,0.500034
Colossians,2,2,Colossians 2:2,False,2570000,2570000,True,9,9,True,9,9,6.409933,0.251259,0.325774,0.412215
Colossians,2,3,Colossians 2:3,False,4470000,4470000,True,8,8,True,8,8,6.650308,0.94384,0.43404,0.523346
Colossians,2,4,Colossians 2:4,False,2780000,2780000,True,8,8,True,8,8,6.444045,0.349544,0.341138,0.427986
Colossians,2,5,Colossians 2:5,False,2700000,2700000,True,10,10,True,10,10,6.431364,0.313006,0.335427,0.422123
Colossians,2,6,Colossians 2:6,False,2450000,2450000,True,9,9,True,9,9,6.389166,0.191424,0.316421,0.402614
Colossians,2,7,Colossians 2:7,False,1770000,1770000,True,9,9,True,9,9,6.247974,-0.215389,0.252827,0.337337
Colossians,2,8,Colossians 2:8,False,2390000,2390000,True,9,8,True,9,8,6.378398,0.160398,0.311571,0.397636
Colossians,2,9,Colossians 2:9,False,2170000,2170000,True,10,10,True,10,10,6.33646,0.039563,0.292682,0.378247
Colossians,2,10,Colossians 2:10,False,2010000,2010000,True,9,9,True,9,9,6.303196,-0.056278,0.2777,0.362868
Colossians,2,11,Colossians 2:11,False,1540000,1540000,True,7,7,True,7,7,6.187521,-0.389568,0.225599,0.309388
Colossians,2,12,Colossians 2:12,False,1360000,1360000,True,10,10,True,10,10,6.133539,-0.545104,0.201286,0.284431
Colossians,2,13,Colossians 2:13,False,1800000,1800000,True,10,10,True,10,10,6.255273,-0.194358,0.256115,0.340712
Colossians,2,14,Colossians 2:14,False,3290000,3290000,True,8,8,True,8,8,6.517196,0.560311,0.374086,0.461806
Colossians,2,15,Colossians 2:15,False,1950000,1950000,True,7,7,True,7,7,6.290035,-0.094199,0.271772,0.356783
Colossians,2,16,Colossians 2:16,False,1590000,1590000,True,9,9,True,9,9,6.201397,-0.349587,0.231849,0.315804
Colossians,2,17,Colossians 2:17,False,1210000,1210000,True,9,9,True,9,9,6.082786,-0.691338,0.178426,0.260967
Colossians,2,18,Colossians 2:18,False,769000,769000,True,8,8,True,8,8,5.885927,-1.258539,0.089761,0.169954
Colossians,2,19,Colossians 2:19,False,817000,817000,True,8,8,True,8,8,5.912223,-1.182774,0.101604,0.182111
Colossians,2,20,Colossians 2:20,False,1210000,1210000,True,9,9,True,9,9,6.082786,-0.691338,0.178426,0.260967
Colossians,2,21,Colossians 2:21,False,676000,676000,True,10,10,True,10,10,5.829947,-1.419831,0.064547,0.144073
Colossians,2,22,Colossians 2:22,False,652000,652000,True,10,10,True,10,10,5.814248,-1.465064,0.057476,0.136815
Colossians,2,23,Colossians 2:23,False,486000,486000,True,8,8,True,8,8,5.686637,-1.832744,0.0,0.077817
