book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Ephesians,1,1,Ephesians 1:1,False,7700000,7700000,True,9,9,True,9,9,6.886491,1.50722,0.830359,0.798697
Ephesians,1,2,Ephesians 1:2,False,14200000,14200000,True,9,9,True,9,9,7.152288,2.298562,1.0,0.953237
Ephesians,1,3,Ephesians 1:3,False,10300000,10300000,True,7,7,True,7,7,7.012837,1.883383,0.910998,0.872158
Ephesians,1,4,Ephesians 1:4,False,6740000,6740000,True,9,9,True,9,9,6.82866,1.335044,0.79345,0.765073
Ephesians,1,5,Ephesians 1:5,False,6280000,6280000,True,9,9,True,9,9,6.79796,1.243642,0.773856,0.747223
Ephesians,1,6,Ephesians 1:6,False,6220000,6220000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ephesians,1,7,Ephesians 1:7,False,5310000,5310000,True,9,9,True,9,9,6.725095,1.026705,0.727351,0.704858
Ephesians,1,8,Ephesians 1:8,False,5280000,5280000,True,9,8,True,9,8,6.722634,1.019379,0.725781,0.703427
Ephesians,1,9,Ephesians 1:9,False,4880000,4880000,True,10,10,True,10,10,6.68842,0.917516,0.703944,0.683534
Ephesians,1,10,Ephesians 1:10,False,4160000,4160000,True,10,10,True,10,10,6.619093,0.711115,0.659698,0.643226
Ephesians,1,11,Ephesians 1:11,False,4160000,4160000,True,9,9,True,9,9,6.619093,0.711115,0.659698,0.643226
Ephesians,1,12,Ephesians 1:12,False,4120000,4120000,True,7,7,True,7,7,6.614897,0.698622,0.657019,0.640786
Ephesians,1,13,Ephesians 1:13,False,4000000,4000000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ephesians,1,14,Ephesians 1:14,False,3820000,3820000,True,9,9,True,9,9,6.582063,0.600868,0.636064,0.621696
Ephesians,1,15,Ephesians 1:15,False,3750000,3750000,True,8,8,True,8,8,6.574031,0.576954,0.630937,0.617026
Ephesians,1,16,Ephesians 1:16,False,3530000,3530000,True,10,10,True,10,10,6.547775,0.498782,0.61418,0.60176
Ephesians,1,17,Ephesians 1:17,False,3540000,3540000,True,9,9,True,9,9,6.549003,0.50244,0.614964,0.602474
Ephesians,1,18,Ephesians 1:18,False,3470000,3470000,True,8,8,True,8,8,6.54033,0.476616,0.609428,0.597431
Ephesians,1,19,Ephesians 1:19,False,2870000,2870000,True,8,8,True,8,8,6.457882,0.23115,0.556807,0.549494
Ephesians,1,20,Ephesians 1:20,False,2890000,2890000,True,9,9,True,9,9,6.460898,0.240129,0.558732,0.551248
Ephesians,1,21,Ephesians 1:21,False,2680000,2680000,True,10,10,True,10,10,6.428135,0.142586,0.537822,0.532199
Ephesians,1,22,Ephesians 1:22,False,1870000,1870000,True,10,10,True,10,10,6.271842,-0.322736,0.43807,0.441326
Ephesians,1,23,Ephesians 1:23,False,1250000,1250000,True,10,10,True,10,10,6.09691,-0.843548,0.326423,0.339617
Ephesians,2,1,Ephesians 2:1,False,5300000,5300000,True,9,9,True,9,9,6.724276,1.024268,0.726828,0.704382
Ephesians,2,2,Ephesians 2:2,False,3840000,3840000,True,10,10,True,10,10,6.584331,0.60762,0.637511,0.623015
Ephesians,2,3,Ephesians 2:3,False,7170000,7170000,True,9,9,True,9,9,6.855519,1.41501,0.810592,0.780689
Ephesians,2,4,Ephesians 2:4,False,4490000,4490000,True,8,8,True,8,8,6.652246,0.809819,0.680857,0.662502
Ephesians,2,5,Ephesians 2:5,False,3900000,3900000,True,8,8,True,8,8,6.591065,0.627667,0.641809,0.62693
Ephesians,2,6,Ephesians 2:6,False,4410000,4410000,True,9,9,True,9,9,6.644439,0.786574,0.675874,0.657962
Ephesians,2,7,Ephesians 2:7,False,2660000,2660000,True,9,8,True,9,8,6.424882,0.132901,0.535745,0.530307
Ephesians,2,8,Ephesians 2:8,False,6720000,6720000,True,9,9,True,9,9,6.827369,1.331201,0.792626,0.764322
Ephesians,2,9,Ephesians 2:9,False,3070000,3070000,True,7,7,True,7,7,6.487139,0.318254,0.57548,0.566505
Ephesians,2,10,Ephesians 2:10,False,3510000,3510000,True,9,9,True,9,9,6.545307,0.491436,0.612605,0.600325
Ephesians,2,11,Ephesians 2:11,False,3110000,3110000,True,9,9,True,9,9,6.492761,0.334992,0.579068,0.569773
Ephesians,2,12,Ephesians 2:12,False,2500000,2500000,True,10,10,True,10,10,6.39794,0.052689,0.51855,0.514643
Ephesians,2,13,Ephesians 2:13,False,2470000,2470000,True,8,8,True,8,8,6.392697,0.037079,0.515204,0.511594
Ephesians,2,14,Ephesians 2:14,False,3660000,3660000,True,9,9,True,9,9,6.563481,0.545544,0.624204,0.610892
Ephesians,2,15,Ephesians 2:15,False,3070000,3070000,True,10,10,True,10,10,6.487139,0.318254,0.57548,0.566505
Ephesians,2,16,Ephesians 2:16,False,1650000,1650000,True,9,9,True,9,9,6.217484,-0.484571,0.403377,0.409722
Ephesians,2,17,Ephesians 2:17,False,1380000,1380000,True,10,10,True,10,10,6.139879,-0.715619,0.353847,0.364601
Ephesians,2,18,Ephesians 2:18,False,1280000,1280000,True,10,10,True,10,10,6.10721,-0.812883,0.332997,0.345606
Ephesians,2,19,Ephesians 2:19,False,2630000,2630000,True,9,9,True,9,9,6.419956,0.118235,0.532601,0.527443
Ephesians,2,20,Ephesians 2:20,False,2100000,2100000,True,9,9,True,9,9,6.32222,-0.172749,0.470223,0.470617
Ephesians,2,21,Ephesians 2:21,False,1010000,1010000,True,9,9,True,9,9,6.004322,-1.119206,0.26733,0.285784
Ephesians,2,22,Ephesians 2:22,False,1270000,1270000,True,10,10,True,10,10,6.103804,-0.823024,0.330823,0.343626
Ephesians,3,1,Ephesians 3:1,False,5060000,5060000,True,8,8,True,8,8,6.704151,0.96435,0.713984,0.69268
Ephesians,3,2,Ephesians 3:2,False,2980000,2980000,True,10,10,True,10,10,6.474216,0.279781,0.567232,0.558991
Ephesians,3,3,Ephesians 3:3,False,3600000,3600000,True,10,10,True,10,10,6.556303,0.524172,0.619622,0.606718
Ephesians,3,4,Ephesians 3:4,False,9760000,9760000,True,8,8,True,8,8,6.98945,1.813753,0.896071,0.85856
Ephesians,3,5,Ephesians 3:5,False,5780000,5780000,True,10,10,True,10,10,6.761928,1.136367,0.750859,0.726273
Ephesians,3,6,Ephesians 3:6,False,3680000,3680000,True,8,8,True,8,8,6.565848,0.55259,0.625715,0.612268
Ephesians,3,7,Ephesians 3:7,False,3060000,3060000,True,10,10,True,10,10,6.485722,0.314035,0.574575,0.565681
Ephesians,3,8,Ephesians 3:8,False,3440000,3440000,True,8,8,True,8,8,6.536559,0.465389,0.607021,0.595239
Ephesians,3,9,Ephesians 3:9,False,3090000,3090000,True,9,9,True,9,9,6.489959,0.32665,0.577279,0.568144
Ephesians,3,10,Ephesians 3:10,False,3330000,3330000,True,10,10,True,10,10,6.522444,0.423368,0.598013,0.587032
Ephesians,3,11,Ephesians 3:11,False,2190000,2190000,True,10,10,True,10,10,6.340444,-0.11849,0.481855,0.481213
Ephesians,3,12,Ephesians 3:12,False,2610000,2610000,True,9,9,True,9,9,6.416641,0.108365,0.530486,0.525516
Ephesians,3,13,Ephesians 3:13,False,2830000,2830000,True,10,10,True,10,10,6.451787,0.213003,0.552917,0.54595
Ephesians,3,14,Ephesians 3:14,False,2550000,2550000,True,8,8,True,8,8,6.40654,0.078294,0.524039,0.519643
Ephesians,3,15,Ephesians 3:15,False,2350000,2350000,True,10,10,True,10,10,6.371068,-0.027316,0.5014,0.499019
Ephesians,3,16,Ephesians 3:16,False,8840000,8840000,True,10,10,True,10,10,6.946452,1.68574,0.868629,0.83356
Ephesians,3,17,Ephesians 3:17,False,3880000,3880000,True,9,9,True,9,9,6.588832,0.621019,0.640384,0.625631
Ephesians,3,18,Ephesians 3:18,False,2550000,2550000,True,9,9,True,9,9,6.40654,0.078294,0.524039,0.519643
Ephesians,3,19,Ephesians 3:19,False,2540000,2540000,True,8,8,True,8,8,6.404834,0.073213,0.52295,0.518651
Ephesians,3,20,Ephesians 3:20,False,4050000,4050000,True,6,6,True,6,6,6.607455,0.676465,0.65227,0.636459
Ephesians,3,21,Ephesians 3:21,False,1650000,1650000,True,10,10,True,10,10,6.217484,-0.484571,0.403377,0.409722
Ephesians,4,1,Ephesians 4:1,False,6220000,6220000,True,9,9,True,9,9,6.79379,1.231229,0.771195,0.744799
Ephesians,4,2,Ephesians 4:2,False,4240000,4240000,True,9,9,True,9,9,6.627366,0.735744,0.664977,0.648036
Ephesians,4,3,Ephesians 4:3,False,3820000,3820000,True,10,10,True,10,10,6.582063,0.600868,0.636064,0.621696
Ephesians,4,4,Ephesians 4:4,False,4090000,4090000,True,10,10,True,10,10,6.611723,0.689172,0.654994,0.638941
Ephesians,4,5,Ephesians 4:5,False,14000000,14000000,True,10,10,True,10,10,7.146128,2.280222,0.996068,0.949656
Ephesians,4,6,Ephesians 4:6,False,6880000,6880000,True,9,9,True,9,9,6.837589,1.361626,0.799148,0.770264
Ephesians,4,7,Ephesians 4:7,False,4390000,4390000,True,9,9,True,9,9,6.642465,0.780696,0.674614,0.656815
Ephesians,4,8,Ephesians 4:8,False,3880000,3880000,True,10,10,True,10,10,6.588832,0.621019,0.640384,0.625631
Ephesians,4,9,Ephesians 4:9,False,2440000,2440000,True,10,10,True,10,10,6.38739,0.021279,0.511817,0.508509
Ephesians,4,10,Ephesians 4:10,False,2400000,2400000,True,10,10,True,10,10,6.380211,-9.4e-05,0.507235,0.504335
Ephesians,4,11,Ephesians 4:11,False,3460000,3460000,True,7,7,True,7,7,6.539076,0.472885,0.608628,0.596702
Ephesians,4,12,Ephesians 4:12,False,2770000,2770000,True,8,8,True,8,8,6.44248,0.185294,0.546977,0.540539
Ephesians,4,13,Ephesians 4:13,False,3950000,3950000,True,9,9,True,9,9,6.596597,0.644138,0.64534,0.630146
Ephesians,4,14,Ephesians 4:14,False,1680000,1680000,True,9,9,True,9,9,6.22531,-0.461273,0.408372,0.414272
Ephesians,4,15,Ephesians 4:15,False,2780000,2780000,True,9,9,True,9,9,6.444045,0.189954,0.547976,0.541449
Ephesians,4,16,Ephesians 4:16,False,2750000,2750000,True,9,9,True,9,9,6.439333,0.175925,0.544968,0.538709
Ephesians,4,17,Ephesians 4:17,False,1730000,1730000,True,7,7,True,7,7,6.238046,-0.423353,0.416501,0.421677
Ephesians,4,18,Ephesians 4:18,False,1480000,1480000,True,9,9,True,9,9,6.170262,-0.625163,0.373239,0.382266
Ephesians,4,19,Ephesians 4:19,False,1770000,1770000,True,10,10,True,10,10,6.247974,-0.393797,0.422837,0.427449
Ephesians,4,20,Ephesians 4:20,False,736000,736000,True,9,9,True,9,9,5.866878,-1.528408,0.179609,0.205872
Ephesians,4,21,Ephesians 4:21,False,837000,837000,True,10,10,True,10,10,5.922726,-1.362136,0.215253,0.238343
Ephesians,4,22,Ephesians 4:22,False,720000,720000,True,8,8,True,8,8,5.857333,-1.556826,0.173517,0.200322
Ephesians,4,23,Ephesians 4:23,False,1130000,1130000,True,8,8,True,8,8,6.053079,-0.974045,0.298448,0.314133
Ephesians,4,24,Ephesians 4:24,False,905000,905000,True,8,8,True,8,8,5.956649,-1.261139,0.236904,0.258066
Ephesians,4,25,Ephesians 4:25,False,954000,954000,True,9,9,True,9,9,5.979549,-1.192961,0.251519,0.271381
Ephesians,4,26,Ephesians 4:26,False,848000,848000,True,8,8,True,8,8,5.928396,-1.345254,0.218872,0.24164
Ephesians,4,27,Ephesians 4:27,False,530000,530000,True,8,8,True,8,8,5.724277,-1.952967,0.088596,0.12296
Ephesians,4,28,Ephesians 4:28,False,385000,385000,True,9,9,True,9,9,5.585462,-2.366251,0.0,0.04225
Ephesians,4,29,Ephesians 4:29,False,1100000,1100000,True,9,9,True,9,9,6.041393,-1.008836,0.29099,0.307338
Ephesians,4,30,Ephesians 4:30,False,1070000,1070000,True,8,8,True,8,8,6.029384,-1.044589,0.283326,0.300356
Ephesians,4,31,Ephesians 4:31,False,857000,857000,True,7,7,True,7,7,5.932981,-1.331603,0.221798,0.244305
Ephesians,4,32,Ephesians 4:32,False,1440000,1440000,True,8,8,True,8,8,6.158363,-0.66059,0.365644,0.375347
Ephesians,5,1,Ephesians 5:1,False,4220000,4220000,True,8,8,True,8,8,6.625313,0.72963,0.663667,0.646842
Ephesians,5,2,Ephesians 5:2,False,3480000,3480000,True,9,9,True,9,9,6.541579,0.480337,0.610226,0.598158
Ephesians,5,3,Ephesians 5:3,False,1860000,1860000,True,9,9,True,9,9,6.269513,-0.329668,0.436584,0.439972
Ephesians,5,4,Ephesians 5:4,False,2370000,2370000,True,8,8,True,8,8,6.374749,-0.016358,0.503749,0.501159
Ephesians,5,5,Ephesians 5:5,False,2110000,2110000,True,10,10,True,10,10,6.324283,-0.166607,0.47154,0.471817
Ephesians,5,6,Ephesians 5:6,False,6480000,6480000,True,10,10,True,10,10,6.811575,1.284178,0.782546,0.755139
Ephesians,5,7,Ephesians 5:7,False,3910000,3910000,True,10,10,True,10,10,6.592177,0.630978,0.642518,0.627576
Ephesians,5,8,Ephesians 5:8,False,6160000,6160000,True,9,9,True,9,9,6.789581,1.218696,0.768508,0.742351
Ephesians,5,9,Ephesians 5:9,False,2670000,2670000,True,9,9,True,9,9,6.426511,0.137752,0.536785,0.531255
Ephesians,5,10,Ephesians 5:10,False,2760000,2760000,True,9,9,True,9,9,6.440909,0.180618,0.545975,0.539626
Ephesians,5,11,Ephesians 5:11,False,3660000,3660000,True,9,9,True,9,9,6.563481,0.545544,0.624204,0.610892
Ephesians,5,12,Ephesians 5:12,False,2520000,2520000,True,10,10,True,10,10,6.401401,0.062992,0.520759,0.516655
Ephesians,5,13,Ephesians 5:13,False,1700000,1700000,True,10,10,True,10,10,6.230449,-0.445971,0.411652,0.41726
Ephesians,5,14,Ephesians 5:14,False,2490000,2490000,True,9,9,True,9,9,6.3962,0.047507,0.517439,0.513631
Ephesians,5,15,Ephesians 5:15,False,1580000,1580000,True,9,9,True,9,9,6.198657,-0.540623,0.391361,0.398775
Ephesians,5,16,Ephesians 5:16,False,3140000,3140000,True,10,10,True,10,10,6.49693,0.347405,0.581729,0.572198
Ephesians,5,17,Ephesians 5:17,False,3810000,3810000,True,8,8,True,8,8,6.580925,0.597479,0.635337,0.621034
Ephesians,5,18,Ephesians 5:18,False,2510000,2510000,True,9,9,True,9,9,6.399674,0.057851,0.519657,0.515651
Ephesians,5,19,Ephesians 5:19,False,1810000,1810000,True,9,9,True,9,9,6.257679,-0.364902,0.429031,0.433092
Ephesians,5,20,Ephesians 5:20,False,2040000,2040000,True,9,9,True,9,9,6.30963,-0.21023,0.462188,0.463298
Ephesians,5,21,Ephesians 5:21,False,2540000,2540000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ephesians,5,22,Ephesians 5:22,False,3520000,3520000,True,9,9,True,9,9,6.546543,0.495114,0.613393,0.601044
Ephesians,5,23,Ephesians 5:23,False,1270000,1270000,True,9,9,True,9,9,6.103804,-0.823024,0.330823,0.343626
Ephesians,5,24,Ephesians 5:24,False,826000,826000,True,10,10,True,10,10,5.916981,-1.379242,0.211586,0.235002
Ephesians,5,25,Ephesians 5:25,False,1720000,1720000,True,7,7,True,7,7,6.235529,-0.430848,0.414894,0.420213
