book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Esther,1,1,Esther 1:1,False,18500000,18500000,True,9,9,True,9,9,,,,
Esther,1,2,Esther 1:2,False,40500000,40500000,True,9,9,True,9,9,,,,
Esther,1,3,Esther 1:3,False,16000000,16000000,True,10,10,True,10,10,,,,
Esther,1,4,Esther 1:4,False,13900000,13900000,True,10,10,True,10,10,,,,
Esther,1,5,Esther 1:5,False,11600000,11600000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,1,6,Esther 1:6,False,7970000,7970000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,1,7,Esther 1:7,False,6950000,6950000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,1,8,Esther 1:8,False,8170000,8170000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,1,9,Esther 1:9,False,6500000,6500000,True,10,10,True,10,10,,,,
Esther,1,10,Esther 1:10,False,7950000,7950000,True,9,9,True,9,9,,,,
Esther,1,11,Esther 1:11,False,5690000,5690000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,1,12,Esther 1:12,False,5890000,5890000,True,9,9,True,9,9,,,,
Esther,1,13,Esther 1:13,False,4570000,4570000,True,9,9,True,9,9,,,,
Esther,1,14,Esther 1:14,False,4680000,4680000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,1,15,Esther 1:15,False,5500000,5500000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,1,16,Esther 1:16,False,4390000,4390000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,1,17,Esther 1:17,False,4140000,4140000,True,9,9,True,9,9,,,,
Esther,1,18,Esther 1:18,False,4150000,4150000,True,9,9,True,9,9,,,,
Esther,1,19,Esther 1:19,False,3550000,3550000,True,9,9,True,9,9,,,,
Esther,1,20,Esther 1:20,False,4530000,4530000,True,9,9,True,9,9,,,,
Esther,1,21,Esther 1:21,False,3540000,3540000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,1,22,Esther 1:22,False,2770000,2770000,True,10,10,True,10,10,,,,
Esther,2,1,Esther 2:1,False,11200000,11200000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,2,2,Esther 2:2,False,7890000,7890000,True,9,9,True,9,9,,,,
Esther,2,3,Esther 2:3,False,26100000,26100000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,2,4,Esther 2:4,False,9410000,9410000,True,9,9,True,9,9,,,,
Esther,2,5,Esther 2:5,False,8310000,8310000,True,8,8,True,8,8,,,,
Esther,2,6,Esther 2:6,False,5640000,5640000,True,9,9,True,9,9,,,,
Esther,2,7,Esther 2:7,False,4670000,4670000,True,10,10,True,10,10,,,,
Esther,2,8,Esther 2:8,False,4880000,4880000,True,10,10,True,10,10,,,,
Esther,2,9,Esther 2:9,True,133,4200000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,2,10,Esther 2:10,False,4620000,4620000,True,10,10,True,10,10,,,,
Esther,2,11,Esther 2:11,False,3230000,3230000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,2,12,Esther 2:12,False,3690000,3690000,True,10,10,True,10,10,,,,
Esther,2,13,Esther 2:13,False,2590000,2590000,True,9,9,True,9,9,,,,
Esther,2,14,Esther 2:14,False,2650000,2650000,True,10,10,True,10,10,,,,
Esther,2,15,Esther 2:15,False,3290000,3290000,True,9,9,True,9,9,,,,
Esther,2,16,Esther 2:16,True,2170000,2170000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,2,17,Esther 2:17,False,2190000,2190000,True,9,9,True,9,9,,,,
Esther,2,18,Esther 2:18,False,1990000,1990000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,2,19,Esther 2:19,False,1710000,1710000,True,10,10,True,10,10,,,,
Esther,2,20,Esther 2:20,False,2690000,2690000,True,10,10,True,10,10,,,,
Esther,2,21,Esther 2:21,False,1520000,1520000,True,10,10,True,10,10,,,,
Esther,2,22,Esther 2:22,False,1530000,1530000,True,10,10,True,10,10,,,,
Esther,2,23,Esther 2:23,False,1400000,1400000,True,10,10,True,10,10,,,,
Esther,3,1,Esther 3:1,True,8370000,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,3,2,Esther 3:2,False,6770000,6770000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,3,3,Esther 3:3,False,8150000,8150000,True,9,9,True,9,9,,,,
Esther,3,4,Esther 3:4,False,21700000,21700000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,3,5,Esther 3:5,False,10900000,10900000,True,9,9,True,9,9,,,,
Esther,3,6,Esther 3:6,False,6480000,6480000,True,10,10,True,10,10,,,,
Esther,3,7,Esther 3:7,False,5000000,5000000,True,9,9,True,9,9,,,,
Esther,3,8,Esther 3:8,False,5600000,5600000,True,9,9,True,9,9,,,,
Esther,3,9,Esther 3:9,False,4110000,4110000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,3,10,Esther 3:10,False,4290000,4290000,True,9,9,True,9,9,,,,
Esther,3,11,Esther 3:11,False,3050000,3050000,True,9,9,True,9,9,,,,
Esther,3,12,Esther 3:12,False,3540000,3540000,True,9,9,True,9,9,,,,
Esther,3,13,Esther 3:13,False,2520000,2520000,True,9,9,True,9,9,,,,
Esther,3,14,Esther 3:14,False,2540000,2540000,True,9,9,True,9,9,,,,
Esther,3,15,Esther 3:15,False,3080000,3080000,True,10,10,True,10,10,,,,
Esther,4,1,Esther 4:1,False,7300000,7300000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,4,2,Esther 4:2,False,5760000,5760000,True,9,9,True,9,9,,,,
Esther,4,3,Esther 4:3,False,5720000,5720000,True,9,9,True,9,9,,,,
Esther,4,4,Esther 4:4,False,5950000,5950000,True,10,10,True,10,10,,,,
Esther,4,5,Esther 4:5,False,17300000,17300000,True,10,10,True,10,10,,,,
Esther,4,6,Esther 4:6,False,9420000,9420000,True,9,9,True,9,9,,,,
Esther,4,7,Esther 4:7,False,5880000,5880000,True,9,9,True,9,9,,,,
Esther,4,8,Esther 4:8,False,5880000,5880000,True,10,10,True,10,10,,,,
Esther,4,9,Esther 4:9,False,3970000,3970000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,4,10,Esther 4:10,False,4250000,4250000,True,9,9,True,9,9,,,,
Esther,4,11,Esther 4:11,False,3150000,3150000,True,10,10,True,10,10,,,,
Esther,4,12,Esther 4:12,False,3360000,3360000,True,10,10,True,10,10,,,,
Esther,4,13,Esther 4:13,False,2870000,2870000,True,9,9,True,9,9,,,,
Esther,4,14,Esther 4:14,False,2650000,2650000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,4,15,Esther 4:15,True,2330000,2350000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,4,16,Esther 4:16,False,2350000,2350000,True,8,7,True,8,7,,,,
Esther,4,17,Esther 4:17,False,1620000,1620000,True,9,9,True,9,9,,,,
Esther,5,1,Esther 5:1,False,6710000,6710000,True,9,9,True,9,9,,,,
Esther,5,2,Esther 5:2,False,5470000,5470000,True,9,9,True,9,9,,,,
Esther,5,3,Esther 5:3,False,4960000,4960000,True,10,9,True,10,9,,,,
Esther,5,4,Esther 5:4,False,4900000,4900000,True,10,10,True,10,10,,,,
Esther,5,5,Esther 5:5,False,6580000,6580000,True,9,9,True,9,9,,,,
Esther,5,6,Esther 5:6,False,14500000,14500000,True,9,9,True,9,9,,,,
Esther,5,7,Esther 5:7,False,7430000,7430000,True,8,8,True,8,8,,,,
Esther,5,8,Esther 5:8,False,6060000,6060000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,5,9,Esther 5:9,False,4350000,4350000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,5,10,Esther 5:10,False,7150000,7150000,True,10,10,True,10,10,,,,
Esther,5,11,Esther 5:11,False,3400000,3400000,True,10,10,True,10,10,,,,
Esther,5,12,Esther 5:12,False,3640000,3640000,True,9,9,True,9,9,,,,
Esther,5,13,Esther 5:13,True,2400000,2400000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,5,14,Esther 5:14,False,2560000,2560000,True,10,10,True,10,10,,,,
Esther,6,1,Esther 6:1,False,5770000,5770000,True,10,10,True,10,10,,,,
Esther,6,2,Esther 6:2,True,4540000,4540000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,6,3,Esther 6:3,False,3880000,3880000,True,10,10,True,10,10,,,,
Esther,6,4,Esther 6:4,False,3970000,3970000,True,9,9,True,9,9,,,,
Esther,6,5,Esther 6:5,False,4220000,4220000,True,8,8,True,8,8,,,,
Esther,6,6,Esther 6:6,False,4080000,4080000,True,9,9,True,9,9,,,,
Esther,6,7,Esther 6:7,False,11400000,11400000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,6,8,Esther 6:8,False,7500000,7500000,True,9,9,True,9,9,,,,
Esther,6,9,Esther 6:9,False,4900000,4900000,True,9,9,True,9,9,,,,
Esther,6,10,Esther 6:10,False,5260000,5260000,True,10,10,True,10,10,,,,
Esther,6,11,Esther 6:11,False,2630000,2630000,True,10,10,True,10,10,,,,
Esther,6,12,Esther 6:12,False,4290000,4290000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,6,13,Esther 6:13,False,1550000,1550000,True,10,10,True,10,10,,,,
Esther,6,14,Esther 6:14,False,2660000,2660000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,7,1,Esther 7:1,False,5480000,5480000,True,9,9,True,9,9,,,,
Esther,7,2,Esther 7:2,False,3450000,3450000,True,9,9,True,9,9,,,,
Esther,7,3,Esther 7:3,False,3090000,3090000,True,10,10,True,10,10,,,,
Esther,7,4,Esther 7:4,False,2490000,2490000,True,10,10,True,10,10,,,,
Esther,7,5,Esther 7:5,False,3560000,3560000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,7,6,Esther 7:6,False,2880000,2880000,True,9,9,True,9,9,,,,
Esther,7,7,Esther 7:7,False,3450000,3450000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,7,8,Esther 7:8,False,10600000,10600000,True,9,9,True,9,9,,,,
Esther,7,9,Esther 7:9,False,5500000,5500000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,7,10,Esther 7:10,False,5590000,5590000,True,9,9,True,9,9,,,,
Esther,8,1,Esther 8:1,False,5400000,5400000,True,9,9,True,9,9,,,,
Esther,8,2,Esther 8:2,False,3380000,3380000,True,9,9,True,9,9,,,,
Esther,8,3,Esther 8:3,False,2860000,2860000,True,10,10,True,10,10,,,,
Esther,8,4,Esther 8:4,False,2660000,2660000,True,10,10,True,10,10,,,,
Esther,8,5,Esther 8:5,False,3130000,3130000,True,10,10,True,10,10,,,,
Esther,8,6,Esther 8:6,False,2400000,2400000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,8,7,Esther 8:7,False,2430000,2430000,True,9,9,True,9,9,,,,
Esther,8,8,Esther 8:8,False,2660000,2660000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,8,9,Esther 8:9,False,8900000,8900000,True,10,10,True,10,10,,,,
Esther,8,10,Esther 8:10,False,7050000,7050000,True,8,8,True,8,8,,,,
Esther,8,11,Esther 8:11,False,3280000,3280000,True,10,10,True,10,10,,,,
Esther,8,12,Esther 8:12,False,3950000,3950000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,8,13,Esther 8:13,False,2230000,2230000,True,9,9,True,9,9,,,,
Esther,8,14,Esther 8:14,False,1630000,1630000,True,10,10,True,10,10,,,,
Esther,8,15,Esther 8:15,False,2440000,2440000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,8,16,Esther 8:16,False,1320000,1320000,True,10,10,True,10,10,,,,
Esther,8,17,Esther 8:17,False,1040000,1040000,True,9,9,True,9,9,,,,
Esther,9,1,Esther 9:1,False,6080000,6080000,True,10,10,True,10,10,,,,
Esther,9,2,Esther 9:2,False,4140000,4140000,True,9,9,True,9,9,,,,
Esther,9,3,Esther 9:3,False,3730000,3730000,True,10,10,True,10,10,,,,
Esther,9,4,Esther 9:4,False,4410000,4410000,True,9,9,True,9,9,,,,
Esther,9,5,Esther 9:5,False,3890000,3890000,True,9,9,True,9,9,,,,
Esther,9,6,Esther 9:6,False,4500000,4500000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,9,7,Esther 9:7,False,3410000,3410000,True,9,9,True,9,9,,,,
Esther,9,8,Esther 9:8,False,2730000,2730000,True,9,9,True,9,9,,,,
Esther,9,9,Esther 9:9,False,3230000,3230000,True,8,8,True,8,8,,,,
Esther,9,10,Esther 9:10,False,9640000,9640000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,9,11,Esther 9:11,False,7620000,7620000,True,9,9,True,9,9,,,,
Esther,9,12,Esther 9:12,False,4060000,4060000,True,10,10,True,10,10,,,,
Esther,9,13,Esther 9:13,False,2030000,2030000,True,10,10,True,10,10,,,,
Esther,9,14,Esther 9:14,False,3330000,3330000,True,9,9,True,9,9,,,,
Esther,9,15,Esther 9:15,False,2390000,2390000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,9,16,Esther 9:16,True,126,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,9,17,Esther 9:17,False,970000,970000,True,9,9,True,9,9,,,,
Esther,9,18,Esther 9:18,False,967000,967000,True,8,8,True,8,8,,,,
Esther,9,19,Esther 9:19,False,1390000,1390000,True,10,10,True,10,10,,,,
Esther,9,20,Esther 9:20,False,1150000,1150000,True,10,10,True,10,10,,,,
Esther,9,21,Esther 9:21,False,748000,748000,True,9,9,True,9,9,,,,
Esther,9,22,Esther 9:22,False,843000,843000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,9,23,Esther 9:23,False,1680000,1680000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,9,24,Esther 9:24,False,859000,859000,True,10,10,True,10,10,,,,
Esther,9,25,Esther 9:25,False,858000,858000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,9,26,Esther 9:26,False,704000,704000,True,10,10,True,10,10,,,,
Esther,9,27,Esther 9:27,False,782000,782000,True,9,9,True,9,9,,,,
Esther,9,28,Esther 9:28,False,597000,597000,True,9,9,True,9,9,,,,
Esther,9,29,Esther 9:29,False,587000,587000,True,9,9,True,9,9,,,,
Esther,9,30,Esther 9:30,False,5140000,5140000,True,9,9,True,9,9,,,,
Esther,9,31,Esther 9:31,False,378000,378000,True,10,10,True,10,10,,,,
Esther,9,32,Esther 9:32,False,326000,326000,True,9,9,True,9,9,,,,
Esther,10,1,Esther 10:1,False,4890000,4890000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,10,2,Esther 10:2,False,3090000,3090000,True,9,9,True,9,9,,,,
Esther,10,3,Esther 10:3,False,2520000,2520000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
