book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Exodus,1,1,Exodus 1:1,False,14300000,14300000,True,9,9,True,9,9,7.155336,2.512824,0.956046,0.941149
Exodus,1,2,Exodus 1:2,False,21400000,21400000,True,9,9,True,9,9,7.330414,2.823969,0.979439,0.975928
Exodus,1,3,Exodus 1:3,False,11500000,11500000,True,7,7,True,7,7,7.060698,2.344634,0.943401,0.92235
Exodus,1,4,Exodus 1:4,False,9130000,9130000,True,9,9,True,9,9,6.960471,2.166513,0.93001,0.90244
Exodus,1,5,Exodus 1:5,False,7890000,7890000,True,9,9,True,9,9,6.897077,2.05385,0.921539,0.889847
Exodus,1,6,Exodus 1:6,False,6830000,6830000,True,8,8,True,8,8,6.834421,1.942499,0.913168,0.877401
Exodus,1,7,Exodus 1:7,False,7720000,7720000,True,10,10,True,10,10,6.887617,2.037039,0.920275,0.887968
Exodus,1,8,Exodus 1:8,False,6340000,6340000,True,10,10,True,10,10,6.802089,1.88504,0.908848,0.870978
Exodus,1,9,Exodus 1:9,False,6980000,6980000,True,10,10,True,10,10,6.843855,1.959266,0.914428,0.879275
Exodus,1,10,Exodus 1:10,False,8090000,8090000,True,10,10,True,10,10,6.907949,2.073171,0.922992,0.892007
Exodus,1,11,Exodus 1:11,False,5020000,5020000,True,10,10,True,10,10,6.700704,1.704859,0.895301,0.850838
Exodus,1,12,Exodus 1:12,False,6270000,6270000,True,9,9,True,9,9,6.797268,1.876471,0.908204,0.87002
Exodus,1,13,Exodus 1:13,False,4310000,4310000,True,9,9,True,9,9,6.634477,1.587163,0.886453,0.837682
Exodus,1,14,Exodus 1:14,False,4600000,4600000,True,10,10,True,10,10,6.662758,1.637422,0.890231,0.8433
Exodus,1,15,Exodus 1:15,False,4550000,4550000,True,10,10,True,10,10,6.658011,1.628987,0.889597,0.842357
Exodus,1,16,Exodus 1:16,False,4070000,4070000,True,10,10,True,10,10,6.609595,1.542941,0.883128,0.83274
Exodus,1,17,Exodus 1:17,False,4950000,4950000,True,10,10,True,10,10,6.694605,1.694021,0.894487,0.849627
Exodus,1,18,Exodus 1:18,False,4360000,4360000,True,7,7,True,7,7,6.639487,1.596065,0.887122,0.838677
Exodus,1,19,Exodus 1:19,False,3280000,3280000,True,10,10,True,10,10,6.515874,1.376383,0.870606,0.814122
Exodus,1,20,Exodus 1:20,False,4710000,4710000,True,10,10,True,10,10,6.673021,1.655662,0.891603,0.845339
Exodus,1,21,Exodus 1:21,False,3300000,3300000,True,10,10,True,10,10,6.518514,1.381075,0.870958,0.814647
Exodus,1,22,Exodus 1:22,False,3010000,3010000,True,10,10,True,10,10,6.478567,1.310081,0.865621,0.806711
Exodus,2,1,Exodus 2:1,False,7790000,7790000,True,9,9,True,9,9,6.891538,2.044006,0.920799,0.888747
