book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Ezra,1,1,Ezra 1:1,False,8190000,8190000,True,10,10,True,10,10,,,,
Ezra,1,2,Ezra 1:2,True,13600000,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ezra,1,3,Ezra 1:3,False,6490000,6490000,True,9,9,True,9,9,,,,
Ezra,1,4,Ezra 1:4,False,5590000,5590000,True,9,9,True,9,9,,,,
Ezra,1,5,Ezra 1:5,True,126,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ezra,1,6,Ezra 1:6,False,3840000,3840000,True,10,10,True,10,10,,,,
Ezra,1,7,Ezra 1:7,False,2950000,2950000,True,9,9,True,9,9,,,,
Ezra,1,8,Ezra 1:8,False,3400000,3400000,True,10,10,True,10,10,,,,
Ezra,1,9,Ezra 1:9,False,2400000,2400000,True,9,9,True,9,9,,,,
Ezra,1,10,Ezra 1:10,False,3240000,3240000,True,8,8,True,8,8,,,,
Ezra,1,11,Ezra 1:11,False,2150000,2150000,True,9,9,True,9,9,,,,
Ezra,2,1,Ezra 2:1,False,4760000,4760000,True,9,9,True,9,9,,,,
Ezra,2,2,Ezra 2:2,False,3380000,3380000,True,9,9,True,9,9,,,,
Ezra,2,3,Ezra 2:3,False,12200000,12200000,True,8,8,True,8,8,,,,
Ezra,2,4,Ezra 2:4,False,5860000,5860000,True,9,9,True,9,9,,,,
Ezra,2,5,Ezra 2:5,False,2800000,2800000,True,8,8,True,8,8,,,,
Ezra,2,6,Ezra 2:6,False,2610000,2610000,True,9,9,True,9,9,,,,
Ezra,2,7,Ezra 2:7,True,2170000,2160000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ezra,2,8,Ezra 2:8,False,2180000,2180000,True,9,9,True,9,9,,,,
Ezra,2,9,Ezra 2:9,False,1980000,1980000,True,9,9,True,9,9,,,,
Ezra,2,10,Ezra 2:10,False,2120000,2120000,True,9,9,True,9,9,,,,
Ezra,2,11,Ezra 2:11,False,1770000,1770000,True,9,9,True,9,9,,,,
Ezra,2,12,Ezra 2:12,False,1750000,1750000,True,9,9,True,9,9,,,,
Ezra,2,13,Ezra 2:13,False,770000,770000,True,10,10,True,10,10,,,,
Ezra,2,14,Ezra 2:14,False,1620000,1620000,True,9,9,True,9,9,,,,
Ezra,2,15,Ezra 2:15,False,1690000,1690000,True,9,9,True,9,9,,,,
Ezra,2,16,Ezra 2:16,False,1290000,1290000,True,9,9,True,9,9,,,,
Ezra,2,17,Ezra 2:17,False,1260000,1260000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ezra,2,18,Ezra 2:18,False,1230000,1230000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ezra,2,19,Ezra 2:19,False,1200000,1200000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ezra,2,20,Ezra 2:20,False,1320000,1320000,True,9,9,True,9,9,,,,
Ezra,2,21,Ezra 2:21,False,904000,904000,True,9,9,True,9,9,,,,
Ezra,2,22,Ezra 2:22,False,860000,860000,True,9,9,True,9,9,,,,
Ezra,2,23,Ezra 2:23,False,851000,851000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ezra,2,24,Ezra 2:24,False,988000,988000,True,9,9,True,9,9,,,,
Ezra,2,25,Ezra 2:25,False,1070000,1070000,True,9,9,True,9,9,,,,
Ezra,2,26,Ezra 2:26,False,690000,690000,True,10,10,True,10,10,,,,
Ezra,2,27,Ezra 2:27,False,601000,601000,True,9,9,True,9,9,,,,
Ezra,2,28,Ezra 2:28,False,660000,660000,True,10,10,True,10,10,,,,
Ezra,2,29,Ezra 2:29,False,436000,436000,True,9,9,True,9,9,,,,
Ezra,2,30,Ezra 2:30,False,947000,947000,True,9,9,True,9,9,,,,
Ezra,2,31,Ezra 2:31,False,326000,326000,True,9,9,True,9,9,,,,
Ezra,2,32,Ezra 2:32,False,397000,397000,True,9,9,True,9,9,,,,
Ezra,2,33,Ezra 2:33,False,309000,309000,True,9,9,True,9,9,,,,
Ezra,2,34,Ezra 2:34,False,353000,353000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ezra,2,35,Ezra 2:35,False,330000,330000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ezra,2,36,Ezra 2:36,False,401000,401000,True,9,9,True,9,9,,,,
Ezra,2,37,Ezra 2:37,False,383000,383000,True,10,10,True,10,10,,,,
Ezra,2,38,Ezra 2:38,False,452000,452000,True,9,9,True,9,9,,,,
Ezra,2,39,Ezra 2:39,False,268000,268000,True,9,9,True,9,9,,,,
