book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Galations,1,1,Galations 1:1,False,4610000,4610000,True,10,10,True,10,10,6.663701,1.279194,0.603625,0.647454
Galations,1,2,Galations 1:2,False,7480000,7480000,True,9,9,True,9,9,6.873902,1.916242,0.714039,0.756173
Galations,1,3,Galations 1:3,False,5850000,5850000,True,7,7,True,7,7,6.767156,1.592731,0.657967,0.700962
Galations,1,4,Galations 1:4,False,4680000,4680000,True,10,10,True,10,10,6.670246,1.299029,0.607063,0.65084
Galations,1,5,Galations 1:5,False,4460000,4460000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Galations,1,6,Galations 1:6,False,4150000,4150000,True,8,8,True,8,8,6.618048,1.140835,0.579644,0.623842
Galations,1,7,Galations 1:7,False,4110000,4110000,True,9,9,True,9,9,6.613842,1.128087,0.577435,0.621667
Galations,1,8,Galations 1:8,False,4110000,4110000,True,8,8,True,8,8,6.613842,1.128087,0.577435,0.621667
Galations,1,9,Galations 1:9,False,3660000,3660000,True,9,9,True,9,9,6.563481,0.975461,0.550981,0.59562
Galations,1,10,Galations 1:10,False,3590000,3590000,True,9,9,True,9,9,6.555095,0.950044,0.546576,0.591282
Galations,1,11,Galations 1:11,False,3310000,3310000,True,9,9,True,9,9,6.519828,0.843163,0.528051,0.573042
Galations,1,12,Galations 1:12,False,3210000,3210000,True,10,10,True,10,10,6.506505,0.802785,0.521053,0.566151
Galations,1,13,Galations 1:13,False,3060000,3060000,True,10,10,True,10,10,6.485722,0.739797,0.510136,0.555401
Galations,1,14,Galations 1:14,False,3050000,3050000,True,10,10,True,10,10,6.4843,0.735489,0.509389,0.554666
Galations,1,15,Galations 1:15,False,2620000,2620000,True,9,8,True,9,8,6.418301,0.535469,0.474722,0.520531
Galations,1,16,Galations 1:16,False,2390000,2390000,True,10,10,True,10,10,6.378398,0.414535,0.453761,0.499892
Galations,1,17,Galations 1:17,False,2310000,2310000,True,10,10,True,10,10,6.363612,0.369724,0.445995,0.492245
Galations,1,18,Galations 1:18,False,2720000,2720000,True,9,9,True,9,9,6.434569,0.584771,0.483267,0.528945
Galations,1,19,Galations 1:19,False,1500000,1500000,True,9,9,True,9,9,6.176092,-0.198588,0.347494,0.395257
Galations,1,20,Galations 1:20,False,1670000,1670000,True,9,9,True,9,9,6.222717,-0.057283,0.371985,0.419372
Galations,1,21,Galations 1:21,False,1610000,1610000,True,10,10,True,10,10,6.206826,-0.105442,0.363638,0.411153
Galations,1,22,Galations 1:22,False,1170000,1170000,True,9,9,True,9,9,6.068186,-0.525613,0.290814,0.339447
Galations,1,23,Galations 1:23,False,908000,908000,True,9,9,True,9,9,5.958086,-0.859289,0.232981,0.282502
Galations,1,24,Galations 1:24,False,711000,711000,True,8,8,True,8,8,5.85187,-1.181195,0.177188,0.227566
Galations,2,1,Galations 2:1,False,4130000,4130000,True,9,9,True,9,9,6.61595,1.134477,0.578542,0.622757
Galations,2,2,Galations 2:2,False,2620000,2620000,True,9,9,True,9,9,6.418301,0.535469,0.474722,0.520531
Galations,2,3,Galations 2:3,False,7660000,7660000,True,10,10,True,10,10,6.884229,1.94754,0.719463,0.761514
Galations,2,4,Galations 2:4,False,3120000,3120000,True,9,9,True,9,9,6.494155,0.765355,0.514566,0.559763
Galations,2,5,Galations 2:5,False,2890000,2890000,True,9,9,True,9,9,6.460898,0.664565,0.497097,0.542562
Galations,2,6,Galations 2:6,False,2020000,2020000,True,9,9,True,9,9,6.305352,0.193156,0.415392,0.462112
Galations,2,7,Galations 2:7,False,1530000,1530000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Galations,2,8,Galations 2:8,False,3420000,3420000,True,9,9,True,9,9,6.534026,0.886192,0.535509,0.580385
Galations,2,9,Galations 2:9,False,2660000,2660000,True,10,10,True,10,10,6.424882,0.555412,0.478178,0.523934
Galations,2,10,Galations 2:10,False,2360000,2360000,True,10,10,True,10,10,6.372912,0.39791,0.45088,0.497055
Galations,2,11,Galations 2:11,False,2170000,2170000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Galations,2,12,Galations 2:12,False,1850000,1850000,True,10,10,True,10,10,6.267172,0.077446,0.395337,0.442365
Galations,2,13,Galations 2:13,False,1840000,1840000,True,10,10,True,10,10,6.264818,0.070312,0.3941,0.441148
Galations,2,14,Galations 2:14,False,2550000,2550000,True,8,8,True,8,8,6.40654,0.499825,0.468544,0.514448
Galations,2,15,Galations 2:15,False,1900000,1900000,True,10,10,True,10,10,6.278754,0.112547,0.40142,0.448355
Galations,2,16,Galations 2:16,False,1350000,1350000,True,8,8,True,8,8,6.130334,-0.337264,0.323459,0.371591
Galations,2,17,Galations 2:17,False,1350000,1350000,True,9,9,True,9,9,6.130334,-0.337264,0.323459,0.371591
Galations,2,18,Galations 2:18,False,819000,819000,True,9,9,True,9,9,5.913284,-0.995069,0.209447,0.25933
Galations,2,19,Galations 2:19,False,971000,971000,True,10,10,True,10,10,5.98722,-0.770996,0.248284,0.29757
