book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Genesis,1,1,Genesis 1:1,False,52700000,52700000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Genesis,1,2,Genesis 1:2,False,126000000,126000000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Genesis,1,3,Genesis 1:3,False,49600000,49600000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Genesis,1,4,Genesis 1:4,False,86200000,18500,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Genesis,1,5,Genesis 1:5,False,30200000,30200000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Genesis,1,6,Genesis 1:6,False,25600000,25600000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Genesis,1,7,Genesis 1:7,False,37800000,37800000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Genesis,1,8,Genesis 1:8,False,21000000,21000000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Genesis,1,9,Genesis 1:9,False,36500000,36500000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Genesis,1,10,Genesis 1:10,False,19000000,19000000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Genesis,1,11,Genesis 1:11,False,15700000,15700000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Genesis,1,12,Genesis 1:12,False,14900000,14900000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Genesis,1,13,Genesis 1:13,False,11400000,11400000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Genesis,1,14,Genesis 1:14,False,13400000,13400000,True,10,10,True,10,10,7.127105,1.471412,0.858806,0.813378
Genesis,1,15,Genesis 1:15,False,24900000,24900000,True,10,10,True,10,10,7.396199,1.79511,0.891232,0.854413
Genesis,1,16,Genesis 1:16,False,10800000,10800000,True,9,9,True,9,9,7.033424,1.358722,0.847518,0.799092
Genesis,1,17,Genesis 1:17,False,9250000,9250000,True,10,10,True,10,10,6.966142,1.277788,0.83941,0.788832
Genesis,1,18,Genesis 1:18,False,10500000,10500000,True,10,10,True,10,10,7.021189,1.344005,0.846043,0.797226
Genesis,1,19,Genesis 1:19,False,7780000,7780000,True,9,9,True,9,9,6.89098,1.187374,0.830353,0.77737
Genesis,1,20,Genesis 1:20,False,11500000,11500000,True,10,10,True,10,10,7.060698,1.39153,0.850804,0.803251
Genesis,1,21,Genesis 1:21,False,7790000,7790000,True,10,10,True,10,10,6.891538,1.188045,0.83042,0.777455
Genesis,1,22,Genesis 1:22,False,12000000,12000000,True,10,10,True,10,10,7.079181,1.413764,0.853031,0.80607
Genesis,1,23,Genesis 1:23,False,6030000,6030000,True,9,9,True,9,9,6.780317,1.054257,0.817019,0.760495
Genesis,1,24,Genesis 1:24,False,8830000,8830000,True,10,10,True,10,10,6.945961,1.253512,0.836978,0.785754
Genesis,1,25,Genesis 1:25,False,6630000,6630000,True,10,10,True,10,10,6.821514,1.103812,0.821983,0.766777
Genesis,1,26,Genesis 1:26,False,8750000,8750000,True,8,8,True,8,8,6.942008,1.248757,0.836502,0.785152
Genesis,1,27,Genesis 1:27,False,11700000,11700000,True,9,9,True,9,9,7.068186,1.400538,0.851706,0.804393
Genesis,1,28,Genesis 1:28,False,5750000,5750000,True,8,8,True,8,8,6.759668,1.029417,0.81453,0.757346
Genesis,1,29,Genesis 1:29,False,5510000,5510000,True,9,9,True,9,9,6.741152,1.007144,0.812299,0.754522
Genesis,1,30,Genesis 1:30,False,13300000,13300000,True,10,10,True,10,10,7.123852,1.467499,0.858414,0.812882
Genesis,1,31,Genesis 1:31,False,8610000,8610000,True,10,10,True,10,10,6.935003,1.240331,0.835658,0.784084
Genesis,2,1,Genesis 2:1,False,24500000,24500000,True,10,10,True,10,10,7.389166,1.786649,0.890384,0.85334
Genesis,2,2,Genesis 2:2,False,23200000,23200000,True,10,10,True,10,10,7.365488,1.758166,0.887531,0.84973
Genesis,2,3,Genesis 2:3,False,199000000,199000000,True,10,10,True,10,10,8.298853,2.880924,1.0,0.992062
Genesis,2,4,Genesis 2:4,False,22800000,22800000,True,10,10,True,10,10,7.357935,1.749081,0.886621,0.848578
Genesis,2,5,Genesis 2:5,False,42900000,42900000,True,10,10,True,10,10,7.632457,2.079307,0.9197,0.890441
Genesis,2,6,Genesis 2:6,False,11100000,11100000,True,10,10,True,10,10,7.045323,1.373036,0.848951,0.800907
Genesis,2,7,Genesis 2:7,False,11900000,11900000,True,9,9,True,9,9,7.075547,1.409393,0.852593,0.805516
Genesis,2,8,Genesis 2:8,False,10500000,10500000,True,10,10,True,10,10,7.021189,1.344005,0.846043,0.797226
Genesis,2,9,Genesis 2:9,False,8460000,8460000,True,10,10,True,10,10,6.92737,1.231149,0.834738,0.78292
Genesis,2,10,Genesis 2:10,False,15600000,15600000,True,10,10,True,10,10,7.193125,1.550828,0.866761,0.823445
Genesis,2,11,Genesis 2:11,False,6410000,6410000,True,10,10,True,10,10,6.806858,1.086183,0.820217,0.764542
Genesis,2,12,Genesis 2:12,False,6130000,6130000,True,10,10,True,10,10,6.787461,1.06285,0.817879,0.761584
Genesis,2,13,Genesis 2:13,False,7980000,7980000,True,10,10,True,10,10,6.902003,1.200634,0.831682,0.779051
Genesis,2,14,Genesis 2:14,False,6000000,6000000,True,10,10,True,10,10,6.778151,1.051651,0.816758,0.760165
Genesis,2,15,Genesis 2:15,False,6900000,6900000,True,9,9,True,9,9,6.838849,1.124666,0.824072,0.769421
