book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Hebrews,1,1,Hebrews 1:1,False,8240000,8240000,True,8,8,True,8,8,6.915927,0.902012,0.972165,0.843433
Hebrews,1,2,Hebrews 1:2,False,12400000,12400000,True,9,9,True,9,9,7.093422,1.102778,0.997115,0.871788
Hebrews,1,3,Hebrews 1:3,False,13000000,13000000,True,7,7,True,7,7,7.113943,1.12599,1.0,0.875066
Hebrews,1,4,Hebrews 1:4,False,9150000,9150000,True,10,10,True,10,10,6.961421,0.953471,0.97856,0.850701
Hebrews,1,5,Hebrews 1:5,False,8710000,8710000,True,10,10,True,10,10,6.940018,0.929262,0.975552,0.847282
Hebrews,1,6,Hebrews 1:6,False,6210000,6210000,True,10,10,True,10,10,6.793092,0.763072,0.954898,0.82381
Hebrews,1,7,Hebrews 1:7,False,5580000,5580000,True,10,10,True,10,10,6.746634,0.710524,0.948368,0.816389
Hebrews,1,8,Hebrews 1:8,False,6510000,6510000,True,9,9,True,9,9,6.813581,0.786248,0.957778,0.827084
Hebrews,1,9,Hebrews 1:9,False,5320000,5320000,True,9,9,True,9,9,6.725912,0.687084,0.945455,0.813078
Hebrews,1,10,Hebrews 1:10,False,5630000,5630000,True,9,9,True,9,9,6.750508,0.714906,0.948912,0.817008
Hebrews,1,11,Hebrews 1:11,False,4410000,4410000,True,9,9,True,9,9,6.644439,0.59493,0.934002,0.800063
Hebrews,1,12,Hebrews 1:12,False,4380000,4380000,True,10,10,True,10,10,6.641474,0.591577,0.933585,0.79959
Hebrews,1,13,Hebrews 1:13,False,4020000,4020000,True,9,9,True,9,9,6.604226,0.549445,0.92835,0.793639
Hebrews,1,14,Hebrews 1:14,False,4250000,4250000,True,8,8,True,8,8,6.628389,0.576776,0.931746,0.797499
Hebrews,2,1,Hebrews 2:1,False,5950000,5950000,True,9,8,True,9,8,6.774517,0.742062,0.952287,0.820843
Hebrews,2,2,Hebrews 2:2,False,4010000,4010000,True,9,9,True,9,9,6.603144,0.548222,0.928198,0.793467
Hebrews,2,3,Hebrews 2:3,False,8170000,8170000,True,9,9,True,9,9,6.912222,0.897821,0.971644,0.842841
Hebrews,2,4,Hebrews 2:4,False,4930000,4930000,True,10,10,True,10,10,6.692847,0.649685,0.940807,0.807796
Hebrews,2,5,Hebrews 2:5,False,4240000,4240000,True,9,9,True,9,9,6.627366,0.575619,0.931602,0.797336
Hebrews,2,6,Hebrews 2:6,False,3580000,3580000,True,10,10,True,10,10,6.553883,0.492502,0.921273,0.785597
Hebrews,2,7,Hebrews 2:7,False,3300000,3300000,True,9,9,True,9,9,6.518514,0.452495,0.916301,0.779947
Hebrews,2,8,Hebrews 2:8,False,3740000,3740000,True,10,10,True,10,10,6.572872,0.51398,0.923942,0.788631
Hebrews,2,9,Hebrews 2:9,False,3940000,3940000,True,9,9,True,9,9,6.595496,0.539571,0.927122,0.792245
Hebrews,2,10,Hebrews 2:10,False,3670000,3670000,True,9,9,True,9,9,6.564666,0.504698,0.922789,0.78732
Hebrews,2,11,Hebrews 2:11,False,3260000,3260000,True,10,10,True,10,10,6.513218,0.446505,0.915557,0.779101
Hebrews,2,12,Hebrews 2:12,False,2690000,2690000,True,10,10,True,10,10,6.429752,0.352096,0.903824,0.765767
Hebrews,2,13,Hebrews 2:13,False,3340000,3340000,True,10,10,True,10,10,6.523747,0.458414,0.917037,0.780783
Hebrews,2,14,Hebrews 2:14,False,3690000,3690000,True,9,9,True,9,9,6.567026,0.507368,0.92312,0.787697
Hebrews,2,15,Hebrews 2:15,False,3370000,3370000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hebrews,2,16,Hebrews 2:16,False,2150000,2150000,True,10,10,True,10,10,6.332439,0.242024,0.890145,0.750222
