book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
James,1,1,James 1:1,False,277000000,277000000,True,9,9,True,9,9,8.44248,0.895313,0.942695,0.825304
James,1,2,James 1:2,False,866000000,866000000,True,8,8,True,8,8,8.937518,1.485811,0.997971,0.897837
James,1,3,James 1:3,False,244000000,244000000,True,8,8,True,8,8,8.38739,0.8296,0.936543,0.817233
James,1,4,James 1:4,False,350000000,350000000,True,9,9,True,9,9,8.544068,1.016491,0.954038,0.840189
James,1,5,James 1:5,False,159000000,159000000,True,9,9,True,9,9,8.201397,0.607742,0.915775,0.789981
James,1,6,James 1:6,False,104000000,104000000,True,8,8,True,8,8,8.017033,0.387827,0.895189,0.762969
James,1,7,James 1:7,False,84900000,84900000,True,10,10,True,10,10,7.928908,0.282708,0.885349,0.750056
James,1,8,James 1:8,False,101000000,101000000,True,8,8,True,8,8,8.004321,0.372663,0.89377,0.761106
James,1,9,James 1:9,False,74900000,74900000,True,9,9,True,9,9,7.874482,0.217787,0.879272,0.742082
James,1,10,James 1:10,False,123000000,123000000,True,9,9,True,9,9,8.089905,0.474751,0.903326,0.773646
James,1,11,James 1:11,False,69300000,69300000,True,10,10,True,10,10,7.840733,0.17753,0.875503,0.737137
James,1,12,James 1:12,False,79100000,79100000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
James,1,13,James 1:13,False,57300000,57300000,True,10,10,True,10,10,7.758155,0.079028,0.866282,0.725038
James,1,14,James 1:14,False,118000000,118000000,True,9,9,True,9,9,8.071882,0.453252,0.901313,0.771005
James,1,15,James 1:15,False,129000000,129000000,True,8,7,True,8,7,8.11059,0.499424,0.905636,0.776676
James,1,16,James 1:16,False,53400000,53400000,True,8,7,True,8,7,7.727541,0.042511,0.862864,0.720553
James,1,17,James 1:17,False,107000000,107000000,True,7,7,True,7,7,8.029384,0.402559,0.896568,0.764778
James,1,18,James 1:18,False,47500000,47500000,True,10,10,True,10,10,7.676694,-0.018142,0.857186,0.713102
James,1,19,James 1:19,False,39200000,39200000,True,10,10,True,10,10,7.593286,-0.117633,0.847873,0.700882
James,1,20,James 1:20,False,52800000,52800000,True,8,8,True,8,8,7.722634,0.036657,0.862316,0.719834
James,1,21,James 1:21,False,69500000,69500000,True,9,9,True,9,9,7.841985,0.179023,0.875643,0.737321
James,1,22,James 1:22,False,68100000,68100000,True,9,9,True,9,9,7.833147,0.168481,0.874656,0.736026
James,1,23,James 1:23,False,65900000,65900000,True,9,9,True,9,9,7.818885,0.151469,0.873064,0.733936
James,1,24,James 1:24,False,31700000,31700000,True,10,10,True,10,10,7.501059,-0.227644,0.837575,0.687369
James,1,25,James 1:25,False,43100000,43100000,True,10,10,True,10,10,7.634477,-0.068499,0.852472,0.706917
James,1,26,James 1:26,False,81400000,81400000,True,9,8,True,9,8,7.910624,0.260899,0.883307,0.747378
James,1,27,James 1:27,False,55700000,55700000,True,8,8,True,8,8,7.745855,0.064357,0.864909,0.723236
James,2,1,James 2:1,False,306000000,306000000,True,10,10,True,10,10,8.485721,0.946893,0.947523,0.83164
James,2,2,James 2:2,False,108000000,108000000,True,9,9,True,9,9,8.033424,0.407378,0.897019,0.76537
James,2,3,James 2:3,False,903000000,903000000,True,10,10,True,10,10,8.955688,1.507484,1.0,0.900499
James,2,4,James 2:4,False,138000000,138000000,True,10,10,True,10,10,8.139879,0.534361,0.908906,0.780968
James,2,5,James 2:5,False,106000000,106000000,True,9,9,True,9,9,8.025306,0.397694,0.896113,0.764181
James,2,6,James 2:6,False,59100000,59100000,True,10,10,True,10,10,7.771587,0.095051,0.867782,0.727006
James,2,7,James 2:7,False,42600000,42600000,True,10,10,True,10,10,7.62941,-0.074544,0.851907,0.706174
James,2,8,James 2:8,False,43100000,43100000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
James,2,9,James 2:9,False,74100000,74100000,True,9,9,True,9,9,7.869818,0.212224,0.878751,0.741399
James,2,10,James 2:10,False,96600000,96600000,True,9,9,True,9,9,7.984977,0.349589,0.89161,0.758272
James,2,11,James 2:11,False,25200000,25200000,True,9,9,True,9,9,7.401401,-0.34652,0.826447,0.672767
James,2,12,James 2:12,False,28100000,28100000,True,9,8,True,9,8,7.448706,-0.290092,0.831729,0.679698
James,2,13,James 2:13,False,23800000,23800000,True,10,10,True,10,10,7.376577,-0.376131,0.823675,0.66913
James,2,14,James 2:14,False,53300000,53300000,True,9,9,True,9,9,7.726727,0.04154,0.862773,0.720433
James,2,15,James 2:15,False,26300000,26300000,True,9,9,True,9,9,7.419956,-0.324387,0.828519,0.675485
James,2,16,James 2:16,False,20400000,20400000,True,9,9,True,9,9,7.30963,-0.455987,0.8162,0.659321
James,2,17,James 2:17,False,19600000,19600000,True,7,7,True,7,7,7.292256,-0.476711,0.81426,0.656775
James,2,18,James 2:18,False,20500000,20500000,True,9,9,True,9,9,7.311754,-0.453454,0.816437,0.659632
James,2,19,James 2:19,False,18800000,18800000,True,8,8,True,8,8,7.274158,-0.498299,0.812239,0.654123
James,2,20,James 2:20,False,26700000,26700000,True,10,10,True,10,10,7.426511,-0.316567,0.829251,0.676446
James,2,21,James 2:21,False,19100000,19100000,True,10,10,True,10,10,7.281033,-0.490098,0.813007,0.655131
James,2,22,James 2:22,False,64500000,64500000,True,9,9,True,9,9,7.80956,0.140345,0.872022,0.73257
James,2,23,James 2:23,False,61900000,61900000,True,10,10,True,10,10,7.791691,0.119031,0.870027,0.729952
James,2,24,James 2:24,False,20400000,20400000,True,7,7,True,7,7,7.30963,-0.455987,0.8162,0.659321
James,2,25,James 2:25,False,112000000,112000000,True,10,10,True,10,10,8.049218,0.426218,0.898783,0.767684
James,2,26,James 2:26,False,91700000,91700000,True,8,8,True,8,8,7.962369,0.322622,0.889085,0.754959
James,3,1,James 3:1,False,207000000,207000000,True,9,8,True,9,8,8.31597,0.744408,0.928569,0.806768
James,3,2,James 3:2,False,102000000,102000000,True,9,9,True,9,9,8.0086,0.377767,0.894247,0.761733
James,3,3,James 3:3,False,75300000,75300000,True,8,8,True,8,8,7.876795,0.220546,0.87953,0.742421
James,3,4,James 3:4,False,805000000,805000000,True,9,9,True,9,9,8.905796,1.447972,0.994429,0.893189
James,3,5,James 3:5,False,142000000,142000000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
James,3,6,James 3:6,False,77500000,77500000,True,9,9,True,9,9,7.889302,0.235464,0.880926,0.744253
James,3,7,James 3:7,False,47600000,47600000,True,9,9,True,9,9,7.677607,-0.017052,0.857288,0.713236
James,3,8,James 3:8,False,46400000,46400000,True,8,8,True,8,8,7.666518,-0.030279,0.85605,0.711611
James,3,9,James 3:9,False,33800000,33800000,True,9,9,True,9,9,7.528917,-0.194415,0.840685,0.69145
James,3,10,James 3:10,False,94500000,94500000,True,10,10,True,10,10,7.975432,0.338203,0.890544,0.756873
James,3,11,James 3:11,False,25300000,25300000,True,9,9,True,9,9,7.403121,-0.344469,0.826639,0.673019
James,3,12,James 3:12,False,29500000,29500000,True,10,10,True,10,10,7.469822,-0.264905,0.834087,0.682792
James,3,13,James 3:13,False,22900000,22900000,True,9,9,True,9,9,7.359836,-0.3961,0.821806,0.666677
James,3,14,James 3:14,False,22500000,22500000,True,9,9,True,9,9,7.352183,-0.405229,0.820951,0.665555
James,3,15,James 3:15,False,27000000,27000000,True,10,10,True,10,10,7.431364,-0.310779,0.829793,0.677157
James,3,16,James 3:16,False,28900000,28900000,True,8,8,True,8,8,7.460898,-0.27555,0.83309,0.681484
James,3,17,James 3:17,False,20200000,20200000,True,8,8,True,8,8,7.305351,-0.461091,0.815722,0.658694
James,3,18,James 3:18,False,19900000,19900000,True,9,9,True,9,9,7.298853,-0.468842,0.814996,0.657742
James,4,1,James 4:1,False,94800000,94800000,True,8,8,True,8,8,7.976808,0.339845,0.890697,0.757075
James,4,2,James 4:2,False,65800000,65800000,True,9,9,True,9,9,7.818226,0.150683,0.87299,0.73384
James,4,3,James 4:3,False,77700000,77700000,True,8,8,True,8,8,7.890421,0.236799,0.881051,0.744417
James,4,4,James 4:4,False,61900000,61900000,True,8,8,True,8,8,7.791691,0.119031,0.870027,0.729952
James,4,5,James 4:5,False,364000000,364000000,True,9,9,True,9,9,8.561101,1.036809,0.95594,0.842685
James,4,6,James 4:6,False,119000000,119000000,True,9,9,True,9,9,8.075547,0.457624,0.901723,0.771542
James,4,7,James 4:7,False,60100000,60100000,True,9,8,True,9,8,7.778874,0.103743,0.868596,0.728074
James,4,8,James 4:8,False,113000000,113000000,True,8,8,True,8,8,8.053078,0.430822,0.899214,0.76825
James,4,9,James 4:9,False,33800000,33800000,True,9,9,True,9,9,7.528917,-0.194415,0.840685,0.69145
James,4,10,James 4:10,False,41900000,41900000,True,9,9,True,9,9,7.622214,-0.083127,0.851103,0.70512
James,4,11,James 4:11,False,26300000,26300000,True,8,8,True,8,8,7.419956,-0.324387,0.828519,0.675485
James,4,12,James 4:12,False,28000000,28000000,True,9,9,True,9,9,7.447158,-0.291939,0.831556,0.679471
