book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
John,1,1,John 1:1,False,444000000,444000000,True,9,9,True,9,9,8.647383,2.955047,0.856992,0.911198
John,1,2,John 1:2,False,1270000000,1270000000,True,9,9,True,9,9,9.103804,4.013109,1.0,1.0
John,1,3,John 1:3,False,377000000,377000000,True,9,9,True,9,9,8.576341,2.79036,0.834733,0.886864
John,1,4,John 1:4,False,309000000,309000000,True,8,8,True,8,8,8.489958,2.59011,0.807667,0.857274
John,1,5,John 1:5,False,259000000,259000000,True,7,7,True,7,7,8.4133,2.412401,0.783648,0.831016
John,1,6,John 1:6,False,168000000,168000000,True,9,9,True,9,9,8.225309,1.976607,0.724746,0.766622
John,1,7,John 1:7,False,134000000,134000000,True,9,9,True,9,9,8.127105,1.748952,0.693976,0.732983
John,1,8,John 1:8,False,230000000,230000000,True,9,9,True,9,9,8.361728,2.292849,0.76749,0.81335
John,1,9,John 1:9,False,122000000,122000000,True,8,8,True,8,8,8.08636,1.654498,0.68121,0.719026
John,1,10,John 1:10,False,197000000,197000000,True,7,7,True,7,7,8.294466,2.136925,0.746415,0.790311
John,1,11,John 1:11,False,115000000,115000000,True,10,10,True,10,10,8.060698,1.595009,0.67317,0.710236
John,1,12,John 1:12,False,197000000,197000000,True,9,9,True,9,9,8.294466,2.136925,0.746415,0.790311
John,1,13,John 1:13,False,104000000,104000000,True,9,9,True,9,9,8.017033,1.493787,0.659488,0.695279
John,1,14,John 1:14,False,101000000,101000000,True,8,8,True,8,8,8.004321,1.464318,0.655505,0.690924
John,1,15,John 1:15,False,109000000,109000000,True,10,10,True,10,10,8.037427,1.541062,0.665878,0.702264
John,1,16,John 1:16,False,95600000,95600000,True,9,8,True,9,8,7.980458,1.408999,0.648028,0.68275
John,1,17,John 1:17,False,83600000,83600000,True,9,9,True,9,9,7.922206,1.273961,0.629777,0.662797
John,1,18,John 1:18,False,83900000,83900000,True,9,9,True,9,9,7.923762,1.277568,0.630264,0.66333
John,1,19,John 1:19,False,125000000,125000000,True,9,9,True,9,9,8.09691,1.678955,0.684516,0.72264
John,1,20,John 1:20,False,94500000,94500000,True,9,9,True,9,9,7.975432,1.397347,0.646454,0.681029
John,1,21,John 1:21,False,89200000,89200000,True,10,10,True,10,10,7.950365,1.339238,0.6386,0.672442
John,1,22,John 1:22,False,89900000,89900000,True,9,9,True,9,9,7.95376,1.347108,0.639663,0.673605
John,1,23,John 1:23,False,54900000,54900000,True,9,9,True,9,9,7.739572,0.850584,0.572553,0.600237
John,1,24,John 1:24,False,86800000,86800000,True,10,10,True,10,10,7.93852,1.311779,0.634888,0.668385
John,1,25,John 1:25,False,140000000,140000000,True,10,10,True,10,10,8.146128,1.793051,0.699937,0.739499
John,1,26,John 1:26,False,53500000,53500000,True,10,10,True,10,10,7.728354,0.824578,0.569038,0.596395
John,1,27,John 1:27,False,75400000,75400000,True,10,10,True,10,10,7.877371,1.170026,0.615729,0.647439
John,1,28,John 1:28,False,39900000,39900000,True,10,10,True,10,10,7.600973,0.529287,0.529127,0.552762
John,1,29,John 1:29,False,41300000,41300000,True,9,9,True,9,9,7.61595,0.564006,0.533819,0.557892
John,1,30,John 1:30,False,90500000,90500000,True,9,9,True,9,9,7.956649,1.353805,0.640568,0.674595
John,1,31,John 1:31,False,41300000,41300000,True,9,9,True,9,9,7.61595,0.564006,0.533819,0.557892
John,1,32,John 1:32,False,62500000,62500000,True,10,10,True,10,10,7.79588,0.981115,0.590196,0.619525
John,1,33,John 1:33,False,24100000,24100000,True,9,9,True,9,9,7.382017,0.021709,0.460522,0.477761
John,1,34,John 1:34,False,21700000,21700000,True,10,10,True,10,10,7.33646,-0.083901,0.446248,0.462155
John,1,35,John 1:35,False,26400000,26400000,True,10,10,True,10,10,7.421604,0.113478,0.472926,0.491321
John,1,36,John 1:36,False,21800000,21800000,True,10,10,True,10,10,7.338457,-0.079272,0.446874,0.462839
John,1,37,John 1:37,False,42700000,42700000,True,10,10,True,10,10,7.630428,0.597568,0.538356,0.562851
John,1,38,John 1:38,False,19500000,19500000,True,9,9,True,9,9,7.290035,-0.191522,0.431702,0.446253
John,1,39,John 1:39,False,21100000,21100000,True,10,10,True,10,10,7.324282,-0.11213,0.442433,0.457984
John,1,40,John 1:40,False,25400000,25400000,True,9,9,True,9,9,7.404834,0.074602,0.467671,0.485576
John,1,41,John 1:41,False,37400000,37400000,True,10,10,True,10,10,7.572872,0.464143,0.520322,0.543136
