book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Joshua,1,1,Joshua 1:1,False,38900000,38900000,True,8,8,True,8,8,7.58995,2.262175,0.766012,0.810419
Joshua,1,2,Joshua 1:2,False,263000000,263000000,True,10,10,True,10,10,8.419956,3.896148,1.0,1.0
Joshua,1,3,Joshua 1:3,False,32700000,32700000,True,8,8,True,8,8,7.514548,2.113737,0.744755,0.787769
Joshua,1,4,Joshua 1:4,False,28300000,28300000,True,9,9,True,9,9,7.451786,1.990184,0.727062,0.768916
Joshua,1,5,Joshua 1:5,False,44900000,44900000,True,9,9,True,9,9,7.652246,2.384814,0.783574,0.829132
Joshua,1,6,Joshua 1:6,False,14500000,14500000,True,8,8,True,8,8,7.161368,1.418458,0.64519,0.681678
Joshua,1,7,Joshua 1:7,False,25500000,25500000,True,9,9,True,9,9,7.40654,1.901111,0.714306,0.755325
Joshua,1,8,Joshua 1:8,False,15200000,15200000,True,7,7,True,7,7,7.181844,1.458767,0.650962,0.687828
Joshua,1,9,Joshua 1:9,False,12300000,12300000,True,7,7,True,7,7,7.089905,1.277774,0.625043,0.660211
Joshua,1,10,Joshua 1:10,False,15700000,15700000,True,10,10,True,10,10,7.1959,1.486438,0.654924,0.69205
Joshua,1,11,Joshua 1:11,False,9660000,9660000,True,10,10,True,10,10,6.984977,1.07121,0.595463,0.628692
Joshua,1,12,Joshua 1:12,False,23500000,23500000,True,9,9,True,9,9,7.371068,1.831279,0.704306,0.744669
Joshua,1,13,Joshua 1:13,False,8230000,8230000,True,10,10,True,10,10,6.9154,0.934238,0.575848,0.607791
Joshua,1,14,Joshua 1:14,False,8680000,8680000,True,10,10,True,10,10,6.93852,0.979753,0.582366,0.614736
Joshua,1,15,Joshua 1:15,False,9210000,9210000,True,10,10,True,10,10,6.96426,1.030425,0.589622,0.622468
Joshua,1,16,Joshua 1:16,False,8340000,8340000,True,9,9,True,9,9,6.921166,0.94559,0.577474,0.609524
Joshua,1,17,Joshua 1:17,False,6940000,6940000,True,9,9,True,9,9,6.84136,0.78848,0.554975,0.585551
Joshua,1,18,Joshua 1:18,False,15700000,15700000,True,10,10,True,10,10,7.1959,1.486438,0.654924,0.69205
Joshua,2,1,Joshua 2:1,False,49900000,49900000,True,9,9,True,9,9,7.698101,2.475084,0.796501,0.842906
Joshua,2,2,Joshua 2:2,False,32800000,32800000,True,10,10,True,10,10,7.515874,2.116348,0.745129,0.788167
Joshua,2,3,Joshua 2:3,False,73800000,73800000,True,10,10,True,10,10,7.868056,2.809664,0.844413,0.893959
Joshua,2,4,Joshua 2:4,False,18900000,18900000,True,9,9,True,9,9,7.276462,1.645035,0.677636,0.71625
Joshua,2,5,Joshua 2:5,False,14400000,14400000,True,9,9,True,9,9,7.158363,1.412541,0.644342,0.680775
Joshua,2,6,Joshua 2:6,False,9010000,9010000,True,9,9,True,9,9,6.954725,1.011654,0.586934,0.619604
Joshua,2,7,Joshua 2:7,False,7570000,7570000,True,9,9,True,9,9,6.879096,0.862769,0.565614,0.596886
Joshua,2,8,Joshua 2:8,False,13100000,13100000,True,9,9,True,9,9,7.117271,1.331648,0.632758,0.668431
Joshua,2,9,Joshua 2:9,False,10300000,10300000,True,10,10,True,10,10,7.012837,1.126056,0.603317,0.637061
