book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Jude,1,1,Jude 1:1,False,25400000,25400000,True,9,9,True,9,9,7.404834,1.794403,0.690128,0.733704
Jude,1,2,Jude 1:2,False,97500000,97500000,True,9,9,True,9,9,7.989005,3.218742,1.0,1.0
Jude,1,3,Jude 1:3,False,12600000,12600000,True,8,8,True,8,8,7.100371,1.052054,0.528626,0.587313
Jude,1,4,Jude 1:4,False,9700000,9700000,True,9,9,True,9,9,6.986772,0.775074,0.468368,0.532692
Jude,1,5,Jude 1:5,False,7130000,7130000,True,9,9,True,9,9,6.85309,0.449127,0.397457,0.468416
Jude,1,6,Jude 1:6,False,5550000,5550000,True,8,8,True,8,8,6.744293,0.183857,0.339746,0.416105
Jude,1,7,Jude 1:7,False,4970000,4970000,True,10,10,True,10,10,6.696356,0.066977,0.314318,0.393056
Jude,1,8,Jude 1:8,False,5310000,5310000,True,9,9,True,9,9,6.725095,0.137047,0.329562,0.406874
Jude,1,9,Jude 1:9,False,6960000,6960000,True,9,9,True,9,9,6.842609,0.423574,0.391897,0.463377
Jude,1,10,Jude 1:10,False,5140000,5140000,True,8,8,True,8,8,6.710963,0.102591,0.322066,0.400079
Jude,1,11,Jude 1:11,False,6690000,6690000,True,9,9,True,9,9,6.825426,0.381678,0.382783,0.455115
Jude,1,12,Jude 1:12,False,6920000,6920000,True,9,9,True,9,9,6.840106,0.417471,0.39057,0.462173
Jude,1,13,Jude 1:13,False,3300000,3300000,True,10,10,True,10,10,6.518514,-0.366643,0.219982,0.307546
Jude,1,14,Jude 1:14,False,3400000,3400000,True,10,10,True,10,10,6.531479,-0.335031,0.226859,0.31378
Jude,1,15,Jude 1:15,False,3800000,3800000,True,9,9,True,9,9,6.579784,-0.217254,0.252482,0.337006
Jude,1,16,Jude 1:16,False,5030000,5030000,True,9,9,True,9,9,6.701568,0.079684,0.317082,0.395562
Jude,1,17,Jude 1:17,False,2420000,2420000,True,8,8,True,8,8,6.383816,-0.695068,0.148531,0.242781
Jude,1,18,Jude 1:18,False,3220000,3220000,True,10,10,True,10,10,6.507856,-0.392629,0.214328,0.302422
Jude,1,19,Jude 1:19,False,2190000,2190000,True,9,9,True,9,9,6.340444,-0.800816,0.125525,0.221927
Jude,1,20,Jude 1:20,False,3470000,3470000,True,10,10,True,10,10,6.54033,-0.313452,0.231554,0.318036
Jude,1,21,Jude 1:21,False,2070000,2070000,True,9,9,True,9,9,6.315971,-0.860489,0.112543,0.21016
Jude,1,22,Jude 1:22,False,1540000,1540000,True,9,9,True,9,9,6.187521,-1.173678,0.044407,0.148399
Jude,1,23,Jude 1:23,False,1270000,1270000,True,8,8,True,8,8,6.103804,-1.377798,0.0,0.108147
Jude,1,24,Jude 1:24,False,1420000,1420000,True,9,9,True,9,9,6.152289,-1.259582,0.025719,0.131459
Jude,1,25,Jude 1:25,False,1380000,1380000,True,9,9,True,9,9,6.139879,-1.289839,0.019136,0.125492
