book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Judges,1,1,Judges 1:1,False,19800000,19800000,True,10,10,True,10,10,7.296665,2.264591,0.837542,0.853498
Judges,1,2,Judges 1:2,False,49700000,49700000,True,8,8,True,8,8,7.696356,3.183018,0.996893,0.998136
Judges,1,3,Judges 1:3,False,20200000,20200000,True,8,8,True,8,8,7.305351,2.284551,0.841005,0.856906
Judges,1,4,Judges 1:4,False,13100000,13100000,True,8,8,True,8,8,7.117271,1.852373,0.76602,0.783104
Judges,1,5,Judges 1:5,False,11300000,11300000,True,9,9,True,9,9,7.053078,1.704868,0.740428,0.757914
Judges,1,6,Judges 1:6,False,8380000,8380000,True,10,10,True,10,10,6.923244,1.406529,0.688665,0.706967
Judges,1,7,Judges 1:7,False,7110000,7110000,True,10,10,True,10,10,6.85187,1.242522,0.660209,0.67896
Judges,1,8,Judges 1:8,False,14500000,14500000,True,10,10,True,10,10,7.161368,1.9537,0.783601,0.800407
Judges,1,9,Judges 1:9,False,11000000,11000000,True,10,10,True,10,10,7.041393,1.678016,0.735769,0.753329
Judges,1,10,Judges 1:10,False,9590000,9590000,True,10,10,True,10,10,6.981819,1.541124,0.712017,0.729952
Judges,1,11,Judges 1:11,False,6710000,6710000,True,10,10,True,10,10,6.826723,1.184738,0.650183,0.669092
Judges,1,12,Judges 1:12,False,13300000,13300000,True,9,9,True,9,9,7.123852,1.867493,0.768644,0.785686
Judges,1,13,Judges 1:13,False,7030000,7030000,True,10,10,True,10,10,6.846955,1.23123,0.658249,0.677032
Judges,1,14,Judges 1:14,False,10600000,10600000,True,10,10,True,10,10,7.025306,1.641051,0.729355,0.747016
Judges,1,15,Judges 1:15,False,11700000,11700000,True,8,8,True,8,8,7.068186,1.739582,0.746451,0.763843
Judges,1,16,Judges 1:16,False,6190000,6190000,True,10,10,True,10,10,6.791691,1.10424,0.636216,0.655346
Judges,1,17,Judges 1:17,False,5590000,5590000,True,10,10,True,10,10,6.747412,1.002495,0.618563,0.637971
Judges,1,18,Judges 1:18,False,6930000,6930000,True,10,10,True,10,10,6.840733,1.216932,0.655769,0.67459
Judges,1,19,Judges 1:19,False,5420000,5420000,True,10,10,True,10,10,6.733999,0.971675,0.613216,0.632708
Judges,1,20,Judges 1:20,False,9350000,9350000,True,10,10,True,10,10,6.970812,1.515832,0.707629,0.725633
Judges,1,21,Judges 1:21,False,5090000,5090000,True,9,9,True,9,9,6.706718,0.908986,0.602339,0.622002
Judges,1,22,Judges 1:22,False,4700000,4700000,True,10,10,True,10,10,6.672098,0.829435,0.588536,0.608418
Judges,1,23,Judges 1:23,False,6530000,6530000,True,10,10,True,10,10,6.814913,1.157602,0.645475,0.664458
Judges,1,24,Judges 1:24,False,6180000,6180000,True,10,10,True,10,10,6.790989,1.102627,0.635936,0.65507
Judges,1,25,Judges 1:25,False,25300000,25300000,True,10,10,True,10,10,7.403121,2.509209,0.879984,0.895271
Judges,1,26,Judges 1:26,False,6200000,6200000,True,10,10,True,10,10,6.792392,1.105851,0.636496,0.655621
Judges,1,27,Judges 1:27,False,5700000,5700000,True,10,10,True,10,10,6.755875,1.021941,0.621937,0.641292
Judges,1,28,Judges 1:28,False,3780000,3780000,True,10,10,True,10,10,6.577492,0.612046,0.550819,0.571294
Judges,1,29,Judges 1:29,False,5050000,5050000,True,10,10,True,10,10,6.703291,0.901113,0.600973,0.620658
Judges,1,30,Judges 1:30,False,8520000,8520000,True,10,10,True,10,10,6.93044,1.423063,0.691533,0.709791
Judges,1,31,Judges 1:31,False,5150000,5150000,True,10,10,True,10,10,6.711807,0.920681,0.604368,0.624
Judges,1,32,Judges 1:32,False,4290000,4290000,True,10,10,True,10,10,6.632457,0.738348,0.572732,0.592863
Judges,1,33,Judges 1:33,False,1300000,1300000,True,10,10,True,10,10,6.113944,-0.453115,0.366009,0.389398
Judges,1,34,Judges 1:34,False,2120000,2120000,True,10,10,True,10,10,6.326336,0.034929,0.450687,0.472741
Judges,1,35,Judges 1:35,False,1830000,1830000,True,10,10,True,10,10,6.262451,-0.111868,0.425217,0.447672
Judges,1,36,Judges 1:36,False,1500000,1500000,True,10,10,True,10,10,6.176092,-0.310309,0.390786,0.413785
Judges,2,1,Judges 2:1,False,13400000,13400000,True,9,9,True,9,9,7.127105,1.874969,0.769941,0.786962
Judges,2,2,Judges 2:2,False,8440000,8440000,True,8,8,True,8,8,6.926342,1.413649,0.6899,0.708183
Judges,2,3,Judges 2:3,False,28500000,28500000,True,9,9,True,9,9,7.454845,2.628063,0.900606,0.915568
Judges,2,4,Judges 2:4,False,10100000,10100000,True,8,8,True,8,8,7.004321,1.592832,0.720989,0.738782
Judges,2,5,Judges 2:5,False,14300000,14300000,True,9,9,True,9,9,7.155336,1.93984,0.781196,0.79804
Judges,2,6,Judges 2:6,False,5700000,5700000,True,10,10,True,10,10,6.755875,1.021941,0.621937,0.641292
Judges,2,7,Judges 2:7,False,6900000,6900000,True,9,9,True,9,9,6.838849,1.212603,0.655018,0.673851
Judges,2,8,Judges 2:8,False,6450000,6450000,True,10,10,True,10,10,6.80956,1.145301,0.64334,0.662358
Judges,2,9,Judges 2:9,False,5480000,5480000,True,10,10,True,10,10,6.738781,0.982661,0.615122,0.634584
Judges,2,10,Judges 2:10,False,5170000,5170000,True,9,9,True,9,9,6.713491,0.924549,0.605039,0.62466
Judges,2,11,Judges 2:11,False,5420000,5420000,True,10,10,True,10,10,6.733999,0.971675,0.613216,0.632708
Judges,2,12,Judges 2:12,False,5190000,5190000,True,10,10,True,10,10,6.715167,0.928402,0.605708,0.625318
Judges,2,13,Judges 2:13,False,3780000,3780000,True,10,10,True,10,10,6.577492,0.612046,0.550819,0.571294
Judges,2,14,Judges 2:14,False,3890000,3890000,True,9,9,True,9,9,6.58995,0.640672,0.555785,0.576183
Judges,2,15,Judges 2:15,False,4380000,4380000,True,9,9,True,9,9,6.641474,0.759067,0.576327,0.596401
Judges,2,16,Judges 2:16,False,4780000,4780000,True,10,10,True,10,10,6.679428,0.846278,0.591459,0.611294
Judges,2,17,Judges 2:17,False,3310000,3310000,True,10,10,True,10,10,6.519828,0.479543,0.527829,0.548667
Judges,2,18,Judges 2:18,False,3700000,3700000,True,10,10,True,10,10,6.568202,0.590698,0.547115,0.567649
Judges,2,19,Judges 2:19,False,3980000,3980000,True,10,10,True,10,10,6.599883,0.663497,0.559746,0.58008
Judges,2,20,Judges 2:20,False,4670000,4670000,True,10,10,True,10,10,6.669317,0.823045,0.587428,0.607326
Judges,2,21,Judges 2:21,False,4380000,4380000,True,10,10,True,10,10,6.641474,0.759067,0.576327,0.596401
Judges,2,22,Judges 2:22,False,2690000,2690000,True,10,10,True,10,10,6.429752,0.272564,0.491917,0.513321
Judges,2,23,Judges 2:23,False,2930000,2930000,True,10,10,True,10,10,6.466868,0.357849,0.506714,0.527885
Judges,3,1,Judges 3:1,False,9650000,9650000,True,8,8,True,8,8,6.984527,1.547348,0.713097,0.731015
Judges,3,2,Judges 3:2,False,8020000,8020000,True,10,10,True,10,10,6.904174,1.36271,0.681062,0.699484
Judges,3,3,Judges 3:3,False,6950000,6950000,True,9,9,True,9,9,6.841985,1.219808,0.656268,0.675081
Judges,3,4,Judges 3:4,False,22700000,22700000,True,8,8,True,8,8,7.356026,2.400993,0.861208,0.876791
Judges,3,5,Judges 3:5,False,10300000,10300000,True,8,8,True,8,8,7.012837,1.6124,0.724384,0.742124
Judges,3,6,Judges 3:6,False,6280000,6280000,True,9,9,True,9,9,6.79796,1.118646,0.638716,0.657806
Judges,3,7,Judges 3:7,False,5120000,5120000,True,9,9,True,9,9,6.70927,0.914851,0.603356,0.623004
Judges,3,8,Judges 3:8,False,4870000,4870000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Judges,3,9,Judges 3:9,False,5180000,5180000,True,10,10,True,10,10,6.71433,0.926477,0.605374,0.624989
Judges,3,10,Judges 3:10,False,7240000,7240000,True,10,10,True,10,10,6.859739,1.260604,0.663346,0.682048
Judges,3,11,Judges 3:11,False,5010000,5010000,True,10,10,True,10,10,6.699838,0.893177,0.599596,0.619303
