book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Leviticus,1,1,Leviticus 1:1,False,3680000,3680000,True,9,9,True,9,9,6.565848,2.400423,0.909602,0.90579
Leviticus,1,2,Leviticus 1:2,False,5020000,5020000,True,8,8,True,8,8,6.700704,2.718376,0.959901,0.957166
Leviticus,1,3,Leviticus 1:3,False,3850000,3850000,True,7,7,True,7,7,6.585461,2.446665,0.916918,0.913262
Leviticus,1,4,Leviticus 1:4,False,3490000,3490000,True,8,8,True,8,8,6.542826,2.346143,0.901015,0.897019
Leviticus,1,5,Leviticus 1:5,False,3210000,3210000,True,9,9,True,9,9,6.506505,2.26051,0.887468,0.883182
Leviticus,1,6,Leviticus 1:6,False,2410000,2410000,True,9,9,True,9,9,6.382017,1.967002,0.841036,0.835755
Leviticus,1,7,Leviticus 1:7,False,2380000,2380000,True,8,8,True,8,8,6.376577,1.954176,0.839007,0.833683
Leviticus,1,8,Leviticus 1:8,False,2880000,2880000,True,9,9,True,9,9,6.459393,2.149431,0.869896,0.865233
Leviticus,1,9,Leviticus 1:9,False,2090000,2090000,True,10,10,True,10,10,6.320146,1.821128,0.817959,0.812184
Leviticus,1,10,Leviticus 1:10,False,1740000,1740000,True,10,10,True,10,10,6.240549,1.63346,0.788271,0.78186
Leviticus,1,11,Leviticus 1:11,False,1710000,1710000,True,10,10,True,10,10,6.232996,1.615652,0.785454,0.778982
Leviticus,1,12,Leviticus 1:12,False,1260000,1260000,True,9,9,True,9,9,6.100371,1.302958,0.735986,0.728456
Leviticus,1,13,Leviticus 1:13,False,1960000,1960000,True,10,10,True,10,10,6.292256,1.755371,0.807557,0.801559
Leviticus,1,14,Leviticus 1:14,False,1340000,1340000,True,10,10,True,10,10,6.127105,1.36599,0.745958,0.738641
Leviticus,1,15,Leviticus 1:15,False,1170000,1170000,True,9,9,True,9,9,6.068186,1.227076,0.723982,0.716194
Leviticus,1,16,Leviticus 1:16,False,1050000,1050000,True,9,9,True,9,9,6.02119,1.116271,0.706453,0.69829
Leviticus,1,17,Leviticus 1:17,False,1020000,1020000,True,10,10,True,10,10,6.008601,1.08659,0.701757,0.693494
Leviticus,2,1,Leviticus 2:1,False,2520000,2520000,True,10,10,True,10,10,6.401401,2.012703,0.848266,0.84314
Leviticus,2,2,Leviticus 2:2,False,1230000,1230000,True,9,9,True,9,9,6.089905,1.278284,0.732083,0.724469
Leviticus,2,3,Leviticus 2:3,False,6430000,6430000,True,9,9,True,9,9,6.808211,2.971848,1.0,0.998123
Leviticus,2,4,Leviticus 2:4,False,1780000,1780000,True,9,9,True,9,9,6.25042,1.656733,0.791952,0.78562
Leviticus,2,5,Leviticus 2:5,False,1300000,1300000,True,10,10,True,10,10,6.113944,1.334959,0.741049,0.733627
Leviticus,2,6,Leviticus 2:6,False,902000,902000,True,9,9,True,9,9,5.955207,0.960703,0.681842,0.673152
Leviticus,2,7,Leviticus 2:7,False,1480000,1480000,True,10,10,True,10,10,6.170262,1.467742,0.762055,0.755082
Leviticus,2,8,Leviticus 2:8,False,1110000,1110000,True,9,9,True,9,9,6.045323,1.173172,0.715454,0.707484
Leviticus,2,9,Leviticus 2:9,False,1060000,1060000,True,8,8,True,8,8,6.025306,1.125977,0.707988,0.699858
Leviticus,2,10,Leviticus 2:10,False,1450000,1450000,True,9,9,True,9,9,6.161368,1.446773,0.758737,0.751694
Leviticus,2,11,Leviticus 2:11,False,1430000,1430000,True,9,9,True,9,9,6.155336,1.432552,0.756488,0.749396
Leviticus,2,12,Leviticus 2:12,False,733000,733000,True,9,9,True,9,9,5.865105,0.748266,0.648236,0.638826
Leviticus,2,13,Leviticus 2:13,False,831000,831000,True,9,9,True,9,9,5.919602,0.876755,0.668562,0.659588
Leviticus,2,14,Leviticus 2:14,False,874000,874000,True,9,9,True,9,9,5.941512,0.928413,0.676734,0.667935
Leviticus,2,15,Leviticus 2:15,False,865000,865000,True,9,9,True,9,9,5.937017,0.917815,0.675058,0.666222
Leviticus,2,16,Leviticus 2:16,False,694000,694000,True,9,9,True,9,9,5.84136,0.692283,0.639379,0.62978
Leviticus,3,1,Leviticus 3:1,False,2310000,2310000,True,8,8,True,8,8,6.363612,1.923608,0.834171,0.828743
Leviticus,3,2,Leviticus 3:2,False,1430000,1430000,True,9,9,True,9,9,6.155336,1.432552,0.756488,0.749396
Leviticus,3,3,Leviticus 3:3,False,989000,989000,True,9,9,True,9,9,5.995197,1.054987,0.696758,0.688387
Leviticus,3,4,Leviticus 3:4,False,3820000,3820000,True,9,9,True,9,9,6.582063,2.438655,0.91565,0.911967
Leviticus,3,5,Leviticus 3:5,False,2350000,2350000,True,9,9,True,9,9,6.371068,1.941187,0.836952,0.831584
Leviticus,3,6,Leviticus 3:6,False,1150000,1150000,True,10,10,True,10,10,6.060698,1.209421,0.721189,0.713342
Leviticus,3,7,Leviticus 3:7,False,902000,902000,True,10,10,True,10,10,5.955207,0.960703,0.681842,0.673152
Leviticus,3,8,Leviticus 3:8,False,993000,993000,True,9,9,True,9,9,5.99695,1.05912,0.697412,0.689055
Leviticus,3,9,Leviticus 3:9,False,1470000,1470000,True,10,10,True,10,10,6.167318,1.4608,0.760956,0.753961
Leviticus,3,10,Leviticus 3:10,False,936000,936000,True,10,10,True,10,10,5.971276,0.99859,0.687836,0.679274
Leviticus,3,11,Leviticus 3:11,False,707000,707000,True,10,10,True,10,10,5.84942,0.711286,0.642385,0.63285
Leviticus,3,12,Leviticus 3:12,False,779000,779000,True,9,9,True,9,9,5.891538,0.810589,0.658095,0.648896
