book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Mark,1,1,Mark 1:1,False,458000000,458000000,True,9,9,True,9,9,8.660865,2.619508,0.880783,0.903104
Mark,1,2,Mark 1:2,False,1250000000,1250000000,True,9,9,True,9,9,9.09691,3.4938,1.0,1.0
Mark,1,3,Mark 1:3,False,376000000,376000000,True,8,8,True,8,8,8.575188,2.44772,0.857358,0.877596
Mark,1,4,Mark 1:4,False,564000000,564000000,True,10,10,True,10,10,8.751279,2.800792,0.905503,0.930021
Mark,1,5,Mark 1:5,False,236000000,236000000,True,9,9,True,9,9,8.372912,2.042146,0.802055,0.817376
Mark,1,6,Mark 1:6,False,141000000,141000000,True,9,9,True,9,9,8.149219,1.59363,0.740896,0.75078
Mark,1,7,Mark 1:7,False,105000000,105000000,True,9,9,True,9,9,8.021189,1.336924,0.705892,0.712664
Mark,1,8,Mark 1:8,False,140000000,140000000,True,10,10,True,10,10,8.146128,1.587432,0.740051,0.74986
Mark,1,9,Mark 1:9,False,92800000,92800000,True,10,10,True,10,10,7.967548,1.22937,0.691227,0.696694
Mark,1,10,Mark 1:10,False,175000000,175000000,True,10,10,True,10,10,8.243038,1.781742,0.766547,0.778711
Mark,1,11,Mark 1:11,False,78300000,78300000,True,9,9,True,9,9,7.893762,1.081425,0.671053,0.674727
Mark,1,12,Mark 1:12,False,192000000,192000000,True,9,9,True,9,9,8.283301,1.862472,0.777555,0.790698
Mark,1,13,Mark 1:13,False,61500000,61500000,True,8,8,True,8,8,7.788875,0.871122,0.642377,0.643501
Mark,1,14,Mark 1:14,False,61300000,61300000,True,10,10,True,10,10,7.78746,0.868285,0.64199,0.64308
Mark,1,15,Mark 1:15,False,75500000,75500000,True,10,10,True,10,10,7.877947,1.049715,0.666729,0.670019
Mark,1,16,Mark 1:16,False,64200000,64200000,True,8,8,True,8,8,7.807535,0.908536,0.647478,0.649056
Mark,1,17,Mark 1:17,False,108000000,108000000,True,9,9,True,9,9,8.033424,1.361454,0.709237,0.716306
Mark,1,18,Mark 1:18,False,50400000,50400000,True,10,10,True,10,10,7.702431,0.697796,0.618742,0.617765
Mark,1,19,Mark 1:19,False,43200000,43200000,True,10,10,True,10,10,7.635484,0.563564,0.600439,0.597834
Mark,1,20,Mark 1:20,False,66700000,66700000,True,10,10,True,10,10,7.824126,0.941801,0.652014,0.653995
Mark,1,21,Mark 1:21,False,37600000,37600000,True,10,10,True,10,10,7.575188,0.442667,0.583953,0.579883
Mark,1,22,Mark 1:22,True,103,35300000,True,9,9,True,8,8,7.547775,0.387703,0.576458,0.571722
Mark,1,23,Mark 1:23,False,46200000,46200000,True,10,10,True,10,10,7.664642,0.622028,0.608411,0.606515
Mark,1,24,Mark 1:24,False,79600000,79600000,True,10,10,True,10,10,7.900913,1.095764,0.673008,0.676856
Mark,1,25,Mark 1:25,False,50400000,50400000,True,9,9,True,9,9,7.702431,0.697796,0.618742,0.617765
Mark,1,26,Mark 1:26,False,32600000,32600000,True,10,10,True,10,10,7.513218,0.318414,0.56701,0.561434
Mark,1,27,Mark 1:27,False,27500000,27500000,True,9,9,True,9,9,7.439333,0.170271,0.54681,0.539437
Mark,1,28,Mark 1:28,False,26100000,26100000,True,10,10,True,10,10,7.416641,0.124772,0.540606,0.532682
Mark,1,29,Mark 1:29,False,56300000,56300000,True,9,9,True,9,9,7.750508,0.794194,0.631887,0.632078
Mark,1,30,Mark 1:30,False,73100000,73100000,True,10,10,True,10,10,7.863917,1.021585,0.662893,0.665842
Mark,1,31,Mark 1:31,False,58600000,58600000,True,10,10,True,10,10,7.767898,0.829061,0.636641,0.637255
Mark,1,32,Mark 1:32,False,44500000,44500000,True,10,10,True,10,10,7.64836,0.589381,0.603959,0.601667
Mark,1,33,Mark 1:33,False,17100000,17100000,True,9,9,True,9,9,7.232996,-0.243445,0.490396,0.478008
Mark,1,34,Mark 1:34,False,15300000,15300000,True,10,10,True,10,10,7.184691,-0.340298,0.47719,0.463627
Mark,1,35,Mark 1:35,False,19700000,19700000,True,9,9,True,9,9,7.294466,-0.120194,0.507203,0.496309
Mark,1,36,Mark 1:36,False,16100000,16100000,True,10,10,True,10,10,7.206826,-0.295918,0.483241,0.470217
Mark,1,37,Mark 1:37,False,14400000,14400000,True,10,10,True,10,10,7.158363,-0.393089,0.469991,0.455789
Mark,1,38,Mark 1:38,False,14100000,14100000,True,10,10,True,10,10,7.149219,-0.411422,0.467491,0.453067
Mark,1,39,Mark 1:39,False,14100000,14100000,True,10,10,True,10,10,7.149219,-0.411422,0.467491,0.453067
Mark,1,40,Mark 1:40,False,20900000,20900000,True,10,10,True,10,10,7.320146,-0.068704,0.514224,0.503954
Mark,1,41,Mark 1:41,False,13400000,13400000,True,10,10,True,10,10,7.127105,-0.455762,0.461445,0.446483
Mark,1,42,Mark 1:42,False,13100000,13100000,True,10,10,True,10,10,7.117271,-0.475479,0.458757,0.443555
Mark,1,43,Mark 1:43,False,14300000,14300000,True,9,9,True,9,9,7.155336,-0.399157,0.469164,0.454888
Mark,1,44,Mark 1:44,False,12000000,12000000,True,9,9,True,9,9,7.079181,-0.551852,0.448343,0.432215
Mark,1,45,Mark 1:45,False,18400000,18400000,True,9,9,True,9,9,7.264818,-0.179641,0.499097,0.487482
Mark,2,1,Mark 2:1,False,250000000,250000000,True,9,9,True,9,9,8.39794,2.092329,0.808898,0.824827
Mark,2,2,Mark 2:2,False,360000000,360000000,True,9,9,True,9,9,8.556303,2.409854,0.852195,0.871974
Mark,2,3,Mark 2:3,False,1010000000,1010000000,True,9,9,True,9,9,9.004321,3.308155,0.974686,0.984811
Mark,2,4,Mark 2:4,False,208000000,208000000,True,9,9,True,9,9,8.318063,1.932172,0.787059,0.801047
Mark,2,5,Mark 2:5,False,157000000,157000000,True,8,8,True,8,8,8.1959,1.687227,0.753659,0.764677
Mark,2,6,Mark 2:6,False,84900000,84900000,True,9,9,True,9,9,7.928908,1.151894,0.680662,0.68519
Mark,2,7,Mark 2:7,False,60000000,60000000,True,9,9,True,9,9,7.778151,0.84962,0.639445,0.640308
Mark,2,8,Mark 2:8,False,59900000,59900000,True,9,9,True,9,9,7.777427,0.848167,0.639247,0.640092
Mark,2,9,Mark 2:9,False,39900000,39900000,True,10,10,True,10,10,7.600973,0.494368,0.591003,0.58756
Mark,2,10,Mark 2:10,False,58000000,58000000,True,10,10,True,10,10,7.763428,0.820099,0.635419,0.635925
Mark,2,11,Mark 2:11,False,32500000,32500000,True,10,10,True,10,10,7.511883,0.315739,0.566646,0.561037
Mark,2,12,Mark 2:12,False,35800000,35800000,True,9,9,True,9,9,7.553883,0.39995,0.578128,0.57354
Mark,2,13,Mark 2:13,False,26900000,26900000,True,9,9,True,9,9,7.429752,0.151062,0.544191,0.536585
Mark,2,14,Mark 2:14,False,64000000,64000000,True,10,10,True,10,10,7.80618,0.905819,0.647108,0.648653
Mark,2,15,Mark 2:15,False,31200000,31200000,True,9,9,True,9,9,7.494155,0.280192,0.561798,0.555758
Mark,2,16,Mark 2:16,False,24900000,24900000,True,8,8,True,8,8,7.396199,0.083786,0.535017,0.526596
Mark,2,17,Mark 2:17,False,64300000,64300000,True,9,9,True,9,9,7.808211,0.909891,0.647663,0.649257
Mark,2,18,Mark 2:18,False,22300000,22300000,True,10,10,True,10,10,7.348305,-0.012245,0.521922,0.512337
Mark,2,19,Mark 2:19,False,23700000,23700000,True,9,9,True,9,9,7.374748,0.040776,0.529152,0.52021
Mark,2,20,Mark 2:20,False,31700000,31700000,True,10,10,True,10,10,7.501059,0.294036,0.563686,0.557814
Mark,2,21,Mark 2:21,False,22200000,22200000,True,9,9,True,9,9,7.346353,-0.016158,0.521389,0.511756
Mark,2,22,Mark 2:22,True,0,23500000,False,0,0,True,8,8,7.371068,0.033396,0.528146,0.519114
Mark,2,23,Mark 2:23,False,76400000,76400000,True,10,10,True,10,10,7.883093,1.060034,0.668136,0.671551
Mark,2,24,Mark 2:24,False,24600000,24600000,True,10,10,True,10,10,7.390935,0.073231,0.533578,0.525029
Mark,2,25,Mark 2:25,False,29800000,29800000,True,9,9,True,9,9,7.474216,0.240214,0.556347,0.549823
Mark,2,26,Mark 2:26,False,123000000,123000000,True,10,10,True,10,10,8.089905,1.474702,0.72468,0.733121
Mark,2,27,Mark 2:27,False,19400000,19400000,True,9,9,True,9,9,7.287802,-0.133557,0.505381,0.494325
Mark,2,28,Mark 2:28,False,20900000,20900000,True,8,7,True,8,7,7.320146,-0.068704,0.514224,0.503954
Mark,3,1,Mark 3:1,False,151000000,151000000,True,9,9,True,9,9,8.178977,1.653296,0.749032,0.759639
Mark,3,2,Mark 3:2,False,146000000,146000000,True,9,9,True,9,9,8.164353,1.623974,0.745034,0.755285
Mark,3,3,Mark 3:3,False,113000000,113000000,True,9,9,True,9,9,8.053078,1.400863,0.714611,0.722158
Mark,3,4,Mark 3:4,False,685000000,685000000,True,9,9,True,9,9,8.835691,2.970041,0.928581,0.955152
Mark,3,5,Mark 3:5,False,225000000,225000000,True,8,7,True,8,7,8.352183,2.000582,0.796388,0.811205
Mark,3,6,Mark 3:6,False,112000000,112000000,True,8,8,True,8,8,8.049218,1.393123,0.713556,0.721008
Mark,3,7,Mark 3:7,False,68600000,68600000,True,9,9,True,9,9,7.836324,0.966259,0.655349,0.657627
Mark,3,8,Mark 3:8,False,153000000,153000000,True,10,10,True,10,10,8.184691,1.664754,0.750595,0.76134
Mark,3,9,Mark 3:9,False,43100000,43100000,True,10,10,True,10,10,7.634477,0.561546,0.600163,0.597534
Mark,3,10,Mark 3:10,False,54300000,54300000,True,9,9,True,9,9,7.7348,0.762698,0.627592,0.627402
Mark,3,11,Mark 3:11,False,88600000,88600000,True,8,8,True,8,8,7.947434,1.18904,0.685727,0.690706
Mark,3,12,Mark 3:12,False,36200000,36200000,True,10,10,True,10,10,7.558709,0.409626,0.579448,0.574977
Mark,3,13,Mark 3:13,False,25400000,25400000,True,7,7,True,7,7,7.404834,0.101099,0.537378,0.529166
Mark,3,14,Mark 3:14,False,25800000,25800000,True,10,10,True,10,10,7.41162,0.114705,0.539233,0.531187
Mark,3,15,Mark 3:15,False,79100000,79100000,True,10,10,True,10,10,7.898176,1.090277,0.67226,0.676041
Mark,3,16,Mark 3:16,False,34300000,34300000,True,9,9,True,9,9,7.535294,0.362678,0.573046,0.568006
Mark,3,17,Mark 3:17,False,52000000,52000000,True,9,8,True,9,8,7.716003,0.72501,0.622453,0.621806
Mark,3,18,Mark 3:18,False,50800000,50800000,True,10,10,True,10,10,7.705864,0.704679,0.619681,0.618787
Mark,3,19,Mark 3:19,False,21100000,21100000,True,9,9,True,9,9,7.324282,-0.060411,0.515355,0.505185
Mark,3,20,Mark 3:20,True,134,26600000,True,8,8,True,8,8,7.424882,0.141296,0.542859,0.535135
Mark,3,21,Mark 3:21,False,20600000,20600000,True,9,9,True,9,9,7.313867,-0.081294,0.512507,0.502085
Mark,3,22,Mark 3:22,False,20000000,20000000,True,8,8,True,8,8,7.30103,-0.107033,0.508997,0.498263
Mark,3,23,Mark 3:23,False,41800000,41800000,True,9,9,True,9,9,7.621176,0.534877,0.596527,0.593575
Mark,3,24,Mark 3:24,False,19600000,19600000,True,10,10,True,10,10,7.292256,-0.124626,0.506598,0.495651
Mark,3,25,Mark 3:25,False,23300000,23300000,True,9,9,True,9,9,7.367356,0.025954,0.527131,0.518009
Mark,3,26,Mark 3:26,False,66600000,66600000,True,9,9,True,9,9,7.823474,0.940495,0.651836,0.653801
Mark,3,27,Mark 3:27,False,34700000,34700000,True,10,10,True,10,10,7.540329,0.372775,0.574423,0.569505
Mark,3,28,Mark 3:28,False,34600000,34600000,True,9,9,True,9,9,7.539076,0.370262,0.57408,0.569132
Mark,3,29,Mark 3:29,False,15800000,15800000,True,9,9,True,9,9,7.198657,-0.312296,0.481008,0.467785
Mark,3,30,Mark 3:30,False,43000000,43000000,True,9,9,True,9,9,7.633468,0.559523,0.599888,0.597234
Mark,3,31,Mark 3:31,False,18600000,18600000,True,9,9,True,9,9,7.269513,-0.170227,0.50038,0.48888
Mark,3,32,Mark 3:32,False,41400000,41400000,True,10,10,True,10,10,7.617,0.526504,0.595385,0.592331
Mark,3,33,Mark 3:33,False,11100000,11100000,True,10,10,True,10,10,7.045323,-0.619739,0.439086,0.422135
Mark,3,34,Mark 3:34,False,9600000,9600000,True,9,9,True,9,9,6.982271,-0.746161,0.421847,0.403364
Mark,3,35,Mark 3:35,False,39300000,39300000,True,9,9,True,9,9,7.594393,0.481174,0.589204,0.585601
Mark,4,1,Mark 4:1,False,298000000,298000000,True,8,8,True,8,8,8.474216,2.245266,0.829752,0.847536
Mark,4,2,Mark 4:2,False,96800000,96800000,True,10,10,True,10,10,7.985875,1.266117,0.696237,0.70215
Mark,4,3,Mark 4:3,False,128000000,128000000,True,9,9,True,9,9,8.10721,1.5094,0.729411,0.738273
Mark,4,4,Mark 4:4,False,94600000,94600000,True,9,9,True,9,9,7.975891,1.246098,0.693508,0.699178
Mark,4,5,Mark 4:5,False,510000000,510000000,True,8,8,True,8,8,8.70757,2.713153,0.893552,0.917008
Mark,4,6,Mark 4:6,False,164000000,164000000,True,8,8,True,8,8,8.214844,1.725211,0.758839,0.770317
Mark,4,7,Mark 4:7,False,73400000,73400000,True,9,9,True,9,9,7.865696,1.025152,0.66338,0.666371
Mark,4,8,Mark 4:8,False,167000000,167000000,True,9,9,True,9,9,8.222716,1.740996,0.760991,0.772661
Mark,4,9,Mark 4:9,False,107000000,107000000,True,8,8,True,8,8,8.029384,1.353354,0.708133,0.715103
Mark,4,10,Mark 4:10,False,138000000,138000000,True,10,10,True,10,10,8.139879,1.574903,0.738343,0.747999
Mark,4,11,Mark 4:11,False,80200000,80200000,True,10,10,True,10,10,7.904174,1.102303,0.6739,0.677827
Mark,4,12,Mark 4:12,False,86900000,86900000,True,10,10,True,10,10,7.93902,1.172169,0.683427,0.688201
Mark,4,13,Mark 4:13,False,25200000,25200000,True,9,9,True,9,9,7.401401,0.094215,0.536439,0.528144
Mark,4,14,Mark 4:14,False,23900000,23900000,True,10,10,True,10,10,7.378398,0.048093,0.53015,0.521296
Mark,4,15,Mark 4:15,False,65300000,65300000,True,10,10,True,10,10,7.814913,0.923329,0.649495,0.651253
Mark,4,16,Mark 4:16,False,24700000,24700000,True,10,10,True,10,10,7.392697,0.076764,0.534059,0.525553
Mark,4,17,Mark 4:17,False,22800000,22800000,True,10,10,True,10,10,7.357935,0.007064,0.524555,0.515204
