book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Matthew,1,1,Matthew 1:1,False,93500000,93500000,True,10,10,True,10,10,7.970812,2.231023,0.879737,0.876577
Matthew,1,2,Matthew 1:2,False,201000000,201000000,True,9,9,True,9,9,8.303196,2.774262,0.971837,0.968053
Matthew,1,3,Matthew 1:3,False,86400000,86400000,True,10,10,True,10,10,7.936514,2.174967,0.870234,0.867138
Matthew,1,4,Matthew 1:4,False,115000000,115000000,True,9,9,True,9,9,8.060698,2.37793,0.904644,0.901315
Matthew,1,5,Matthew 1:5,False,46800000,46800000,True,8,8,True,8,8,7.670246,1.739788,0.796454,0.793858
Matthew,1,6,Matthew 1:6,False,77900000,77900000,True,9,9,True,9,9,7.891537,2.10146,0.857771,0.85476
Matthew,1,7,Matthew 1:7,False,26300000,26300000,True,8,8,True,8,8,7.419956,1.330721,0.727101,0.724975
Matthew,1,8,Matthew 1:8,False,30700000,30700000,True,10,10,True,10,10,7.487138,1.440522,0.745717,0.743465
Matthew,1,9,Matthew 1:9,False,57100000,57100000,True,10,10,True,10,10,7.756636,1.880981,0.820391,0.817634
Matthew,1,10,Matthew 1:10,False,34900000,34900000,True,9,9,True,9,9,7.542825,1.531536,0.761147,0.75879
Matthew,1,11,Matthew 1:11,False,22200000,22200000,True,9,9,True,9,9,7.346353,1.210427,0.706706,0.704719
Matthew,1,12,Matthew 1:12,False,26800000,26800000,True,9,9,True,9,9,7.428135,1.344089,0.729367,0.727226
Matthew,1,13,Matthew 1:13,False,19900000,19900000,True,8,8,True,8,8,7.298853,1.132795,0.693545,0.691647
Matthew,1,14,Matthew 1:14,False,19200000,19200000,True,9,9,True,9,9,7.283301,1.107377,0.689236,0.687366
Matthew,1,15,Matthew 1:15,False,49800000,49800000,True,10,10,True,10,10,7.697229,1.783888,0.803931,0.801284
Matthew,1,16,Matthew 1:16,False,19100000,19100000,True,9,9,True,9,9,7.281033,1.103671,0.688607,0.686742
Matthew,1,17,Matthew 1:17,False,15900000,15900000,True,7,7,True,7,7,7.201397,0.973516,0.666541,0.664826
Matthew,1,18,Matthew 1:18,False,42000000,42000000,True,8,8,True,8,8,7.623249,1.662978,0.783431,0.780924
Matthew,1,19,Matthew 1:19,False,14400000,14400000,True,9,9,True,9,9,7.158363,0.903181,0.654616,0.652982
Matthew,1,20,Matthew 1:20,False,18200000,18200000,True,9,9,True,9,9,7.260071,1.069411,0.682799,0.680973
Matthew,1,21,Matthew 1:21,False,13600000,13600000,True,9,9,True,9,9,7.133539,0.86261,0.647738,0.64615
Matthew,1,22,Matthew 1:22,False,12600000,12600000,True,9,9,True,9,9,7.100371,0.808401,0.638547,0.637022
Matthew,1,23,Matthew 1:23,False,35100000,35100000,True,9,9,True,9,9,7.545307,1.535592,0.761835,0.759473
Matthew,1,24,Matthew 1:24,False,11100000,11100000,True,8,8,True,8,8,7.045323,0.718433,0.623294,0.621872
Matthew,1,25,Matthew 1:25,False,13100000,13100000,True,8,8,True,8,8,7.117271,0.836023,0.64323,0.641673
Matthew,2,1,Matthew 2:1,False,49800000,49800000,True,10,10,True,10,10,7.697229,1.783888,0.803931,0.801284
Matthew,2,2,Matthew 2:2,False,31300000,31300000,True,9,9,True,9,9,7.495544,1.454261,0.748046,0.745778
Matthew,2,3,Matthew 2:3,False,143000000,143000000,True,10,10,True,10,10,8.155336,2.532604,0.930867,0.92736
Matthew,2,4,Matthew 2:4,False,38200000,38200000,True,9,9,True,9,9,7.582063,1.595665,0.772019,0.769589
Matthew,2,5,Matthew 2:5,False,72400000,72400000,True,10,10,True,10,10,7.859739,2.049488,0.84896,0.846009
Matthew,2,6,Matthew 2:6,False,19600000,19600000,True,9,9,True,9,9,7.292256,1.122013,0.691717,0.689831
Matthew,2,7,Matthew 2:7,False,36300000,36300000,True,9,9,True,9,9,7.559907,1.559453,0.76588,0.763491
Matthew,2,8,Matthew 2:8,False,16800000,16800000,True,10,10,True,10,10,7.225309,1.012597,0.673167,0.671406
Matthew,2,9,Matthew 2:9,False,14100000,14100000,True,9,9,True,9,9,7.149219,0.888238,0.652083,0.650466
Matthew,2,10,Matthew 2:10,False,17200000,17200000,True,9,9,True,9,9,7.235528,1.029299,0.675998,0.674219
Matthew,2,11,Matthew 2:11,False,12400000,12400000,True,9,9,True,9,9,7.093422,0.797044,0.636622,0.635109
Matthew,2,12,Matthew 2:12,False,24600000,24600000,True,10,10,True,10,10,7.390935,1.283291,0.71906,0.716989
Matthew,2,13,Matthew 2:13,False,11100000,11100000,True,9,9,True,9,9,7.045323,0.718433,0.623294,0.621872
Matthew,2,14,Matthew 2:14,False,11800000,11800000,True,9,9,True,9,9,7.071882,0.76184,0.630654,0.629181
Matthew,2,15,Matthew 2:15,False,12100000,12100000,True,10,10,True,10,10,7.082785,0.77966,0.633675,0.632182
Matthew,2,16,Matthew 2:16,False,9530000,9530000,True,10,10,True,10,10,6.979093,0.610189,0.604943,0.603645
Matthew,2,17,Matthew 2:17,False,8450000,8450000,True,10,10,True,10,10,6.926857,0.524816,0.590469,0.589269
Matthew,2,18,Matthew 2:18,False,13800000,13800000,True,10,10,True,10,10,7.139879,0.872973,0.649495,0.647895
Matthew,2,19,Matthew 2:19,False,8110000,8110000,True,9,9,True,9,9,6.909021,0.495665,0.585526,0.58436
Matthew,2,20,Matthew 2:20,False,22400000,22400000,True,10,10,True,10,10,7.350248,1.216793,0.707786,0.705791
Matthew,2,21,Matthew 2:21,False,7790000,7790000,True,10,10,True,10,10,6.891538,0.467091,0.580682,0.579549
Matthew,2,22,Matthew 2:22,False,7940000,7940000,True,10,10,True,10,10,6.899821,0.480628,0.582977,0.581828
Matthew,2,23,Matthew 2:23,False,7310000,7310000,True,10,10,True,10,10,6.863917,0.421949,0.573029,0.571947
Matthew,3,1,Matthew 3:1,False,76400000,76400000,True,8,8,True,8,8,7.883093,2.087659,0.855431,0.852436
Matthew,3,2,Matthew 3:2,False,26400000,26400000,True,9,9,True,9,9,7.421604,1.333415,0.727558,0.725429
Matthew,3,3,Matthew 3:3,False,23600000,23600000,True,10,10,True,10,10,7.372912,1.253834,0.714066,0.712028
Matthew,3,4,Matthew 3:4,False,254000000,254000000,True,8,8,True,8,8,8.404834,2.940375,1.0,0.996025
Matthew,3,5,Matthew 3:5,False,45900000,45900000,True,9,9,True,9,9,7.661813,1.726005,0.794117,0.791537
Matthew,3,6,Matthew 3:6,False,23700000,23700000,True,9,9,True,9,9,7.374748,1.256836,0.714575,0.712534
Matthew,3,7,Matthew 3:7,False,16800000,16800000,True,10,10,True,10,10,7.225309,1.012597,0.673167,0.671406
Matthew,3,8,Matthew 3:8,False,17800000,17800000,True,9,9,True,9,9,7.25042,1.053637,0.680124,0.678317
Matthew,3,9,Matthew 3:9,False,31100000,31100000,True,10,10,True,10,10,7.49276,1.449711,0.747274,0.745012
Matthew,3,10,Matthew 3:10,False,17100000,17100000,True,10,10,True,10,10,7.232996,1.02516,0.675297,0.673522
