book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Nehemiah,1,1,Nehemiah 1:1,False,2300000,2300000,True,10,10,True,10,10,,,,
Nehemiah,1,2,Nehemiah 1:2,False,3720000,3720000,True,8,8,True,8,8,,,,
Nehemiah,1,3,Nehemiah 1:3,False,2360000,2360000,True,8,8,True,8,8,,,,
Nehemiah,1,4,Nehemiah 1:4,False,1670000,1670000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Nehemiah,1,5,Nehemiah 1:5,False,1410000,1410000,True,9,9,True,9,9,,,,
Nehemiah,1,6,Nehemiah 1:6,False,1210000,1210000,True,9,9,True,9,9,,,,
Nehemiah,1,7,Nehemiah 1:7,False,1100000,1100000,True,9,9,True,9,9,,,,
Nehemiah,1,8,Nehemiah 1:8,False,1220000,1220000,True,9,9,True,9,9,,,,
Nehemiah,1,9,Nehemiah 1:9,False,1010000,1010000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Nehemiah,1,10,Nehemiah 1:10,False,873000,873000,True,9,9,True,9,9,,,,
Nehemiah,1,11,Nehemiah 1:11,False,938000,938000,True,9,9,True,9,9,,,,
Nehemiah,2,1,Nehemiah 2:1,False,1400000,1400000,True,9,9,True,9,9,,,,
Nehemiah,2,2,Nehemiah 2:2,True,835000,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Nehemiah,2,3,Nehemiah 2:3,True,2320000,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Nehemiah,2,4,Nehemiah 2:4,False,987000,987000,True,10,10,True,10,10,,,,
Nehemiah,2,5,Nehemiah 2:5,False,741000,741000,True,9,9,True,9,9,,,,
Nehemiah,2,6,Nehemiah 2:6,False,666000,666000,True,9,9,True,9,9,,,,
Nehemiah,2,7,Nehemiah 2:7,False,565000,565000,True,9,9,True,9,9,,,,
Nehemiah,2,8,Nehemiah 2:8,False,705000,705000,True,9,9,True,9,9,,,,
Nehemiah,2,9,Nehemiah 2:9,False,697000,697000,True,9,9,True,9,9,,,,
Nehemiah,2,10,Nehemiah 2:10,False,666000,666000,True,10,10,True,10,10,,,,
Nehemiah,2,11,Nehemiah 2:11,False,564000,564000,True,9,9,True,9,9,,,,
Nehemiah,2,12,Nehemiah 2:12,False,444000,444000,True,9,9,True,9,9,,,,
Nehemiah,2,13,Nehemiah 2:13,False,506000,506000,True,10,10,True,10,10,,,,
Nehemiah,2,14,Nehemiah 2:14,False,1100000,1100000,True,10,10,True,10,10,,,,
