book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Numbers,1,1,Numbers 1:1,False,1630000000,1630000000,True,9,9,True,9,9,9.212188,3.188711,1.0,1.0
Numbers,1,2,Numbers 1:2,False,1290000000,1290000000,True,8,8,True,8,8,9.11059,3.044798,0.988971,0.993383
Numbers,1,3,Numbers 1:3,False,654000000,654000000,True,8,8,True,8,8,8.815578,2.626912,0.956947,0.949296
Numbers,1,4,Numbers 1:4,False,593000000,593000000,True,8,8,True,8,8,8.773055,2.566678,0.952331,0.942511
Numbers,1,5,Numbers 1:5,False,297000000,297000000,True,8,8,True,8,8,8.472756,2.141304,0.919733,0.894594
Numbers,1,6,Numbers 1:6,False,181000000,181000000,True,9,9,True,9,9,8.257679,1.836645,0.896386,0.860275
Numbers,1,7,Numbers 1:7,False,135000000,135000000,True,9,9,True,9,9,8.130334,1.65626,0.882563,0.839955
Numbers,1,8,Numbers 1:8,False,171000000,171000000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Numbers,1,9,Numbers 1:9,False,126000000,126000000,True,8,8,True,8,8,8.100371,1.613817,0.87931,0.835174
Numbers,1,10,Numbers 1:10,False,699000000,699000000,True,7,7,True,7,7,8.844477,2.667848,0.960084,0.953907
Numbers,1,11,Numbers 1:11,False,161000000,161000000,True,9,9,True,9,9,8.206826,1.764612,0.890866,0.85216
Numbers,1,12,Numbers 1:12,False,116000000,116000000,True,7,7,True,7,7,8.064458,1.562947,0.875412,0.829444
Numbers,1,13,Numbers 1:13,False,73700000,73700000,True,9,9,True,9,9,7.867467,1.283909,0.854028,0.798011
Numbers,1,14,Numbers 1:14,False,73800000,73800000,True,9,9,True,9,9,7.868056,1.284743,0.854092,0.798105
Numbers,1,15,Numbers 1:15,False,82500000,82500000,True,7,7,True,7,7,7.916454,1.353298,0.859346,0.805827
Numbers,1,16,Numbers 1:16,False,140000000,140000000,True,8,8,True,8,8,8.146128,1.678633,0.884277,0.842475
Numbers,1,17,Numbers 1:17,False,109000000,109000000,True,9,9,True,9,9,8.037427,1.524657,0.872478,0.82513
Numbers,1,18,Numbers 1:18,False,49600000,49600000,True,10,10,True,10,10,7.695482,1.04029,0.835359,0.770568
Numbers,1,19,Numbers 1:19,False,43300000,43300000,True,9,9,True,9,9,7.636488,0.956725,0.828955,0.761155
Numbers,1,20,Numbers 1:20,False,336000000,336000000,True,8,8,True,8,8,8.526339,2.217204,0.92555,0.903144
Numbers,1,21,Numbers 1:21,False,79600000,79600000,True,9,9,True,9,9,7.900913,1.331285,0.857659,0.803348
Numbers,1,22,Numbers 1:22,False,33400000,33400000,True,10,10,True,10,10,7.523746,0.797026,0.816717,0.743165
Numbers,1,23,Numbers 1:23,False,32400000,32400000,True,9,9,True,9,9,7.510545,0.778326,0.815284,0.741059
Numbers,1,24,Numbers 1:24,False,35300000,35300000,True,8,8,True,8,8,7.547775,0.831062,0.819325,0.746999
Numbers,1,25,Numbers 1:25,False,46800000,46800000,True,8,8,True,8,8,7.670246,1.004543,0.832619,0.766541
Numbers,1,26,Numbers 1:26,False,110000000,110000000,True,9,9,True,9,9,8.041393,1.530275,0.872908,0.825763
Numbers,1,27,Numbers 1:27,False,24500000,24500000,True,10,10,True,10,10,7.389166,0.606392,0.802108,0.721691
Numbers,1,28,Numbers 1:28,False,21400000,21400000,True,9,9,True,9,9,7.330414,0.523169,0.79573,0.712316
Numbers,1,29,Numbers 1:29,False,20500000,20500000,True,9,9,True,9,9,7.311754,0.496738,0.793704,0.709338
Numbers,1,30,Numbers 1:30,False,148000000,148000000,True,8,8,True,8,8,8.170262,1.712818,0.886897,0.846326
Numbers,1,31,Numbers 1:31,False,22200000,22200000,True,9,9,True,9,9,7.346353,0.545747,0.79746,0.714859
Numbers,1,32,Numbers 1:32,False,50000000,50000000,True,10,10,True,10,10,7.69897,1.045231,0.835737,0.771125
Numbers,1,33,Numbers 1:33,False,36600000,36600000,True,9,9,True,9,9,7.563481,0.85331,0.82103,0.749505
Numbers,1,34,Numbers 1:34,False,31500000,31500000,True,9,9,True,9,9,7.498311,0.760996,0.813955,0.739106
Numbers,1,35,Numbers 1:35,False,16500000,16500000,True,9,9,True,9,9,7.217484,0.363204,0.783471,0.694296
Numbers,1,36,Numbers 1:36,False,34300000,34300000,True,9,9,True,9,9,7.535294,0.813384,0.81797,0.745008
Numbers,1,37,Numbers 1:37,False,12400000,12400000,True,9,9,True,9,9,7.093422,0.187469,0.770004,0.6745
Numbers,1,38,Numbers 1:38,False,25500000,25500000,True,9,9,True,9,9,7.40654,0.631003,0.803994,0.724463
Numbers,1,39,Numbers 1:39,False,11700000,11700000,True,9,9,True,9,9,7.068186,0.151722,0.767265,0.670474
Numbers,1,40,Numbers 1:40,False,18500000,18500000,True,8,8,True,8,8,7.267172,0.433587,0.788865,0.702225
Numbers,1,41,Numbers 1:41,False,24800000,24800000,True,10,10,True,10,10,7.394452,0.613879,0.802681,0.722534
Numbers,1,42,Numbers 1:42,False,11100000,11100000,True,9,9,True,9,9,7.045323,0.119337,0.764783,0.666826
Numbers,1,43,Numbers 1:43,False,10500000,10500000,True,9,9,True,9,9,7.021189,0.085151,0.762163,0.662975
Numbers,1,44,Numbers 1:44,False,8890000,8890000,True,10,10,True,10,10,6.948902,-0.017244,0.754316,0.65144
Numbers,1,45,Numbers 1:45,False,42800000,42800000,True,8,8,True,8,8,7.631444,0.94958,0.828407,0.76035
Numbers,1,46,Numbers 1:46,False,8500000,8500000,True,10,10,True,10,10,6.929419,-0.044842,0.752201,0.648331
Numbers,1,47,Numbers 1:47,False,9290000,9290000,True,8,8,True,8,8,6.968016,0.009831,0.756391,0.65449
Numbers,1,48,Numbers 1:48,False,11400000,11400000,True,9,9,True,9,9,7.056905,0.135743,0.76604,0.668674
Numbers,1,49,Numbers 1:49,False,9770000,9770000,True,10,10,True,10,10,6.989895,0.040822,0.758766,0.657981
Numbers,1,50,Numbers 1:50,False,84000000,84000000,True,8,8,True,8,8,7.924279,1.364383,0.860195,0.807076
Numbers,1,51,Numbers 1:51,False,8160000,8160000,True,9,9,True,9,9,6.91169,-0.069955,0.750277,0.645502
Numbers,1,52,Numbers 1:52,False,7780000,7780000,True,10,10,True,10,10,6.89098,-0.099291,0.748029,0.642198
Numbers,1,53,Numbers 1:53,False,7820000,7820000,True,10,10,True,10,10,6.893207,-0.096136,0.74827,0.642553
Numbers,1,54,Numbers 1:54,False,7270000,7270000,True,9,9,True,9,9,6.861534,-0.141,0.744832,0.637499
Numbers,2,1,Numbers 2:1,False,338000000,338000000,True,8,8,True,8,8,8.528917,2.220855,0.92583,0.903555
Numbers,2,2,Numbers 2:2,False,222000000,222000000,True,10,10,True,10,10,8.346353,1.962252,0.906012,0.874424
Numbers,2,3,Numbers 2:3,False,1280000000,1280000000,True,8,8,True,8,8,9.10721,3.04001,0.988604,0.993163
Numbers,2,4,Numbers 2:4,False,298000000,298000000,True,10,10,True,10,10,8.474216,2.143371,0.919892,0.894827
Numbers,2,5,Numbers 2:5,False,205000000,205000000,True,10,10,True,10,10,8.311754,1.913243,0.902256,0.868903
Numbers,2,6,Numbers 2:6,False,114000000,114000000,True,10,10,True,10,10,8.056905,1.552248,0.874592,0.828238
Numbers,2,7,Numbers 2:7,False,69300000,69300000,True,10,10,True,10,10,7.840733,1.24604,0.851126,0.793745
Numbers,2,8,Numbers 2:8,False,69300000,69300000,True,10,10,True,10,10,7.840733,1.24604,0.851126,0.793745
Numbers,2,9,Numbers 2:9,False,47100000,47100000,True,10,10,True,10,10,7.673021,1.008474,0.832921,0.766984
Numbers,2,10,Numbers 2:10,False,161000000,161000000,True,10,10,True,10,10,8.206826,1.764612,0.890866,0.85216
Numbers,2,11,Numbers 2:11,False,32600000,32600000,True,10,10,True,10,10,7.513218,0.782112,0.815574,0.741485
Numbers,2,12,Numbers 2:12,False,36700000,36700000,True,10,10,True,10,10,7.564666,0.854989,0.821158,0.749694
Numbers,2,13,Numbers 2:13,False,23700000,23700000,True,10,10,True,10,10,7.374748,0.58597,0.800543,0.71939
Numbers,2,14,Numbers 2:14,False,23400000,23400000,True,10,10,True,10,10,7.369216,0.578133,0.799942,0.718507
Numbers,2,15,Numbers 2:15,False,29100000,29100000,True,9,9,True,9,9,7.463893,0.712243,0.810219,0.733615
Numbers,2,16,Numbers 2:16,False,22600000,22600000,True,10,10,True,10,10,7.354108,0.556733,0.798302,0.716097
Numbers,2,17,Numbers 2:17,False,48800000,48800000,True,10,10,True,10,10,7.68842,1.030287,0.834592,0.769441
Numbers,2,18,Numbers 2:18,False,19700000,19700000,True,10,10,True,10,10,7.294466,0.47225,0.791828,0.70658
Numbers,2,19,Numbers 2:19,False,45000000,45000000,True,10,10,True,10,10,7.653213,0.980415,0.83077,0.763823
Numbers,2,20,Numbers 2:20,False,28600000,28600000,True,9,9,True,9,9,7.456366,0.701581,0.809402,0.732413
Numbers,2,21,Numbers 2:21,False,18200000,18200000,True,10,10,True,10,10,7.260071,0.423529,0.788094,0.701092
Numbers,2,22,Numbers 2:22,False,17700000,17700000,True,10,10,True,10,10,7.247973,0.406392,0.786781,0.699161
Numbers,2,23,Numbers 2:23,False,16300000,16300000,True,9,9,True,9,9,7.212188,0.355702,0.782896,0.693451
Numbers,2,24,Numbers 2:24,False,79500000,79500000,True,10,10,True,10,10,7.900367,1.330511,0.857599,0.80326
Numbers,2,25,Numbers 2:25,False,24500000,24500000,True,10,10,True,10,10,7.389166,0.606392,0.802108,0.721691
Numbers,2,26,Numbers 2:26,False,17600000,17600000,True,10,10,True,10,10,7.245513,0.402907,0.786514,0.698769
Numbers,2,27,Numbers 2:27,False,12800000,12800000,True,10,10,True,10,10,7.10721,0.207,0.771501,0.6767
Numbers,2,28,Numbers 2:28,False,54100000,54100000,True,10,10,True,10,10,7.733197,1.093714,0.839453,0.776586
Numbers,2,29,Numbers 2:29,False,9930000,9930000,True,10,10,True,10,10,6.996949,0.050815,0.759532,0.659107
Numbers,2,30,Numbers 2:30,False,27700000,27700000,True,10,10,True,10,10,7.44248,0.681912,0.807895,0.730198
Numbers,2,31,Numbers 2:31,False,9730000,9730000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Numbers,2,32,Numbers 2:32,False,9600000,9600000,True,10,10,True,10,10,6.982271,0.030024,0.757938,0.656765
Numbers,2,33,Numbers 2:33,False,6830000,6830000,True,10,10,True,10,10,6.834421,-0.179407,0.741889,0.633173
Numbers,2,34,Numbers 2:34,False,7640000,7640000,True,10,10,True,10,10,6.883093,-0.110462,0.747173,0.640939
Numbers,3,1,Numbers 3:1,False,368000000,368000000,True,9,9,True,9,9,8.565848,2.273168,0.929839,0.909448
Numbers,3,2,Numbers 3:2,False,172000000,172000000,True,10,10,True,10,10,8.235528,1.805269,0.893982,0.85674
Numbers,3,3,Numbers 3:3,False,138000000,138000000,True,8,8,True,8,8,8.139879,1.669781,0.883599,0.841478
Numbers,3,4,Numbers 3:4,False,995000000,995000000,True,8,8,True,8,8,8.997823,2.885063,0.97673,0.978376
Numbers,3,5,Numbers 3:5,False,471000000,471000000,True,10,10,True,10,10,8.673021,2.424979,0.941472,0.926549
Numbers,3,6,Numbers 3:6,False,272000000,272000000,True,10,10,True,10,10,8.434569,2.087211,0.915588,0.8885
Numbers,3,7,Numbers 3:7,False,82800000,82800000,True,10,10,True,10,10,7.91803,1.355531,0.859517,0.806079
Numbers,3,8,Numbers 3:8,False,77100000,77100000,True,10,10,True,10,10,7.887054,1.311654,0.856154,0.801136
