book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Philippians,1,1,Philippians 1:1,False,5840000,5840000,True,9,9,True,9,9,6.766413,0.801412,0.972856,0.837141
Philippians,1,2,Philippians 1:2,False,9020000,9020000,True,8,8,True,8,8,6.955207,1.074297,1.0,0.87162
Philippians,1,3,Philippians 1:3,False,6730000,6730000,True,8,8,True,8,8,6.828015,0.890453,0.981713,0.848391
Philippians,1,4,Philippians 1:4,False,4750000,4750000,True,8,8,True,8,8,6.676694,0.67173,0.959956,0.820756
Philippians,1,5,Philippians 1:5,False,4560000,4560000,True,9,9,True,9,9,6.658965,0.646105,0.957407,0.817518
Philippians,1,6,Philippians 1:6,False,4600000,4600000,True,8,8,True,8,8,6.662758,0.651587,0.957953,0.818211
Philippians,1,7,Philippians 1:7,False,4430000,4430000,True,10,10,True,10,10,6.646404,0.627949,0.955601,0.815224
Philippians,1,8,Philippians 1:8,False,4160000,4160000,True,9,9,True,9,9,6.619093,0.588474,0.951675,0.810236
Philippians,1,9,Philippians 1:9,False,4340000,4340000,True,8,8,True,8,8,6.63749,0.615065,0.95432,0.813596
Philippians,1,10,Philippians 1:10,False,3430000,3430000,True,9,9,True,9,9,6.535294,0.467349,0.939626,0.794932
Philippians,1,11,Philippians 1:11,False,3520000,3520000,True,9,9,True,9,9,6.546543,0.483608,0.941243,0.796987
Philippians,1,12,Philippians 1:12,False,3420000,3420000,True,10,10,True,10,10,6.534026,0.465517,0.939444,0.794701
Philippians,1,13,Philippians 1:13,False,2820000,2820000,True,9,9,True,9,9,6.450249,0.344424,0.927399,0.779401
Philippians,1,14,Philippians 1:14,False,2930000,2930000,True,8,8,True,8,8,6.466868,0.368445,0.929788,0.782436
Philippians,1,15,Philippians 1:15,False,2790000,2790000,True,9,9,True,9,9,6.445604,0.33771,0.926731,0.778553
Philippians,1,16,Philippians 1:16,False,2340000,2340000,True,10,10,True,10,10,6.369216,0.227298,0.915748,0.764602
Philippians,1,17,Philippians 1:17,False,2410000,2410000,True,10,10,True,10,10,6.382017,0.245801,0.917588,0.76694
Philippians,1,18,Philippians 1:18,False,2710000,2710000,True,10,10,True,10,10,6.432969,0.319448,0.924914,0.776245
Philippians,1,19,Philippians 1:19,False,1610000,1610000,True,9,9,True,9,9,6.206826,-0.007423,0.8924,0.734945
Philippians,1,20,Philippians 1:20,False,1840000,1840000,True,9,9,True,9,9,6.264818,0.076399,0.900738,0.745536
Philippians,1,21,Philippians 1:21,False,2160000,2160000,True,8,8,True,8,8,6.334454,0.177052,0.91075,0.758253
Philippians,1,22,Philippians 1:22,False,1620000,1620000,True,10,10,True,10,10,6.209515,-0.003536,0.892787,0.735436
Philippians,1,23,Philippians 1:23,False,1520000,1520000,True,10,10,True,10,10,6.181844,-0.043533,0.888808,0.730383
Philippians,1,24,Philippians 1:24,False,1270000,1270000,True,9,9,True,9,9,6.103804,-0.156333,0.877588,0.71613
Philippians,1,25,Philippians 1:25,False,638000,638000,True,10,10,True,10,10,5.804821,-0.588487,0.834601,0.661528
Philippians,1,26,Philippians 1:26,False,1490000,1490000,True,9,9,True,9,9,6.173187,-0.056046,0.887563,0.728802
Philippians,1,27,Philippians 1:27,False,1130000,1130000,True,9,9,True,9,9,6.053079,-0.229652,0.870295,0.706867
Philippians,1,28,Philippians 1:28,False,680000,680000,True,9,9,True,9,9,5.83251,-0.548466,0.838582,0.666585
Philippians,1,29,Philippians 1:29,False,712000,712000,True,8,8,True,8,8,5.852481,-0.5196,0.841453,0.670232
Philippians,1,30,Philippians 1:30,False,617000,617000,True,9,9,True,9,9,5.790286,-0.609497,0.832511,0.658873
Philippians,2,1,Philippians 2:1,False,4230000,4230000,True,9,9,True,9,9,6.62634,0.598949,0.952717,0.81156
Philippians,2,2,Philippians 2:2,False,2340000,2340000,True,9,9,True,9,9,6.369216,0.227298,0.915748,0.764602
Philippians,2,3,Philippians 2:3,False,5980000,5980000,True,8,8,True,8,8,6.776701,0.816283,0.974335,0.83902
Philippians,2,4,Philippians 2:4,False,3750000,3750000,True,9,9,True,9,9,6.574031,0.523341,0.945196,0.802007
Philippians,2,5,Philippians 2:5,False,3070000,3070000,True,9,9,True,9,9,6.487139,0.397744,0.932702,0.786138
Philippians,2,6,Philippians 2:6,False,2400000,2400000,True,8,8,True,8,8,6.380211,0.24319,0.917329,0.76661
Philippians,2,7,Philippians 2:7,False,1980000,1980000,True,9,9,True,9,9,6.296665,0.122432,0.905317,0.751352
Philippians,2,8,Philippians 2:8,False,3410000,3410000,True,9,9,True,9,9,6.532755,0.463679,0.939261,0.794469
Philippians,2,9,Philippians 2:9,False,2580000,2580000,True,9,9,True,9,9,6.41162,0.288589,0.921845,0.772346
