book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Revelation,1,1,Revelation 1:1,False,19700000,19700000,True,8,8,True,8,8,7.294466,1.580638,0.85933,0.820974
Revelation,1,2,Revelation 1:2,False,32100000,32100000,True,9,9,True,9,9,7.506505,1.948001,0.884309,0.860452
Revelation,1,3,Revelation 1:3,False,36000000,36000000,True,8,8,True,8,8,7.556303,2.034277,0.890176,0.869724
Revelation,1,4,Revelation 1:4,False,15200000,15200000,True,10,10,True,10,10,7.181844,1.385516,0.846062,0.800005
Revelation,1,5,Revelation 1:5,False,13600000,13600000,True,8,8,True,8,8,7.133539,1.301827,0.840372,0.791012
Revelation,1,6,Revelation 1:6,False,18200000,18200000,True,8,8,True,8,8,7.260071,1.521048,0.855278,0.81457
Revelation,1,7,Revelation 1:7,False,19100000,19100000,True,7,7,True,7,7,7.281033,1.557365,0.857748,0.818473
Revelation,1,8,Revelation 1:8,False,149000000,149000000,True,7,7,True,7,7,8.173186,3.103046,0.962848,0.977709
Revelation,1,9,Revelation 1:9,False,8580000,8580000,True,10,10,True,10,10,6.933487,0.955232,0.816805,0.753765
Revelation,1,10,Revelation 1:10,False,9580000,9580000,True,8,8,True,8,8,6.981366,1.038182,0.822445,0.762679
Revelation,1,11,Revelation 1:11,False,8450000,8450000,True,9,9,True,9,9,6.926857,0.943744,0.816023,0.75253
Revelation,1,12,Revelation 1:12,False,7880000,7880000,True,9,9,True,9,9,6.896526,0.891196,0.81245,0.746883
Revelation,1,13,Revelation 1:13,False,6760000,6760000,True,8,8,True,8,8,6.829947,0.775845,0.804607,0.734487
Revelation,1,14,Revelation 1:14,False,7220000,7220000,True,8,8,True,8,8,6.858537,0.825379,0.807975,0.73981
Revelation,1,15,Revelation 1:15,False,6630000,6630000,True,9,9,True,9,9,6.821514,0.761234,0.803613,0.732917
Revelation,1,16,Revelation 1:16,False,9570000,9570000,True,10,10,True,10,10,6.980912,1.037396,0.822392,0.762595
Revelation,1,17,Revelation 1:17,False,5690000,5690000,True,9,9,True,9,9,6.755112,0.646192,0.795791,0.720554
Revelation,1,18,Revelation 1:18,False,6720000,6720000,True,9,9,True,9,9,6.827369,0.771379,0.804303,0.734007
Revelation,1,19,Revelation 1:19,False,7230000,7230000,True,9,9,True,9,9,6.859138,0.82642,0.808046,0.739922
Revelation,1,20,Revelation 1:20,False,9280000,9280000,True,8,8,True,8,8,6.967548,1.014243,0.820817,0.760106
Revelation,2,1,Revelation 2:1,False,12300000,12300000,True,8,8,True,8,8,7.089905,1.22623,0.835232,0.782888
Revelation,2,2,Revelation 2:2,False,8730000,8730000,True,9,9,True,9,9,6.941014,0.968272,0.817691,0.755166
Revelation,2,3,Revelation 2:3,False,22300000,22300000,True,9,9,True,9,9,7.348305,1.673915,0.865672,0.830998
Revelation,2,4,Revelation 2:4,False,16600000,16600000,True,9,9,True,9,9,7.220108,1.451811,0.85057,0.807129
Revelation,2,5,Revelation 2:5,False,7850000,7850000,True,8,8,True,8,8,6.89487,0.888326,0.812255,0.746575
Revelation,2,6,Revelation 2:6,False,5570000,5570000,True,10,10,True,10,10,6.745855,0.630154,0.7947,0.718831
Revelation,2,7,Revelation 2:7,False,5080000,5080000,True,10,10,True,10,10,6.705864,0.560867,0.789989,0.711385
Revelation,2,8,Revelation 2:8,False,7070000,7070000,True,10,10,True,10,10,6.849419,0.809582,0.806901,0.738113
Revelation,2,9,Revelation 2:9,False,59300000,59300000,True,10,9,True,10,9,7.773055,2.409806,0.91571,0.91008
Revelation,2,10,Revelation 2:10,False,73700000,73700000,True,10,10,True,10,10,7.867467,2.573379,0.926833,0.927658
Revelation,2,11,Revelation 2:11,False,4610000,4610000,True,10,10,True,10,10,6.663701,0.487819,0.785022,0.703535
Revelation,2,12,Revelation 2:12,False,4340000,4340000,True,10,10,True,10,10,6.63749,0.442408,0.781934,0.698654
Revelation,2,13,Revelation 2:13,False,4420000,4420000,True,10,9,True,10,9,6.645422,0.456151,0.782869,0.700131
Revelation,2,14,Revelation 2:14,False,4600000,4600000,True,9,9,True,9,9,6.662758,0.486185,0.784911,0.703359
Revelation,2,15,Revelation 2:15,False,4450000,4450000,True,8,8,True,8,8,6.64836,0.461241,0.783215,0.700678
Revelation,2,16,Revelation 2:16,False,3710000,3710000,True,9,9,True,9,9,6.569374,0.324395,0.77391,0.685972
Revelation,2,17,Revelation 2:17,False,3510000,3510000,True,10,10,True,10,10,6.545307,0.282699,0.771075,0.681491
Revelation,2,18,Revelation 2:18,False,3130000,3130000,True,9,9,True,9,9,6.495544,0.196483,0.765212,0.672226
Revelation,2,19,Revelation 2:19,False,3370000,3370000,True,8,8,True,8,8,6.52763,0.252072,0.768992,0.6782
Revelation,2,20,Revelation 2:20,False,3850000,3850000,True,9,9,True,9,9,6.585461,0.352266,0.775805,0.688967
Revelation,2,21,Revelation 2:21,False,3230000,3230000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Revelation,2,22,Revelation 2:22,False,2440000,2440000,True,10,10,True,10,10,6.38739,0.009103,0.752471,0.65209
Revelation,2,23,Revelation 2:23,False,1970000,1970000,True,10,10,True,10,10,6.294466,-0.15189,0.741524,0.634789
Revelation,2,24,Revelation 2:24,False,3550000,3550000,True,10,10,True,10,10,6.550228,0.291225,0.771655,0.682408
Revelation,2,25,Revelation 2:25,False,3210000,3210000,True,10,10,True,10,10,6.506505,0.215473,0.766504,0.674267
Revelation,2,26,Revelation 2:26,False,1100000,1100000,True,10,10,True,10,10,6.041393,-0.590347,0.711711,0.58767
Revelation,2,27,Revelation 2:27,False,935000,935000,True,10,10,True,10,10,5.970812,-0.712631,0.703396,0.574529
Revelation,2,28,Revelation 2:28,False,1160000,1160000,True,10,10,True,10,10,6.064458,-0.550386,0.714428,0.591964
Revelation,2,29,Revelation 2:29,False,624000,624000,True,9,9,True,9,9,5.795185,-1.016909,0.682706,0.54183
Revelation,3,1,Revelation 3:1,False,10500000,10500000,True,10,10,True,10,10,7.021189,1.107178,0.827136,0.770094
Revelation,3,2,Revelation 3:2,False,6700000,6700000,True,10,10,True,10,10,6.826075,0.769137,0.804151,0.733766
Revelation,3,3,Revelation 3:3,False,6920000,6920000,True,9,9,True,9,9,6.840106,0.793446,0.805804,0.736379
Revelation,3,4,Revelation 3:4,False,19800000,19800000,True,9,9,True,9,9,7.296665,1.584448,0.859589,0.821383
Revelation,3,5,Revelation 3:5,False,11600000,11600000,True,8,8,True,8,8,7.064458,1.182142,0.832234,0.77815
Revelation,3,6,Revelation 3:6,False,9280000,9280000,True,9,9,True,9,9,6.967548,1.014243,0.820817,0.760106
Revelation,3,7,Revelation 3:7,False,64000000,64000000,True,9,9,True,9,9,7.80618,2.467197,0.919613,0.916247
Revelation,3,8,Revelation 3:8,False,6450000,6450000,True,10,10,True,10,10,6.80956,0.740524,0.802205,0.730691
Revelation,3,9,Revelation 3:9,False,58300000,58300000,True,10,9,True,10,9,7.765669,2.39701,0.91484,0.908705
Revelation,3,10,Revelation 3:10,False,5140000,5140000,True,9,9,True,9,9,6.710963,0.569702,0.79059,0.712334
Revelation,3,11,Revelation 3:11,False,5040000,5040000,True,9,8,True,9,8,6.702431,0.554919,0.789585,0.710746
Revelation,3,12,Revelation 3:12,False,4350000,4350000,True,8,8,True,8,8,6.638489,0.444139,0.782052,0.698841
Revelation,3,13,Revelation 3:13,False,4990000,4990000,True,9,9,True,9,9,6.698101,0.547418,0.789075,0.709939
Revelation,3,14,Revelation 3:14,False,4800000,4800000,True,9,9,True,9,9,6.681241,0.518208,0.787089,0.7068
Revelation,3,15,Revelation 3:15,False,4790000,4790000,True,10,10,True,10,10,6.680336,0.516639,0.786982,0.706632
Revelation,3,16,Revelation 3:16,False,9120000,9120000,True,8,8,True,8,8,6.959995,1.001157,0.819927,0.7587
Revelation,3,17,Revelation 3:17,False,4180000,4180000,True,9,9,True,9,9,6.621176,0.414144,0.780013,0.695617
Revelation,3,18,Revelation 3:18,False,3810000,3810000,True,10,10,True,10,10,6.580925,0.344408,0.775271,0.688123
Revelation,3,19,Revelation 3:19,False,3870000,3870000,True,9,9,True,9,9,6.587711,0.356165,0.77607,0.689386
Revelation,3,20,Revelation 3:20,False,4480000,4480000,True,9,9,True,9,9,6.651278,0.466296,0.783559,0.701222
Revelation,3,21,Revelation 3:21,False,3140000,3140000,True,9,9,True,9,9,6.49693,0.198883,0.765376,0.672484
Revelation,3,22,Revelation 3:22,False,3250000,3250000,True,10,10,True,10,10,6.511883,0.224791,0.767137,0.675268
Revelation,4,1,Revelation 4:1,False,8710000,8710000,True,8,8,True,8,8,6.940018,0.966547,0.817574,0.754981
Revelation,4,2,Revelation 4:2,False,5240000,5240000,True,10,10,True,10,10,6.719331,0.5842,0.791576,0.713892
Revelation,4,3,Revelation 4:3,False,5580000,5580000,True,8,8,True,8,8,6.746634,0.631504,0.794792,0.718976
Revelation,4,4,Revelation 4:4,False,6860000,6860000,True,9,9,True,9,9,6.836324,0.786894,0.805358,0.735675
Revelation,4,5,Revelation 4:5,False,16100000,16100000,True,9,9,True,9,9,7.206826,1.428799,0.849005,0.804657
Revelation,4,6,Revelation 4:6,False,13100000,13100000,True,9,9,True,9,9,7.117271,1.273643,0.838455,0.787983
Revelation,4,7,Revelation 4:7,False,6670000,6670000,True,10,10,True,10,10,6.824126,0.76576,0.803921,0.733403
Revelation,4,8,Revelation 4:8,False,64500000,64500000,True,8,8,True,8,8,7.80956,2.473052,0.920011,0.916877
Revelation,4,9,Revelation 4:9,False,4090000,4090000,True,9,9,True,9,9,6.611723,0.397767,0.778899,0.693857
Revelation,4,10,Revelation 4:10,False,4540000,4540000,True,9,9,True,9,9,6.657056,0.476306,0.784239,0.702297
Revelation,4,11,Revelation 4:11,False,24900000,24900000,True,8,8,True,8,8,7.396199,1.756894,0.871315,0.839915
Revelation,5,1,Revelation 5:1,False,99300000,99300000,True,8,8,True,8,8,7.996949,2.79771,0.942087,0.951766
Revelation,5,2,Revelation 5:2,False,4820000,4820000,True,10,10,True,10,10,6.683047,0.521337,0.787301,0.707137
Revelation,5,3,Revelation 5:3,False,4390000,4390000,True,10,10,True,10,10,6.642465,0.451027,0.78252,0.699581
Revelation,5,4,Revelation 5:4,False,4370000,4370000,True,9,9,True,9,9,6.640482,0.447591,0.782287,0.699211
Revelation,5,5,Revelation 5:5,False,6040000,6040000,True,9,9,True,9,9,6.781037,0.691107,0.798845,0.725381
Revelation,5,6,Revelation 5:6,False,308000000,308000000,True,9,9,True,9,9,8.488551,3.649424,1.0,1.0
