book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Romans,1,1,Romans 1:1,False,22900000,22900000,True,9,9,True,9,9,7.359836,1.956245,0.721147,0.763104
Romans,1,2,Romans 1:2,False,33800000,33800000,True,9,9,True,9,9,7.528917,2.340523,0.789159,0.82953
Romans,1,3,Romans 1:3,False,21600000,21600000,True,8,8,True,8,8,7.334454,1.898559,0.710937,0.753133
Romans,1,4,Romans 1:4,False,15900000,15900000,True,10,10,True,10,10,7.201397,1.596155,0.657416,0.70086
Romans,1,5,Romans 1:5,False,25900000,25900000,True,8,8,True,8,8,7.4133,2.077755,0.742653,0.784109
Romans,1,6,Romans 1:6,False,17800000,17800000,True,9,9,True,9,9,7.25042,1.707571,0.677135,0.720119
Romans,1,7,Romans 1:7,False,10500000,10500000,True,8,8,True,8,8,7.021189,1.186589,0.584928,0.630063
Romans,1,8,Romans 1:8,False,11200000,11200000,True,10,10,True,10,10,7.049218,1.250291,0.596203,0.641074
Romans,1,9,Romans 1:9,False,9850000,9850000,True,10,10,True,10,10,6.993436,1.123513,0.573765,0.61916
Romans,1,10,Romans 1:10,False,17300000,17300000,True,10,10,True,10,10,7.238046,1.679449,0.672158,0.715258
Romans,1,11,Romans 1:11,False,7530000,7530000,True,10,10,True,10,10,6.876795,0.858418,0.526847,0.573336
Romans,1,12,Romans 1:12,False,7930000,7930000,True,10,10,True,10,10,6.899273,0.909505,0.535888,0.582167
Romans,1,13,Romans 1:13,False,6780000,6780000,True,10,10,True,10,10,6.83123,0.754859,0.508518,0.555435
Romans,1,14,Romans 1:14,False,6640000,6640000,True,9,9,True,9,9,6.822168,0.734265,0.504873,0.551875
Romans,1,15,Romans 1:15,False,6560000,6560000,True,10,10,True,10,10,6.816904,0.7223,0.502756,0.549807
Romans,1,16,Romans 1:16,False,6590000,6590000,True,9,9,True,9,9,6.818885,0.726804,0.503553,0.550585
Romans,1,17,Romans 1:17,False,5740000,5740000,True,8,8,True,8,8,6.758912,0.5905,0.479429,0.527024
