book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Ruth,1,1,Ruth 1:1,False,56800000,56800000,True,8,8,True,8,8,7.754348,2.31496,0.710328,0.780527
Ruth,1,2,Ruth 1:2,False,204000000,204000000,True,9,9,True,9,9,8.30963,3.886331,1.0,1.0
Ruth,1,3,Ruth 1:3,False,45000000,45000000,True,10,10,True,10,10,7.653213,2.028759,0.657569,0.729792
Ruth,1,4,Ruth 1:4,False,24400000,24400000,True,8,8,True,8,8,7.38739,1.276518,0.518898,0.59644
Ruth,1,5,Ruth 1:5,False,17500000,17500000,True,10,10,True,10,10,7.243038,0.868022,0.443594,0.524025
Ruth,1,6,Ruth 1:6,False,23400000,23400000,True,10,10,True,10,10,7.369216,1.225088,0.509417,0.587323
Ruth,1,7,Ruth 1:7,False,10100000,10100000,True,10,10,True,10,10,7.004321,0.192487,0.319064,0.404271
Ruth,1,8,Ruth 1:8,False,12500000,12500000,True,10,10,True,10,10,7.09691,0.4545,0.367364,0.450719
Ruth,1,9,Ruth 1:9,False,16900000,16900000,True,10,10,True,10,10,7.227887,0.825146,0.435691,0.516424
Ruth,1,10,Ruth 1:10,False,12400000,12400000,True,10,10,True,10,10,7.093422,0.444629,0.365545,0.448969
Ruth,1,11,Ruth 1:11,False,15400000,15400000,True,10,10,True,10,10,7.187521,0.710916,0.414633,0.496174
Ruth,1,12,Ruth 1:12,False,8430000,8430000,True,10,10,True,10,10,6.925828,-0.02964,0.278116,0.364894
Ruth,1,13,Ruth 1:13,False,6690000,6690000,True,10,10,True,10,10,6.825426,-0.313762,0.22574,0.314527
Ruth,1,14,Ruth 1:14,False,7040000,7040000,True,9,9,True,9,9,6.847573,-0.25109,0.237293,0.325637
Ruth,1,15,Ruth 1:15,False,8140000,8140000,True,9,9,True,9,9,6.910624,-0.072662,0.270185,0.357267
Ruth,1,16,Ruth 1:16,False,12800000,12800000,True,8,8,True,8,8,7.10721,0.483648,0.372738,0.455886
Ruth,1,17,Ruth 1:17,False,5820000,5820000,True,10,10,True,10,10,6.764923,-0.484977,0.194178,0.284175
Ruth,1,18,Ruth 1:18,False,6430000,6430000,True,10,10,True,10,10,6.808211,-0.362478,0.21676,0.305891
Ruth,1,19,Ruth 1:19,False,5660000,5660000,True,10,10,True,10,10,6.752817,-0.519237,0.187862,0.278102
Ruth,1,20,Ruth 1:20,False,6900000,6900000,True,10,10,True,10,10,6.838849,-0.275777,0.232743,0.32126
Ruth,1,21,Ruth 1:21,False,5530000,5530000,True,9,9,True,9,9,6.742725,-0.547794,0.182598,0.273039
Ruth,1,22,Ruth 1:22,False,8100000,8100000,True,10,10,True,10,10,6.908485,-0.078717,0.269069,0.356194
