book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score,,,,,,,
Proverbs,1,1,Proverbs 1:1,FALSE,11500000,11500000,TRUE,8,8,TRUE,8,8,7.060698,2.008808,0.969136,0.915402,,,,,,,
Proverbs,1,2,Proverbs 1:2,FALSE,14700000,14700000,TRUE,8,8,TRUE,8,8,7.167317,2.184633,0.983771,0.935905,,,,,,,
Proverbs,1,3,Proverbs 1:3,FALSE,10900000,10900000,TRUE,8,8,TRUE,8,8,7.037427,1.970432,0.965942,0.910927,,,,,,,
Proverbs,1,4,Proverbs 1:4,FALSE,7470000,7470000,TRUE,9,9,TRUE,9,9,6.873321,1.699807,0.943417,0.879371,,,,,,,
Proverbs,1,5,Proverbs 1:5,FALSE,7110000,7110000,TRUE,8,8,TRUE,8,8,6.85187,1.664433,0.940473,0.875246,,,,,,1,134558000
Proverbs,1,6,Proverbs 1:6,FALSE,5750000,5750000,TRUE,10,10,TRUE,10,10,6.759668,1.512384,0.927818,0.857516,,,,,,2,67823000
Proverbs,1,7,Proverbs 1:7,FALSE,8620000,8620000,TRUE,7,7,TRUE,7,7,6.935507,1.802358,0.951953,0.891329,,,,,,3,101725000
Proverbs,1,8,Proverbs 1:8,FALSE,5530000,5530000,TRUE,9,9,TRUE,9,9,6.742725,1.484444,0.925492,0.854258,,,,,,4,70559000
Proverbs,1,9,Proverbs 1:9,FALSE,5870000,5870000,TRUE,8,8,TRUE,8,8,6.768638,1.527177,0.929049,0.859241,,,,,,5,66610000
Proverbs,1,10,Proverbs 1:10,FALSE,4670000,4670000,TRUE,9,9,TRUE,9,9,6.669317,1.363388,0.915416,0.840142,,,,,,6,57304000
Proverbs,1,11,Proverbs 1:11,FALSE,4020000,4020000,TRUE,9,9,TRUE,9,9,6.604226,1.256048,0.906482,0.827626,,,,,,7,38079000
Proverbs,1,12,Proverbs 1:12,FALSE,4290000,4290000,TRUE,9,9,TRUE,9,9,6.632457,1.302603,0.910357,0.833054,,,,,,8,38776000
Proverbs,1,13,Proverbs 1:13,FALSE,3640000,3640000,TRUE,10,10,TRUE,10,10,6.561102,1.184931,0.900563,0.819333,,,,,,9,48644000
