book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Titus,1,1,Titus 1:1,False,12500000,12500000,True,10,10,True,10,10,7.09691,1.72903,0.685303,0.726451
Titus,1,2,Titus 1:2,False,32600000,32600000,True,9,9,True,9,9,7.513218,3.248461,1.0,1.0
Titus,1,3,Titus 1:3,False,12600000,12600000,True,9,9,True,9,9,7.100371,1.74166,0.687919,0.728862
Titus,1,4,Titus 1:4,False,7170000,7170000,True,9,9,True,9,9,6.855519,0.848007,0.50283,0.558232
Titus,1,5,Titus 1:5,False,6150000,6150000,True,9,9,True,9,9,6.788875,0.604771,0.452453,0.51179
Titus,1,6,Titus 1:6,False,5010000,5010000,True,9,9,True,9,9,6.699838,0.279804,0.385147,0.449742
Titus,1,7,Titus 1:7,False,5720000,5720000,True,10,10,True,10,10,6.757396,0.489879,0.428657,0.489853
Titus,1,8,Titus 1:8,False,5930000,5930000,True,8,8,True,8,8,6.773055,0.54703,0.440494,0.500765
Titus,1,9,Titus 1:9,False,4410000,4410000,True,10,10,True,10,10,6.644439,0.077609,0.34327,0.411136
Titus,1,10,Titus 1:10,False,4640000,4640000,True,10,10,True,10,10,6.666518,0.158194,0.35996,0.426522
Titus,1,11,Titus 1:11,False,4280000,4280000,True,10,10,True,10,10,6.631444,0.030181,0.333447,0.40208
Titus,1,12,Titus 1:12,False,3890000,3890000,True,10,10,True,10,10,6.58995,-0.121263,0.30208,0.373164
Titus,1,13,Titus 1:13,False,3410000,3410000,True,10,10,True,10,10,6.532755,-0.330013,0.258845,0.333306
Titus,1,14,Titus 1:14,False,3450000,3450000,True,10,10,True,10,10,6.537819,-0.311528,0.262674,0.336836
Titus,1,15,Titus 1:15,False,3760000,3760000,True,9,9,True,9,9,6.575188,-0.175141,0.290922,0.362877
Titus,1,16,Titus 1:16,False,3080000,3080000,True,10,10,True,10,10,6.488551,-0.491347,0.225431,0.302502
Titus,2,1,Titus 2:1,False,6480000,6480000,True,9,9,True,9,9,6.811575,0.68762,0.469612,0.527609
Titus,2,2,Titus 2:2,False,4600000,4600000,True,10,10,True,10,10,6.662758,0.144471,0.357118,0.423902
Titus,2,3,Titus 2:3,False,23800000,23800000,True,9,9,True,9,9,7.376577,2.749753,0.89671,0.921343
Titus,2,4,Titus 2:4,False,5170000,5170000,True,10,10,True,10,10,6.713491,0.329634,0.395468,0.459256
Titus,2,5,Titus 2:5,False,5060000,5060000,True,10,10,True,10,10,6.704151,0.295545,0.388407,0.452747
Titus,2,6,Titus 2:6,False,3600000,3600000,True,9,9,True,9,9,6.556303,-0.244068,0.276646,0.349716
Titus,2,7,Titus 2:7,False,2720000,2720000,True,9,9,True,9,9,6.434569,-0.688368,0.184624,0.264883
Titus,2,8,Titus 2:8,False,3540000,3540000,True,10,10,True,10,10,6.549003,-0.270708,0.271128,0.34463
Titus,2,9,Titus 2:9,False,2830000,2830000,True,9,9,True,9,9,6.451787,-0.625528,0.19764,0.276882
Titus,2,10,Titus 2:10,False,3080000,3080000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Titus,2,11,Titus 2:11,False,3180000,3180000,True,7,7,True,7,7,6.502427,-0.440701,0.23592,0.312172
Titus,2,12,Titus 2:12,False,2320000,2320000,True,10,10,True,10,10,6.365488,-0.940498,0.132405,0.216743
Titus,2,13,Titus 2:13,False,2590000,2590000,True,9,9,True,9,9,6.4133,-0.765996,0.168547,0.250062
Titus,2,14,Titus 2:14,False,2430000,2430000,True,9,9,True,9,9,6.385606,-0.867071,0.147613,0.230763
Titus,2,15,Titus 2:15,False,2170000,2170000,True,10,10,True,10,10,6.33646,-1.046445,0.110462,0.196514
Titus,3,1,Titus 3:1,False,6660000,6660000,True,9,9,True,9,9,6.823474,0.73105,0.478607,0.535901
Titus,3,2,Titus 3:2,False,4750000,4750000,True,9,9,True,9,9,6.676694,0.195333,0.367652,0.433613
Titus,3,3,Titus 3:3,False,3810000,3810000,True,8,8,True,8,8,6.580925,-0.154201,0.295258,0.366875
Titus,3,4,Titus 3:4,False,10100000,10100000,True,7,7,True,7,7,7.004321,1.391102,0.615314,0.661928
Titus,3,5,Titus 3:5,False,7920000,7920000,True,10,10,True,10,10,6.898725,1.005699,0.535491,0.588341
Titus,3,6,Titus 3:6,False,3660000,3660000,True,9,9,True,9,9,6.563481,-0.217868,0.282072,0.354719
Titus,3,7,Titus 3:7,False,2980000,2980000,True,9,9,True,9,9,6.474216,-0.543664,0.214595,0.292513
Titus,3,8,Titus 3:8,False,3220000,3220000,True,8,8,True,8,8,6.507856,-0.420887,0.240024,0.315955
Titus,3,9,Titus 3:9,False,2510000,2510000,True,9,9,True,9,9,6.399674,-0.815728,0.158246,0.240566
Titus,3,10,Titus 3:10,False,2730000,2730000,True,10,10,True,10,10,6.436163,-0.682552,0.185829,0.265994
Titus,3,11,Titus 3:11,False,2080000,2080000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Titus,3,12,Titus 3:12,False,2150000,2150000,True,10,10,True,10,10,6.332439,-1.061122,0.107422,0.193712
Titus,3,13,Titus 3:13,False,1550000,1550000,True,10,10,True,10,10,6.190332,-1.57978,0.0,0.094681
Titus,3,14,Titus 3:14,False,1760000,1760000,True,10,10,True,10,10,6.245513,-1.378382,0.041713,0.133135
Titus,3,15,Titus 3:15,False,2040000,2040000,True,10,10,True,10,10,6.30963,-1.144367,0.09018,0.177817
