book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
1 Corinthians,1,1,1 Corinthians 1:1 bible,False,5080000,5080000,True,8,8,True,8,8,,,,
1 Corinthians,1,2,1 Corinthians 1:2 bible,False,9030000,9030000,True,8,8,True,8,8,,,,
1 Corinthians,1,3,1 Corinthians 1:3 bible,False,6830000,6830000,True,8,8,True,8,8,,,,
1 Corinthians,1,4,1 Corinthians 1:4 bible,False,5380000,5380000,True,9,9,True,9,9,,,,
1 Corinthians,1,5,1 Corinthians 1:5 bible,False,5170000,5170000,True,8,8,True,8,8,,,,
1 Corinthians,1,6,1 Corinthians 1:6 bible,False,4490000,4490000,True,9,9,True,9,9,,,,
1 Corinthians,1,7,1 Corinthians 1:7 bible,False,4490000,4490000,True,9,9,True,9,9,,,,
1 Corinthians,1,8,1 Corinthians 1:8 bible,True,66,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
1 Corinthians,1,9,1 Corinthians 1:9 bible,False,4580000,4580000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
1 Corinthians,1,10,1 Corinthians 1:10 bible,False,3780000,3780000,True,8,8,True,8,8,,,,
1 Corinthians,1,11,1 Corinthians 1:11 bible,False,3700000,3700000,True,8,8,True,8,8,,,,
1 Corinthians,1,12,1 Corinthians 1:12 bible,False,3630000,3630000,True,8,8,True,8,8,,,,
1 Corinthians,1,13,1 Corinthians 1:13 bible,False,3470000,3470000,True,8,8,True,8,8,,,,
1 Corinthians,1,14,1 Corinthians 1:14 bible,False,3430000,3430000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
1 Corinthians,1,15,1 Corinthians 1:15 bible,False,3070000,3070000,True,9,9,True,9,9,,,,
1 Corinthians,1,16,1 Corinthians 1:16 bible,True,136,3180000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
1 Corinthians,1,17,1 Corinthians 1:17 bible,False,3060000,3060000,True,8,8,True,8,8,,,,
1 Corinthians,1,18,1 Corinthians 1:18 bible,False,3470000,3470000,True,8,8,True,8,8,,,,
1 Corinthians,1,19,1 Corinthians 1:19 bible,True,325,2250000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
1 Corinthians,1,20,1 Corinthians 1:20 bible,False,2770000,2770000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
1 Corinthians,1,21,1 Corinthians 1:21 bible,False,2550000,2550000,True,8,8,True,8,8,,,,
1 Corinthians,1,22,1 Corinthians 1:22 bible,False,1870000,1870000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
