book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
1 Peter,1,1,1 Peter 1:1 bible,False,9120000,9120000,True,8,8,True,8,8,,,,
1 Peter,1,2,1 Peter 1:2 bible,False,18000000,18000000,True,9,9,True,9,9,,,,
1 Peter,1,3,1 Peter 1:3 bible,False,10900000,10900000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
1 Peter,1,4,1 Peter 1:4 bible,False,8630000,8630000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
1 Peter,1,5,1 Peter 1:5 bible,True,139,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
1 Peter,1,6,1 Peter 1:6 bible,False,6260000,6260000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
1 Peter,1,7,1 Peter 1:7 bible,True,134,5970000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
1 Peter,1,8,1 Peter 1:8 bible,False,6240000,6240000,True,8,8,True,8,8,,,,
1 Peter,1,9,1 Peter 1:9 bible,False,5870000,5870000,True,8,8,True,8,8,,,,
1 Peter,1,10,1 Peter 1:10 bible,True,137,5430000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
1 Peter,1,11,1 Peter 1:11 bible,False,5140000,5140000,True,9,9,True,9,9,,,,
1 Peter,1,12,1 Peter 1:12 bible,False,5160000,5160000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
1 Peter,1,13,1 Peter 1:13 bible,False,4660000,4660000,True,7,7,True,7,7,,,,
1 Peter,1,14,1 Peter 1:14 bible,False,4740000,4740000,True,8,8,True,8,8,,,,
1 Peter,1,15,1 Peter 1:15 bible,False,4500000,4500000,True,8,8,True,8,8,,,,
1 Peter,1,16,1 Peter 1:16 bible,False,4380000,4380000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
1 Peter,1,17,1 Peter 1:17 bible,True,140,4170000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
1 Peter,1,18,1 Peter 1:18 bible,False,4470000,4470000,True,8,8,True,8,8,,,,
1 Peter,1,19,1 Peter 1:19 bible,False,3580000,3580000,True,8,8,True,8,8,,,,
1 Peter,1,20,1 Peter 1:20 bible,False,4060000,4060000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
1 Peter,1,21,1 Peter 1:21 bible,False,3680000,3680000,True,9,9,True,9,9,,,,
1 Peter,1,22,1 Peter 1:22 bible,False,3060000,3060000,True,8,8,True,8,8,,,,
1 Peter,1,23,1 Peter 1:23 bible,True,131,2520000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
1 Peter,1,24,1 Peter 1:24 bible,False,2240000,2240000,True,7,7,True,7,7,,,,
1 Peter,1,25,1 Peter 1:25 bible,False,1950000,1950000,True,8,8,True,8,8,,,,
1 Peter,2,1,1 Peter 2:1 bible,False,7390000,7390000,True,9,9,True,9,9,,,,
1 Peter,2,2,1 Peter 2:2 bible,False,5100000,5100000,True,8,8,True,8,8,,,,
1 Peter,2,3,1 Peter 2:3 bible,False,12500000,12500000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
1 Peter,2,4,1 Peter 2:4 bible,False,5980000,5980000,True,8,8,True,8,8,,,,
