book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
1 Thessalonians,1,1,1 Thessalonians 1:1 bible,False,2620000,2620000,True,8,8,True,8,8,,,,
1 Thessalonians,1,2,1 Thessalonians 1:2 bible,False,4140000,4140000,True,8,8,True,8,8,,,,
1 Thessalonians,1,3,1 Thessalonians 1:3 bible,True,136,3410000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
1 Thessalonians,1,4,1 Thessalonians 1:4 bible,False,2850000,2850000,True,8,8,True,8,8,,,,
1 Thessalonians,1,5,1 Thessalonians 1:5 bible,False,2790000,2790000,True,9,9,True,9,9,,,,
1 Thessalonians,1,6,1 Thessalonians 1:6 bible,False,2410000,2410000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
1 Thessalonians,1,7,1 Thessalonians 1:7 bible,False,2410000,2410000,True,8,8,True,8,8,,,,
1 Thessalonians,1,8,1 Thessalonians 1:8 bible,False,2400000,2400000,True,8,8,True,8,8,,,,
1 Thessalonians,1,9,1 Thessalonians 1:9 bible,False,2430000,2430000,True,8,8,True,8,8,,,,
1 Thessalonians,1,10,1 Thessalonians 1:10 bible,False,1640000,1640000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
1 Thessalonians,2,1,1 Thessalonians 2:1 bible,False,2410000,2410000,True,8,8,True,8,8,,,,
1 Thessalonians,2,2,1 Thessalonians 2:2 bible,False,1310000,1310000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
1 Thessalonians,2,3,1 Thessalonians 2:3 bible,False,3150000,3150000,True,9,9,True,9,9,,,,
1 Thessalonians,2,4,1 Thessalonians 2:4 bible,False,2030000,2030000,True,8,8,True,8,8,,,,
1 Thessalonians,2,5,1 Thessalonians 2:5 bible,False,1300000,1300000,True,8,8,True,8,8,,,,
1 Thessalonians,2,6,1 Thessalonians 2:6 bible,False,1090000,1090000,True,9,9,True,9,9,,,,
1 Thessalonians,2,7,1 Thessalonians 2:7 bible,False,954000,954000,True,9,9,True,9,9,,,,
1 Thessalonians,2,8,1 Thessalonians 2:8 bible,False,1420000,1420000,True,8,8,True,8,8,,,,
