book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
2 Chronicles,1,1,2 Chronicles 1:1 bible,True,137,3280000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Chronicles,1,2,2 Chronicles 1:2 bible,False,5550000,5550000,True,8,8,True,8,8,,,,
2 Chronicles,1,3,2 Chronicles 1:3 bible,True,0,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Chronicles,1,4,2 Chronicles 1:4 bible,False,3110000,3110000,True,8,8,True,8,8,,,,
2 Chronicles,1,5,2 Chronicles 1:5 bible,False,2810000,2810000,True,8,8,True,8,8,,,,
2 Chronicles,1,6,2 Chronicles 1:6 bible,False,2510000,2510000,True,9,9,True,9,9,,,,
2 Chronicles,1,7,2 Chronicles 1:7 bible,False,2270000,2270000,True,8,8,True,8,8,,,,
2 Chronicles,1,8,2 Chronicles 1:8 bible,False,3220000,3220000,True,8,8,True,8,8,,,,
2 Chronicles,1,9,2 Chronicles 1:9 bible,False,2250000,2250000,True,10,9,True,10,9,,,,
2 Chronicles,1,10,2 Chronicles 1:10 bible,False,1600000,1600000,True,9,9,True,9,9,,,,
2 Chronicles,1,11,2 Chronicles 1:11 bible,False,1500000,1500000,True,9,9,True,9,9,,,,
2 Chronicles,1,12,2 Chronicles 1:12 bible,True,0,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Chronicles,1,13,2 Chronicles 1:13 bible,False,1130000,1130000,True,8,8,True,8,8,,,,
2 Chronicles,1,14,2 Chronicles 1:14 bible,False,1240000,1240000,True,9,9,True,9,9,,,,
2 Chronicles,1,15,2 Chronicles 1:15 bible,False,1040000,1040000,True,9,9,True,9,9,,,,
2 Chronicles,1,16,2 Chronicles 1:16 bible,False,1050000,1050000,True,8,8,True,8,8,,,,
2 Chronicles,1,17,2 Chronicles 1:17 bible,False,1080000,1080000,True,8,8,True,8,8,,,,
2 Chronicles,2,1,2 Chronicles 2:1 bible,False,2450000,2450000,True,8,8,True,8,8,,,,
2 Chronicles,2,2,2 Chronicles 2:2 bible,False,1310000,1310000,True,8,8,True,8,8,,,,
2 Chronicles,2,3,2 Chronicles 2:3 bible,False,3780000,3780000,True,8,8,True,8,8,,,,
2 Chronicles,2,4,2 Chronicles 2:4 bible,True,0,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
