book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
2 Kings,1,1,2 Kings 1:1 bible,False,5960000,5960000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Kings,1,2,2 Kings 1:2 bible,True,128,11600000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Kings,1,3,2 Kings 1:3 bible,False,6470000,6470000,True,7,7,True,7,7,,,,
2 Kings,1,4,2 Kings 1:4 bible,False,5570000,5570000,True,8,8,True,8,8,,,,
2 Kings,1,5,2 Kings 1:5 bible,False,5280000,5280000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Kings,1,6,2 Kings 1:6 bible,False,4900000,4900000,True,8,8,True,8,8,,,,
2 Kings,1,7,2 Kings 1:7 bible,False,4520000,4520000,True,9,9,True,9,9,,,,
2 Kings,1,8,2 Kings 1:8 bible,False,4880000,4880000,True,10,10,True,10,10,,,,
2 Kings,1,9,2 Kings 1:9 bible,False,4230000,4230000,True,9,9,True,9,9,,,,
2 Kings,1,10,2 Kings 1:10 bible,False,4000000,4000000,True,9,9,True,9,9,,,,
2 Kings,1,11,2 Kings 1:11 bible,False,3740000,3740000,True,8,8,True,8,8,,,,
2 Kings,1,12,2 Kings 1:12 bible,False,3710000,3710000,True,9,9,True,9,9,,,,
2 Kings,1,13,2 Kings 1:13 bible,False,3150000,3150000,True,9,9,True,9,9,,,,
2 Kings,1,14,2 Kings 1:14 bible,False,3400000,3400000,True,8,8,True,8,8,,,,
2 Kings,1,15,2 Kings 1:15 bible,False,3080000,3080000,True,9,9,True,9,9,,,,
2 Kings,1,16,2 Kings 1:16 bible,False,2940000,2940000,True,8,8,True,8,8,,,,
2 Kings,1,17,2 Kings 1:17 bible,False,2890000,2890000,True,8,8,True,8,8,,,,
2 Kings,1,18,2 Kings 1:18 bible,False,3080000,3080000,True,8,8,True,8,8,,,,
2 Kings,2,1,2 Kings 2:1 bible,False,5140000,5140000,True,7,7,True,7,7,,,,
2 Kings,2,2,2 Kings 2:2 bible,False,3530000,3530000,True,9,9,True,9,9,,,,
2 Kings,2,3,2 Kings 2:3 bible,False,7240000,7240000,True,8,8,True,8,8,,,,
2 Kings,2,4,2 Kings 2:4 bible,False,4640000,4640000,True,9,9,True,9,9,,,,
2 Kings,2,5,2 Kings 2:5 bible,True,131,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Kings,2,6,2 Kings 2:6 bible,False,3020000,3020000,True,8,8,True,8,8,,,,
2 Kings,2,7,2 Kings 2:7 bible,False,2670000,2670000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Kings,2,8,2 Kings 2:8 bible,False,3130000,3130000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Kings,2,9,2 Kings 2:9 bible,False,5670000,5670000,True,7,7,True,7,7,,,,
2 Kings,2,10,2 Kings 2:10 bible,False,2760000,2760000,True,9,9,True,9,9,,,,
2 Kings,2,11,2 Kings 2:11 bible,False,2470000,2470000,True,9,9,True,9,9,,,,
2 Kings,2,12,2 Kings 2:12 bible,False,4950000,4950000,True,9,9,True,9,9,,,,
2 Kings,2,13,2 Kings 2:13 bible,False,2330000,2330000,True,9,9,True,9,9,,,,
2 Kings,2,14,2 Kings 2:14 bible,False,2340000,2340000,True,8,8,True,8,8,,,,
2 Kings,2,15,2 Kings 2:15 bible,False,4710000,4710000,True,9,9,True,9,9,,,,
2 Kings,2,16,2 Kings 2:16 bible,False,1280000,1280000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
