book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
2 Samuel,1,1,2 Samuel 1:1 bible,False,6490000,6490000,True,8,8,True,8,8,,,,
2 Samuel,1,2,2 Samuel 1:2 bible,False,13400000,13400000,True,7,7,True,7,7,,,,
2 Samuel,1,3,2 Samuel 1:3 bible,False,7260000,7260000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Samuel,1,4,2 Samuel 1:4 bible,False,6050000,6050000,True,7,7,True,7,7,,,,
2 Samuel,1,5,2 Samuel 1:5 bible,False,5720000,5720000,True,7,7,True,7,7,,,,
2 Samuel,1,6,2 Samuel 1:6 bible,False,5230000,5230000,True,8,8,True,8,8,,,,
2 Samuel,1,7,2 Samuel 1:7 bible,False,5200000,5200000,True,7,7,True,7,7,,,,
2 Samuel,1,8,2 Samuel 1:8 bible,False,5140000,5140000,True,7,7,True,7,7,,,,
2 Samuel,1,9,2 Samuel 1:9 bible,False,4850000,4850000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Samuel,1,10,2 Samuel 1:10 bible,False,4560000,4560000,True,7,7,True,7,7,,,,
2 Samuel,1,11,2 Samuel 1:11 bible,False,4130000,4130000,True,7,7,True,7,7,,,,
2 Samuel,1,12,2 Samuel 1:12 bible,False,4150000,4150000,True,8,8,True,8,8,,,,
2 Samuel,1,13,2 Samuel 1:13 bible,False,3610000,3610000,True,8,8,True,8,8,,,,
2 Samuel,1,14,2 Samuel 1:14 bible,True,66,3570000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Samuel,1,15,2 Samuel 1:15 bible,False,3620000,3620000,True,8,8,True,8,8,,,,
2 Samuel,1,16,2 Samuel 1:16 bible,False,3330000,3330000,True,7,7,True,7,7,,,,
2 Samuel,1,17,2 Samuel 1:17 bible,False,3270000,3270000,True,8,8,True,8,8,,,,
2 Samuel,1,18,2 Samuel 1:18 bible,False,3460000,3460000,True,9,9,True,9,9,,,,
2 Samuel,1,19,2 Samuel 1:19 bible,False,2640000,2640000,True,9,9,True,9,9,,,,
2 Samuel,1,20,2 Samuel 1:20 bible,False,3110000,3110000,True,8,8,True,8,8,,,,
2 Samuel,1,21,2 Samuel 1:21 bible,True,141,2620000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Samuel,1,22,2 Samuel 1:22 bible,False,2200000,2200000,True,9,9,True,9,9,,,,
2 Samuel,1,23,2 Samuel 1:23 bible,False,1520000,1520000,True,8,8,True,8,8,,,,
2 Samuel,1,24,2 Samuel 1:24 bible,False,1270000,1270000,True,8,8,True,8,8,,,,
2 Samuel,1,25,2 Samuel 1:25 bible,False,1100000,1100000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Samuel,1,26,2 Samuel 1:26 bible,False,2260000,2260000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Samuel,1,27,2 Samuel 1:27 bible,False,2240000,2240000,True,8,8,True,8,8,,,,
