book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
2 Timothy,1,1,2 Timothy 1:1 bible,False,5060000,5060000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Timothy,1,2,2 Timothy 1:2 bible,True,137,8180000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Timothy,1,3,2 Timothy 1:3 bible,False,5580000,5580000,True,9,9,True,9,9,,,,
2 Timothy,1,4,2 Timothy 1:4 bible,False,5000000,5000000,True,8,8,True,8,8,,,,
2 Timothy,1,5,2 Timothy 1:5 bible,False,4840000,4840000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Timothy,1,6,2 Timothy 1:6 bible,False,4460000,4460000,True,8,8,True,8,8,,,,
2 Timothy,1,7,2 Timothy 1:7 bible,False,4670000,4670000,True,7,7,True,7,7,,,,
2 Timothy,1,8,2 Timothy 1:8 bible,False,4420000,4420000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Timothy,1,9,2 Timothy 1:9 bible,False,4030000,4030000,True,8,8,True,8,8,,,,
2 Timothy,1,10,2 Timothy 1:10 bible,False,3560000,3560000,True,8,8,True,8,8,,,,
2 Timothy,1,11,2 Timothy 1:11 bible,False,3310000,3310000,True,8,8,True,8,8,,,,
2 Timothy,1,12,2 Timothy 1:12 bible,False,3620000,3620000,True,8,8,True,8,8,,,,
2 Timothy,1,13,2 Timothy 1:13 bible,False,3060000,3060000,True,9,9,True,9,9,,,,
2 Timothy,1,14,2 Timothy 1:14 bible,False,3040000,3040000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Timothy,1,15,2 Timothy 1:15 bible,False,2870000,2870000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Timothy,1,16,2 Timothy 1:16 bible,False,2850000,2850000,True,8,8,True,8,8,,,,
2 Timothy,1,17,2 Timothy 1:17 bible,False,2640000,2640000,True,8,8,True,8,8,,,,
2 Timothy,1,18,2 Timothy 1:18 bible,False,2940000,2940000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Timothy,2,1,2 Timothy 2:1 bible,False,4570000,4570000,True,8,8,True,8,8,,,,
2 Timothy,2,2,2 Timothy 2:2 bible,False,3430000,3430000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Timothy,2,3,2 Timothy 2:3 bible,False,5600000,5600000,True,8,8,True,8,8,,,,
2 Timothy,2,4,2 Timothy 2:4 bible,False,4130000,4130000,True,8,8,True,8,8,,,,
2 Timothy,2,5,2 Timothy 2:5 bible,False,3490000,3490000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Timothy,2,6,2 Timothy 2:6 bible,False,2500000,2500000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Timothy,2,7,2 Timothy 2:7 bible,False,2310000,2310000,True,8,8,True,8,8,,,,
2 Timothy,2,8,2 Timothy 2:8 bible,False,3270000,3270000,True,10,10,True,10,10,,,,
2 Timothy,2,9,2 Timothy 2:9 bible,True,141,3020000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Timothy,2,10,2 Timothy 2:10 bible,False,2620000,2620000,True,8,8,True,8,8,,,,
2 Timothy,2,11,2 Timothy 2:11 bible,False,2350000,2350000,True,8,8,True,8,8,,,,
2 Timothy,2,12,2 Timothy 2:12 bible,False,2160000,2160000,True,8,8,True,8,8,,,,
2 Timothy,2,13,2 Timothy 2:13 bible,False,2320000,2320000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Timothy,2,14,2 Timothy 2:14 bible,False,2370000,2370000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Timothy,2,15,2 Timothy 2:15 bible,False,2900000,2900000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Timothy,2,16,2 Timothy 2:16 bible,False,1330000,1330000,True,8,8,True,8,8,,,,
2 Timothy,2,17,2 Timothy 2:17 bible,False,1280000,1280000,True,9,9,True,9,9,,,,
2 Timothy,2,18,2 Timothy 2:18 bible,False,1070000,1070000,True,8,8,True,8,8,,,,
2 Timothy,2,19,2 Timothy 2:19 bible,False,1210000,1210000,True,8,8,True,8,8,,,,
2 Timothy,2,20,2 Timothy 2:20 bible,True,133,1840000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Timothy,2,21,2 Timothy 2:21 bible,False,962000,962000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Timothy,2,22,2 Timothy 2:22 bible,False,1010000,1010000,True,6,6,True,6,6,,,,
2 Timothy,2,23,2 Timothy 2:23 bible,False,789000,789000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Timothy,2,24,2 Timothy 2:24 bible,False,1150000,1150000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Timothy,2,25,2 Timothy 2:25 bible,False,780000,780000,True,8,8,True,8,8,,,,
2 Timothy,2,26,2 Timothy 2:26 bible,False,638000,638000,True,9,9,True,9,9,,,,
2 Timothy,3,1,2 Timothy 3:1 bible,False,4480000,4480000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Timothy,3,2,2 Timothy 3:2 bible,False,2770000,2770000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
2 Timothy,3,3,2 Timothy 3:3 bible,False,3040000,3040000,True,8,8,True,8,8,,,,
2 Timothy,3,4,2 Timothy 3:4 bible,False,5440000,5440000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
