book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
3 John,1,1,3 John 1:1 bible,False,16900000,16900000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
3 John,1,2,3 John 1:2 bible,False,37600000,37600000,True,8,8,True,8,8,,,,
3 John,1,3,3 John 1:3 bible,False,17800000,17800000,True,9,9,True,9,9,,,,
3 John,1,4,3 John 1:4 bible,False,15000000,15000000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
3 John,1,5,3 John 1:5 bible,True,139,13200000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
3 John,1,6,3 John 1:6 bible,False,10700000,10700000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
3 John,1,7,3 John 1:7 bible,True,138,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
3 John,1,8,3 John 1:8 bible,False,10300000,10300000,True,8,8,True,8,8,,,,
3 John,1,9,3 John 1:9 bible,False,9610000,9610000,True,8,8,True,8,8,,,,
3 John,1,10,3 John 1:10 bible,False,8640000,8640000,True,9,9,True,9,9,,,,
3 John,1,11,3 John 1:11 bible,False,7650000,7650000,True,8,8,True,8,8,,,,
3 John,1,12,3 John 1:12 bible,False,7820000,7820000,True,9,9,True,9,9,,,,
3 John,1,13,3 John 1:13 bible,True,139,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
3 John,1,14,3 John 1:14 bible,False,6680000,6680000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
