book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Acts,1,1,Acts 1:1 bible,False,10100000,10100000,True,9,9,True,9,9,,,,
Acts,1,2,Acts 1:2 bible,False,16700000,16700000,True,8,8,True,8,8,,,,
Acts,1,3,Acts 1:3 bible,False,11200000,11200000,True,8,8,True,8,8,,,,
Acts,1,4,Acts 1:4 bible,False,8980000,8980000,True,10,10,True,10,10,,,,
Acts,1,5,Acts 1:5 bible,False,7940000,7940000,True,9,9,True,9,9,,,,
Acts,1,6,Acts 1:6 bible,True,0,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Acts,1,7,Acts 1:7 bible,False,6380000,6380000,True,8,8,True,8,8,,,,
Acts,1,8,Acts 1:8 bible,False,6870000,6870000,True,9,9,True,9,9,,,,
Acts,1,9,Acts 1:9 bible,True,0,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Acts,1,10,Acts 1:10 bible,True,0,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Acts,1,11,Acts 1:11 bible,False,5400000,5400000,True,9,9,True,9,9,,,,
Acts,1,12,Acts 1:12 bible,False,5220000,5220000,True,8,8,True,8,8,,,,
Acts,1,13,Acts 1:13 bible,False,4660000,4660000,True,9,9,True,9,9,,,,
Acts,1,14,Acts 1:14 bible,True,0,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Acts,1,15,Acts 1:15 bible,False,4440000,4440000,True,9,9,True,9,9,,,,
Acts,1,16,Acts 1:16 bible,False,4300000,4300000,True,10,10,True,10,10,,,,
Acts,1,17,Acts 1:17 bible,False,4080000,4080000,True,10,10,True,10,10,,,,
Acts,1,18,Acts 1:18 bible,False,4650000,4650000,True,9,9,True,9,9,,,,
Acts,1,19,Acts 1:19 bible,True,0,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
