book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Colossians,1,1,Colossians 1:1 bible,False,3210000,3210000,True,8,8,True,8,8,,,,
Colossians,1,2,Colossians 1:2 bible,False,4400000,4400000,True,9,9,True,9,9,,,,
Colossians,1,3,Colossians 1:3 bible,False,3780000,3780000,True,8,8,True,8,8,,,,
Colossians,1,4,Colossians 1:4 bible,False,3250000,3250000,True,9,9,True,9,9,,,,
Colossians,1,5,Colossians 1:5 bible,False,3220000,3220000,True,7,7,True,7,7,,,,
Colossians,1,6,Colossians 1:6 bible,True,134,2820000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Colossians,1,7,Colossians 1:7 bible,True,323,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Colossians,1,8,Colossians 1:8 bible,True,134,2750000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Colossians,1,9,Colossians 1:9 bible,False,2910000,2910000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Colossians,1,10,Colossians 1:10 bible,False,2240000,2240000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Colossians,1,11,Colossians 1:11 bible,False,2040000,2040000,True,8,8,True,8,8,,,,
Colossians,1,12,Colossians 1:12 bible,False,2170000,2170000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Colossians,1,13,Colossians 1:13 bible,False,2150000,2150000,True,8,8,True,8,8,,,,
Colossians,1,14,Colossians 1:14 bible,True,132,1850000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Colossians,1,15,Colossians 1:15 bible,True,135,1700000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Colossians,1,16,Colossians 1:16 bible,False,1870000,1870000,True,8,8,True,8,8,,,,
Colossians,1,17,Colossians 1:17 bible,True,132,1660000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Colossians,1,18,Colossians 1:18 bible,False,1770000,1770000,True,9,9,True,9,9,,,,
Colossians,1,19,Colossians 1:19 bible,False,1100000,1100000,True,8,8,True,8,8,,,,
Colossians,1,20,Colossians 1:20 bible,False,1230000,1230000,True,8,8,True,8,8,,,,
Colossians,1,21,Colossians 1:21 bible,True,138,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Colossians,1,22,Colossians 1:22 bible,False,954000,954000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Colossians,1,23,Colossians 1:23 bible,False,829000,829000,True,9,9,True,9,9,,,,
Colossians,1,24,Colossians 1:24 bible,False,708000,708000,True,9,9,True,9,9,,,,
Colossians,1,25,Colossians 1:25 bible,False,650000,650000,True,8,8,True,8,8,,,,
Colossians,1,26,Colossians 1:26 bible,False,932000,932000,True,8,8,True,8,8,,,,
Colossians,1,27,Colossians 1:27 bible,False,1010000,1010000,True,8,8,True,8,8,,,,
Colossians,1,28,Colossians 1:28 bible,False,691000,691000,True,8,8,True,8,8,,,,
Colossians,1,29,Colossians 1:29 bible,False,683000,683000,True,8,8,True,8,8,,,,
Colossians,2,1,Colossians 2:1 bible,False,2880000,2880000,True,8,8,True,8,8,,,,
Colossians,2,2,Colossians 2:2 bible,False,1680000,1680000,True,8,8,True,8,8,,,,
Colossians,2,3,Colossians 2:3 bible,True,132,3390000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Colossians,2,4,Colossians 2:4 bible,False,2340000,2340000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Colossians,2,5,Colossians 2:5 bible,True,66,1800000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Colossians,2,6,Colossians 2:6 bible,False,1690000,1690000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
