book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Daniel,1,1,Daniel 1:1 bible,True,132,9300000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Daniel,1,2,Daniel 1:2 bible,False,19700000,19700000,True,8,8,True,8,8,,,,
Daniel,1,3,Daniel 1:3 bible,True,131,10100000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Daniel,1,4,Daniel 1:4 bible,False,8380000,8380000,True,8,8,True,8,8,,,,
Daniel,1,5,Daniel 1:5 bible,False,7320000,7320000,True,9,9,True,9,9,,,,
Daniel,1,6,Daniel 1:6 bible,False,6290000,6290000,True,8,8,True,8,8,,,,
Daniel,1,7,Daniel 1:7 bible,False,5930000,5930000,True,9,9,True,9,9,,,,
Daniel,1,8,Daniel 1:8 bible,True,133,6560000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Daniel,1,9,Daniel 1:9 bible,False,5760000,5760000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Daniel,1,10,Daniel 1:10 bible,False,5580000,5580000,True,9,9,True,9,9,,,,
Daniel,1,11,Daniel 1:11 bible,False,5020000,5020000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Daniel,1,12,Daniel 1:12 bible,False,5200000,5200000,True,9,9,True,9,9,,,,
Daniel,1,13,Daniel 1:13 bible,False,4220000,4220000,True,8,8,True,8,8,,,,
Daniel,1,14,Daniel 1:14 bible,True,131,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Daniel,1,15,Daniel 1:15 bible,False,4470000,4470000,True,9,9,True,9,9,,,,
Daniel,1,16,Daniel 1:16 bible,False,4030000,4030000,True,9,9,True,9,9,,,,
Daniel,1,17,Daniel 1:17 bible,False,3890000,3890000,True,9,9,True,9,9,,,,
Daniel,1,18,Daniel 1:18 bible,False,4140000,4140000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Daniel,1,19,Daniel 1:19 bible,False,3100000,3100000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Daniel,1,20,Daniel 1:20 bible,False,4090000,4090000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Daniel,1,21,Daniel 1:21 bible,False,3130000,3130000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Daniel,2,1,Daniel 2:1 bible,False,6870000,6870000,True,8,8,True,8,8,,,,
Daniel,2,2,Daniel 2:2 bible,False,5240000,5240000,True,8,8,True,8,8,,,,
Daniel,2,3,Daniel 2:3 bible,False,14900000,14900000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Daniel,2,4,Daniel 2:4 bible,False,6240000,6240000,True,8,8,True,8,8,,,,
Daniel,2,5,Daniel 2:5 bible,True,139,5300000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Daniel,2,6,Daniel 2:6 bible,False,3980000,3980000,True,8,8,True,8,8,,,,
Daniel,2,7,Daniel 2:7 bible,False,3580000,3580000,True,8,8,True,8,8,,,,
Daniel,2,8,Daniel 2:8 bible,False,4200000,4200000,True,9,9,True,9,9,,,,
Daniel,2,9,Daniel 2:9 bible,False,3950000,3950000,True,8,8,True,8,8,,,,
Daniel,2,10,Daniel 2:10 bible,False,3690000,3690000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Daniel,2,11,Daniel 2:11 bible,False,3100000,3100000,True,9,9,True,9,9,,,,
Daniel,2,12,Daniel 2:12 bible,False,2650000,2650000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Daniel,2,13,Daniel 2:13 bible,True,137,2950000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Daniel,2,14,Daniel 2:14 bible,False,2800000,2800000,True,9,9,True,9,9,,,,
Daniel,2,15,Daniel 2:15 bible,False,3210000,3210000,True,9,9,True,9,9,,,,
Daniel,2,16,Daniel 2:16 bible,False,1740000,1740000,True,8,8,True,8,8,,,,
Daniel,2,17,Daniel 2:17 bible,False,1790000,1790000,True,8,8,True,8,8,,,,
Daniel,2,18,Daniel 2:18 bible,False,1500000,1500000,True,9,9,True,9,9,,,,
Daniel,2,19,Daniel 2:19 bible,False,1540000,1540000,True,9,9,True,9,9,,,,
Daniel,2,20,Daniel 2:20 bible,False,2710000,2710000,True,8,8,True,8,8,,,,
Daniel,2,21,Daniel 2:21 bible,False,1260000,1260000,True,8,8,True,8,8,,,,
Daniel,2,22,Daniel 2:22 bible,False,1190000,1190000,True,8,8,True,8,8,,,,
Daniel,2,23,Daniel 2:23 bible,False,961000,961000,True,8,8,True,8,8,,,,
Daniel,2,24,Daniel 2:24 bible,False,1260000,1260000,True,9,9,True,9,9,,,,
Daniel,2,25,Daniel 2:25 bible,False,990000,990000,True,9,9,True,9,9,,,,
Daniel,2,26,Daniel 2:26 bible,False,703000,703000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Daniel,2,27,Daniel 2:27 bible,False,658000,658000,True,9,9,True,9,9,,,,
Daniel,2,28,Daniel 2:28 bible,False,786000,786000,True,9,9,True,9,9,,,,
Daniel,2,29,Daniel 2:29 bible,False,448000,448000,True,9,9,True,9,9,,,,
Daniel,2,30,Daniel 2:30 bible,False,1140000,1140000,True,9,9,True,9,9,,,,
Daniel,2,31,Daniel 2:31 bible,False,417000,417000,True,9,9,True,9,9,,,,
