book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Deuteronomy,1,1,Deuteronomy 1:1 bible,False,3460000,3460000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Deuteronomy,1,2,Deuteronomy 1:2 bible,False,5050000,5050000,True,7,7,True,7,7,,,,
Deuteronomy,1,3,Deuteronomy 1:3 bible,False,4130000,4130000,True,8,8,True,8,8,,,,
Deuteronomy,1,4,Deuteronomy 1:4 bible,False,3540000,3540000,True,7,7,True,7,7,,,,
Deuteronomy,1,5,Deuteronomy 1:5 bible,False,3430000,3430000,True,9,9,True,9,9,,,,
Deuteronomy,1,6,Deuteronomy 1:6 bible,False,3120000,3120000,True,9,9,True,9,9,,,,
Deuteronomy,1,7,Deuteronomy 1:7 bible,False,3010000,3010000,True,8,8,True,8,8,,,,
Deuteronomy,1,8,Deuteronomy 1:8 bible,False,2930000,2930000,True,9,9,True,9,9,,,,
Deuteronomy,1,9,Deuteronomy 1:9 bible,False,3010000,3010000,True,8,8,True,8,8,,,,
Deuteronomy,1,10,Deuteronomy 1:10 bible,False,2300000,2300000,True,8,8,True,8,8,,,,
Deuteronomy,1,11,Deuteronomy 1:11 bible,False,2310000,2310000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Deuteronomy,1,12,Deuteronomy 1:12 bible,False,2300000,2300000,True,9,9,True,9,9,,,,
Deuteronomy,1,13,Deuteronomy 1:13 bible,False,1870000,1870000,True,8,8,True,8,8,,,,
Deuteronomy,1,14,Deuteronomy 1:14 bible,False,2080000,2080000,True,8,8,True,8,8,,,,
Deuteronomy,1,15,Deuteronomy 1:15 bible,False,1440000,1440000,True,8,8,True,8,8,,,,
Deuteronomy,1,16,Deuteronomy 1:16 bible,False,1480000,1480000,True,9,9,True,9,9,,,,
Deuteronomy,1,17,Deuteronomy 1:17 bible,True,141,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Deuteronomy,1,18,Deuteronomy 1:18 bible,False,1600000,1600000,True,9,8,True,9,8,,,,
Deuteronomy,1,19,Deuteronomy 1:19 bible,False,1050000,1050000,True,8,8,True,8,8,,,,
Deuteronomy,1,20,Deuteronomy 1:20 bible,False,1200000,1200000,True,8,8,True,8,8,,,,
Deuteronomy,1,21,Deuteronomy 1:21 bible,False,1450000,1450000,True,9,9,True,9,9,,,,
Deuteronomy,1,22,Deuteronomy 1:22 bible,False,900000,900000,True,8,8,True,8,8,,,,
Deuteronomy,1,23,Deuteronomy 1:23 bible,False,1420000,1420000,True,8,8,True,8,8,,,,
Deuteronomy,1,24,Deuteronomy 1:24 bible,False,953000,953000,True,8,8,True,8,8,,,,
Deuteronomy,1,25,Deuteronomy 1:25 bible,False,668000,668000,True,8,8,True,8,8,,,,
Deuteronomy,1,26,Deuteronomy 1:26 bible,False,930000,930000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Deuteronomy,1,27,Deuteronomy 1:27 bible,False,904000,904000,True,9,9,True,9,9,,,,
Deuteronomy,1,28,Deuteronomy 1:28 bible,True,140,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Deuteronomy,1,29,Deuteronomy 1:29 bible,False,689000,689000,True,8,8,True,8,8,,,,
Deuteronomy,1,30,Deuteronomy 1:30 bible,False,625000,625000,True,9,9,True,9,9,,,,
Deuteronomy,1,31,Deuteronomy 1:31 bible,False,599000,599000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Deuteronomy,1,32,Deuteronomy 1:32 bible,False,389000,389000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Deuteronomy,1,33,Deuteronomy 1:33 bible,False,386000,386000,True,9,9,True,9,9,,,,
Deuteronomy,1,34,Deuteronomy 1:34 bible,False,380000,380000,True,8,8,True,8,8,,,,
Deuteronomy,1,35,Deuteronomy 1:35 bible,False,399000,399000,True,9,9,True,9,9,,,,
Deuteronomy,1,36,Deuteronomy 1:36 bible,False,288000,288000,True,9,9,True,9,9,,,,
Deuteronomy,1,37,Deuteronomy 1:37 bible,False,390000,390000,True,9,9,True,9,9,,,,
Deuteronomy,1,38,Deuteronomy 1:38 bible,False,344000,344000,True,9,9,True,9,9,,,,
Deuteronomy,1,39,Deuteronomy 1:39 bible,False,282000,282000,True,9,9,True,9,9,,,,
Deuteronomy,1,40,Deuteronomy 1:40 bible,False,352000,352000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Deuteronomy,1,41,Deuteronomy 1:41 bible,False,324000,324000,True,9,9,True,9,9,,,,
Deuteronomy,1,42,Deuteronomy 1:42 bible,False,230000,230000,True,8,8,True,8,8,,,,
Deuteronomy,1,43,Deuteronomy 1:43 bible,False,209000,209000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Deuteronomy,1,44,Deuteronomy 1:44 bible,False,184000,184000,True,9,9,True,9,9,,,,
Deuteronomy,1,45,Deuteronomy 1:45 bible,False,348000,348000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Deuteronomy,1,46,Deuteronomy 1:46 bible,False,294000,294000,True,9,9,True,9,9,,,,
Deuteronomy,2,1,Deuteronomy 2:1 bible,False,2880000,2880000,True,9,9,True,9,9,,,,
Deuteronomy,2,2,Deuteronomy 2:2 bible,False,1860000,1860000,True,8,8,True,8,8,,,,
Deuteronomy,2,3,Deuteronomy 2:3 bible,False,3810000,3810000,True,8,8,True,8,8,,,,
Deuteronomy,2,4,Deuteronomy 2:4 bible,False,2490000,2490000,True,8,8,True,8,8,,,,
Deuteronomy,2,5,Deuteronomy 2:5 bible,False,2100000,2100000,True,8,8,True,8,8,,,,
Deuteronomy,2,6,Deuteronomy 2:6 bible,False,1400000,1400000,True,9,9,True,9,9,,,,
Deuteronomy,2,7,Deuteronomy 2:7 bible,False,1200000,1200000,True,8,8,True,8,8,,,,
Deuteronomy,2,8,Deuteronomy 2:8 bible,False,1870000,1870000,True,8,8,True,8,8,,,,
Deuteronomy,2,9,Deuteronomy 2:9 bible,False,2030000,2030000,True,8,8,True,8,8,,,,
Deuteronomy,2,10,Deuteronomy 2:10 bible,False,1430000,1430000,True,9,9,True,9,9,,,,
Deuteronomy,2,11,Deuteronomy 2:11 bible,False,1160000,1160000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Deuteronomy,2,12,Deuteronomy 2:12 bible,False,980000,980000,True,9,9,True,9,9,,,,
Deuteronomy,2,13,Deuteronomy 2:13 bible,False,1200000,1200000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Deuteronomy,2,14,Deuteronomy 2:14 bible,False,1250000,1250000,True,9,9,True,9,9,,,,
Deuteronomy,2,15,Deuteronomy 2:15 bible,False,1500000,1500000,True,9,9,True,9,9,,,,
Deuteronomy,2,16,Deuteronomy 2:16 bible,False,880000,880000,True,9,9,True,9,9,,,,
Deuteronomy,2,17,Deuteronomy 2:17 bible,False,845000,845000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Deuteronomy,2,18,Deuteronomy 2:18 bible,False,753000,753000,True,8,8,True,8,8,,,,
Deuteronomy,2,19,Deuteronomy 2:19 bible,False,803000,803000,True,8,8,True,8,8,,,,
Deuteronomy,2,20,Deuteronomy 2:20 bible,False,887000,887000,True,9,9,True,9,9,,,,
Deuteronomy,2,21,Deuteronomy 2:21 bible,True,131,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Deuteronomy,2,22,Deuteronomy 2:22 bible,False,680000,680000,True,9,9,True,9,9,,,,
Deuteronomy,2,23,Deuteronomy 2:23 bible,False,657000,657000,True,8,8,True,8,8,,,,
Deuteronomy,2,24,Deuteronomy 2:24 bible,False,788000,788000,True,8,8,True,8,8,,,,
Deuteronomy,2,25,Deuteronomy 2:25 bible,False,650000,650000,True,9,9,True,9,9,,,,
Deuteronomy,2,26,Deuteronomy 2:26 bible,True,67,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Deuteronomy,2,27,Deuteronomy 2:27 bible,False,391000,391000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Deuteronomy,2,28,Deuteronomy 2:28 bible,False,435000,435000,True,8,8,True,8,8,,,,
Deuteronomy,2,29,Deuteronomy 2:29 bible,False,386000,386000,True,9,9,True,9,9,,,,
Deuteronomy,2,30,Deuteronomy 2:30 bible,False,386000,386000,True,9,9,True,9,9,,,,
Deuteronomy,2,31,Deuteronomy 2:31 bible,False,241000,241000,True,9,9,True,9,9,,,,
Deuteronomy,2,32,Deuteronomy 2:32 bible,False,475000,475000,True,8,8,True,8,8,,,,
Deuteronomy,2,33,Deuteronomy 2:33 bible,False,216000,216000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Deuteronomy,2,34,Deuteronomy 2:34 bible,False,235000,235000,True,9,9,True,9,9,,,,
Deuteronomy,2,35,Deuteronomy 2:35 bible,False,144000,144000,True,8,8,True,8,8,,,,
Deuteronomy,2,36,Deuteronomy 2:36 bible,False,376000,376000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Deuteronomy,2,37,Deuteronomy 2:37 bible,False,341000,341000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Deuteronomy,3,1,Deuteronomy 3:1 bible,False,2970000,2970000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Deuteronomy,3,2,Deuteronomy 3:2 bible,False,1340000,1340000,True,9,9,True,9,9,,,,
Deuteronomy,3,3,Deuteronomy 3:3 bible,False,1610000,1610000,True,8,8,True,8,8,,,,
Deuteronomy,3,4,Deuteronomy 3:4 bible,True,124,3770000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Deuteronomy,3,5,Deuteronomy 3:5 bible,False,3320000,3320000,True,8,8,True,8,8,,,,
Deuteronomy,3,6,Deuteronomy 3:6 bible,False,2080000,2080000,True,9,9,True,9,9,,,,
Deuteronomy,3,7,Deuteronomy 3:7 bible,False,1380000,1380000,True,9,9,True,9,9,,,,
Deuteronomy,3,8,Deuteronomy 3:8 bible,False,1620000,1620000,True,9,9,True,9,9,,,,
Deuteronomy,3,9,Deuteronomy 3:9 bible,False,1320000,1320000,True,9,9,True,9,9,,,,
Deuteronomy,3,10,Deuteronomy 3:10 bible,False,1430000,1430000,True,8,8,True,8,8,,,,
Deuteronomy,3,11,Deuteronomy 3:11 bible,False,1060000,1060000,True,8,8,True,8,8,,,,
Deuteronomy,3,12,Deuteronomy 3:12 bible,False,1070000,1070000,True,8,8,True,8,8,,,,
Deuteronomy,3,13,Deuteronomy 3:13 bible,True,129,1230000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Deuteronomy,3,14,Deuteronomy 3:14 bible,False,1210000,1210000,True,9,9,True,9,9,,,,
Deuteronomy,3,15,Deuteronomy 3:15 bible,False,1250000,1250000,True,9,9,True,9,9,,,,
Deuteronomy,3,16,Deuteronomy 3:16 bible,False,3230000,3230000,True,9,9,True,9,9,,,,
Deuteronomy,3,17,Deuteronomy 3:17 bible,False,1300000,1300000,True,9,9,True,9,9,,,,
Deuteronomy,3,18,Deuteronomy 3:18 bible,False,961000,961000,True,9,8,True,9,8,,,,
Deuteronomy,3,19,Deuteronomy 3:19 bible,False,874000,874000,True,9,9,True,9,9,,,,
Deuteronomy,3,20,Deuteronomy 3:20 bible,False,1010000,1010000,True,9,9,True,9,9,,,,
Deuteronomy,3,21,Deuteronomy 3:21 bible,False,759000,759000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Deuteronomy,3,22,Deuteronomy 3:22 bible,False,880000,880000,True,8,8,True,8,8,,,,
Deuteronomy,3,23,Deuteronomy 3:23 bible,False,925000,925000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Deuteronomy,3,24,Deuteronomy 3:24 bible,True,142,581000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Deuteronomy,3,25,Deuteronomy 3:25 bible,False,411000,411000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Deuteronomy,3,26,Deuteronomy 3:26 bible,False,394000,394000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Deuteronomy,3,27,Deuteronomy 3:27 bible,False,391000,391000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Deuteronomy,3,28,Deuteronomy 3:28 bible,False,391000,391000,True,9,9,True,9,9,,,,
Deuteronomy,3,29,Deuteronomy 3:29 bible,False,387000,387000,True,9,9,True,9,9,,,,
Deuteronomy,4,1,Deuteronomy 4:1 bible,False,2440000,2440000,True,8,8,True,8,8,,,,
Deuteronomy,4,2,Deuteronomy 4:2 bible,False,1280000,1280000,True,8,8,True,8,8,,,,
Deuteronomy,4,3,Deuteronomy 4:3 bible,False,1040000,1040000,True,9,9,True,9,9,,,,
Deuteronomy,4,4,Deuteronomy 4:4 bible,False,1850000,1850000,True,7,7,True,7,7,,,,
Deuteronomy,4,5,Deuteronomy 4:5 bible,False,3340000,3340000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Deuteronomy,4,6,Deuteronomy 4:6 bible,False,3090000,3090000,True,7,7,True,7,7,,,,
Deuteronomy,4,7,Deuteronomy 4:7 bible,False,2370000,2370000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Deuteronomy,4,8,Deuteronomy 4:8 bible,False,2270000,2270000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Deuteronomy,4,9,Deuteronomy 4:9 bible,False,1120000,1120000,True,8,8,True,8,8,,,,
Deuteronomy,4,10,Deuteronomy 4:10 bible,False,1110000,1110000,True,8,8,True,8,8,,,,
Deuteronomy,4,11,Deuteronomy 4:11 bible,False,1030000,1030000,True,9,9,True,9,9,,,,
Deuteronomy,4,12,Deuteronomy 4:12 bible,False,1300000,1300000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Deuteronomy,4,13,Deuteronomy 4:13 bible,False,1430000,1430000,True,8,8,True,8,8,,,,
Deuteronomy,4,14,Deuteronomy 4:14 bible,False,865000,865000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Deuteronomy,4,15,Deuteronomy 4:15 bible,False,818000,818000,True,8,8,True,8,8,,,,
Deuteronomy,4,16,Deuteronomy 4:16 bible,False,1070000,1070000,True,9,9,True,9,9,,,,
Deuteronomy,4,17,Deuteronomy 4:17 bible,False,848000,848000,True,9,9,True,9,9,,,,
Deuteronomy,4,18,Deuteronomy 4:18 bible,False,1650000,1650000,True,8,8,True,8,8,,,,
Deuteronomy,4,19,Deuteronomy 4:19 bible,False,1030000,1030000,True,9,9,True,9,9,,,,
Deuteronomy,4,20,Deuteronomy 4:20 bible,False,636000,636000,True,8,8,True,8,8,,,,
Deuteronomy,4,21,Deuteronomy 4:21 bible,False,408000,408000,True,9,9,True,9,9,,,,
Deuteronomy,4,22,Deuteronomy 4:22 bible,False,492000,492000,True,9,9,True,9,9,,,,
Deuteronomy,4,23,Deuteronomy 4:23 bible,False,739000,739000,True,9,9,True,9,9,,,,
Deuteronomy,4,24,Deuteronomy 4:24 bible,False,679000,679000,True,8,8,True,8,8,,,,
Deuteronomy,4,25,Deuteronomy 4:25 bible,False,404000,404000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Deuteronomy,4,26,Deuteronomy 4:26 bible,False,391000,391000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Deuteronomy,4,27,Deuteronomy 4:27 bible,False,387000,387000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Deuteronomy,4,28,Deuteronomy 4:28 bible,False,386000,386000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
