book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Ecclesiastes,1,1,Ecclesiastes 1:1 bible,False,1400000,1400000,True,9,9,True,9,9,,,,
Ecclesiastes,1,2,Ecclesiastes 1:2 bible,False,3620000,3620000,True,8,8,True,8,8,,,,
Ecclesiastes,1,3,Ecclesiastes 1:3 bible,False,2360000,2360000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ecclesiastes,1,4,Ecclesiastes 1:4 bible,False,1540000,1540000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ecclesiastes,1,5,Ecclesiastes 1:5 bible,False,1500000,1500000,True,9,9,True,9,9,,,,
Ecclesiastes,1,6,Ecclesiastes 1:6 bible,False,1290000,1290000,True,8,8,True,8,8,,,,
Ecclesiastes,1,7,Ecclesiastes 1:7 bible,False,1270000,1270000,True,8,8,True,8,8,,,,
Ecclesiastes,1,8,Ecclesiastes 1:8 bible,False,1290000,1290000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ecclesiastes,1,9,Ecclesiastes 1:9 bible,False,1230000,1230000,True,8,8,True,8,8,,,,
Ecclesiastes,1,10,Ecclesiastes 1:10 bible,False,887000,887000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ecclesiastes,1,11,Ecclesiastes 1:11 bible,False,924000,924000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ecclesiastes,1,12,Ecclesiastes 1:12 bible,False,891000,891000,True,8,8,True,8,8,,,,
Ecclesiastes,1,13,Ecclesiastes 1:13 bible,True,45,769000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ecclesiastes,1,14,Ecclesiastes 1:14 bible,False,790000,790000,True,9,9,True,9,9,,,,
Ecclesiastes,1,15,Ecclesiastes 1:15 bible,False,747000,747000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ecclesiastes,1,16,Ecclesiastes 1:16 bible,False,748000,748000,True,9,9,True,9,9,,,,
Ecclesiastes,1,17,Ecclesiastes 1:17 bible,False,776000,776000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ecclesiastes,1,18,Ecclesiastes 1:18 bible,False,748000,748000,True,8,8,True,8,8,,,,
Ecclesiastes,2,1,Ecclesiastes 2:1 bible,False,1150000,1150000,True,8,8,True,8,8,,,,
Ecclesiastes,2,2,Ecclesiastes 2:2 bible,False,812000,812000,True,8,8,True,8,8,,,,
Ecclesiastes,2,3,Ecclesiastes 2:3 bible,False,2280000,2280000,True,8,8,True,8,8,,,,
Ecclesiastes,2,4,Ecclesiastes 2:4 bible,False,991000,991000,True,8,8,True,8,8,,,,
Ecclesiastes,2,5,Ecclesiastes 2:5 bible,False,800000,800000,True,8,8,True,8,8,,,,
Ecclesiastes,2,6,Ecclesiastes 2:6 bible,False,726000,726000,True,8,8,True,8,8,,,,
Ecclesiastes,2,7,Ecclesiastes 2:7 bible,False,705000,705000,True,9,9,True,9,9,,,,
Ecclesiastes,2,8,Ecclesiastes 2:8 bible,False,804000,804000,True,9,9,True,9,9,,,,
Ecclesiastes,2,9,Ecclesiastes 2:9 bible,True,40,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ecclesiastes,2,10,Ecclesiastes 2:10 bible,True,41,771000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ecclesiastes,2,11,Ecclesiastes 2:11 bible,False,676000,676000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ecclesiastes,2,12,Ecclesiastes 2:12 bible,True,66,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ecclesiastes,2,13,Ecclesiastes 2:13 bible,False,674000,674000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ecclesiastes,2,14,Ecclesiastes 2:14 bible,False,693000,693000,True,9,9,True,9,9,,,,
Ecclesiastes,2,15,Ecclesiastes 2:15 bible,False,730000,730000,True,9,9,True,9,9,,,,
Ecclesiastes,2,16,Ecclesiastes 2:16 bible,False,610000,610000,True,8,8,True,8,8,,,,
Ecclesiastes,2,17,Ecclesiastes 2:17 bible,False,586000,586000,True,8,8,True,8,8,,,,
Ecclesiastes,2,18,Ecclesiastes 2:18 bible,False,459000,459000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ecclesiastes,2,19,Ecclesiastes 2:19 bible,False,418000,418000,True,9,9,True,9,9,,,,
Ecclesiastes,2,20,Ecclesiastes 2:20 bible,False,584000,584000,True,8,8,True,8,8,,,,
Ecclesiastes,2,21,Ecclesiastes 2:21 bible,False,403000,403000,True,9,9,True,9,9,,,,
Ecclesiastes,2,22,Ecclesiastes 2:22 bible,False,391000,391000,True,9,9,True,9,9,,,,
Ecclesiastes,2,23,Ecclesiastes 2:23 bible,False,389000,389000,True,9,9,True,9,9,,,,
Ecclesiastes,2,24,Ecclesiastes 2:24 bible,False,486000,486000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ecclesiastes,2,25,Ecclesiastes 2:25 bible,False,390000,390000,True,8,8,True,8,8,,,,
Ecclesiastes,2,26,Ecclesiastes 2:26 bible,False,387000,387000,True,7,7,True,7,7,,,,
Ecclesiastes,3,1,Ecclesiastes 3:1 bible,False,2220000,2220000,True,7,7,True,7,7,,,,
Ecclesiastes,3,2,Ecclesiastes 3:2 bible,False,762000,762000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ecclesiastes,3,3,Ecclesiastes 3:3 bible,False,797000,797000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ecclesiastes,3,4,Ecclesiastes 3:4 bible,False,2180000,2180000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ecclesiastes,3,5,Ecclesiastes 3:5 bible,True,42,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ecclesiastes,3,6,Ecclesiastes 3:6 bible,True,41,823000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ecclesiastes,3,7,Ecclesiastes 3:7 bible,True,47,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ecclesiastes,3,8,Ecclesiastes 3:8 bible,False,797000,797000,True,9,9,True,9,9,,,,
Ecclesiastes,3,9,Ecclesiastes 3:9 bible,False,741000,741000,True,9,9,True,9,9,,,,
Ecclesiastes,3,10,Ecclesiastes 3:10 bible,False,753000,753000,True,9,9,True,9,9,,,,
Ecclesiastes,3,11,Ecclesiastes 3:11 bible,True,20,999000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ecclesiastes,3,12,Ecclesiastes 3:12 bible,False,684000,684000,True,8,8,True,8,8,,,,
Ecclesiastes,3,13,Ecclesiastes 3:13 bible,False,743000,743000,True,9,9,True,9,9,,,,
Ecclesiastes,3,14,Ecclesiastes 3:14 bible,False,690000,690000,True,9,9,True,9,9,,,,
Ecclesiastes,3,15,Ecclesiastes 3:15 bible,False,699000,699000,True,9,9,True,9,9,,,,
Ecclesiastes,3,16,Ecclesiastes 3:16 bible,True,42,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ecclesiastes,3,17,Ecclesiastes 3:17 bible,False,742000,742000,True,8,8,True,8,8,,,,
Ecclesiastes,3,18,Ecclesiastes 3:18 bible,False,658000,658000,True,9,9,True,9,9,,,,
Ecclesiastes,3,19,Ecclesiastes 3:19 bible,False,626000,626000,True,8,8,True,8,8,,,,
Ecclesiastes,3,20,Ecclesiastes 3:20 bible,True,42,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ecclesiastes,3,21,Ecclesiastes 3:21 bible,False,404000,404000,True,8,8,True,8,8,,,,
Ecclesiastes,3,22,Ecclesiastes 3:22 bible,False,513000,513000,True,8,8,True,8,8,,,,
Ecclesiastes,4,1,Ecclesiastes 4:1 bible,False,961000,961000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ecclesiastes,4,2,Ecclesiastes 4:2 bible,True,141,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ecclesiastes,4,3,Ecclesiastes 4:3 bible,True,46,656000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ecclesiastes,4,4,Ecclesiastes 4:4 bible,True,141,812000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ecclesiastes,4,5,Ecclesiastes 4:5 bible,False,1530000,1530000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ecclesiastes,4,6,Ecclesiastes 4:6 bible,False,1340000,1340000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
