book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Ephesians,1,1,Ephesians 1:1 bible,False,4210000,4210000,True,8,8,True,8,8,,,,
Ephesians,1,2,Ephesians 1:2 bible,False,6820000,6820000,True,8,8,True,8,8,,,,
Ephesians,1,3,Ephesians 1:3 bible,False,5440000,5440000,True,8,8,True,8,8,,,,
Ephesians,1,4,Ephesians 1:4 bible,False,4460000,4460000,True,7,7,True,7,7,,,,
Ephesians,1,5,Ephesians 1:5 bible,False,4380000,4380000,True,8,8,True,8,8,,,,
Ephesians,1,6,Ephesians 1:6 bible,False,4040000,4040000,True,8,8,True,8,8,,,,
Ephesians,1,7,Ephesians 1:7 bible,False,3840000,3840000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ephesians,1,8,Ephesians 1:8 bible,False,3910000,3910000,True,8,8,True,8,8,,,,
Ephesians,1,9,Ephesians 1:9 bible,False,3920000,3920000,True,9,9,True,9,9,,,,
Ephesians,1,10,Ephesians 1:10 bible,False,3210000,3210000,True,7,7,True,7,7,,,,
Ephesians,1,11,Ephesians 1:11 bible,False,3120000,3120000,True,9,8,True,9,8,,,,
Ephesians,1,12,Ephesians 1:12 bible,False,3210000,3210000,True,9,9,True,9,9,,,,
Ephesians,1,13,Ephesians 1:13 bible,False,3130000,3130000,True,9,9,True,9,9,,,,
Ephesians,1,14,Ephesians 1:14 bible,False,2810000,2810000,True,8,8,True,8,8,,,,
Ephesians,1,15,Ephesians 1:15 bible,False,2410000,2410000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ephesians,1,16,Ephesians 1:16 bible,False,2550000,2550000,True,7,7,True,7,7,,,,
Ephesians,1,17,Ephesians 1:17 bible,True,135,2530000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
