book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Esther,1,1,Esther 1:1 bible,False,2940000,2940000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,1,2,Esther 1:2 bible,False,5010000,5010000,True,8,8,True,8,8,,,,
Esther,1,3,Esther 1:3 bible,False,3640000,3640000,True,8,8,True,8,8,,,,
Esther,1,4,Esther 1:4 bible,False,2790000,2790000,True,8,8,True,8,8,,,,
Esther,1,5,Esther 1:5 bible,False,2600000,2600000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,1,6,Esther 1:6 bible,False,2420000,2420000,True,8,8,True,8,8,,,,
Esther,1,7,Esther 1:7 bible,False,2000000,2000000,True,9,9,True,9,9,,,,
Esther,1,8,Esther 1:8 bible,False,2370000,2370000,True,9,9,True,9,9,,,,
Esther,1,9,Esther 1:9 bible,False,1800000,1800000,True,9,9,True,9,9,,,,
Esther,1,10,Esther 1:10 bible,False,1440000,1440000,True,8,8,True,8,8,,,,
Esther,1,11,Esther 1:11 bible,False,1290000,1290000,True,8,8,True,8,8,,,,
Esther,1,12,Esther 1:12 bible,False,1260000,1260000,True,9,9,True,9,9,,,,
Esther,1,13,Esther 1:13 bible,False,937000,937000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,1,14,Esther 1:14 bible,False,953000,953000,True,9,9,True,9,9,,,,
Esther,1,15,Esther 1:15 bible,False,930000,930000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,1,16,Esther 1:16 bible,False,898000,898000,True,8,8,True,8,8,,,,
Esther,1,17,Esther 1:17 bible,False,989000,989000,True,8,8,True,8,8,,,,
Esther,1,18,Esther 1:18 bible,True,40,896000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,1,19,Esther 1:19 bible,False,763000,763000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Esther,1,20,Esther 1:20 bible,False,824000,824000,True,8,8,True,8,8,,,,
