book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Exodus,1,1,Exodus 1:1 bible,False,4340000,4340000,True,9,9,True,9,9,,,,
Exodus,1,2,Exodus 1:2 bible,False,6670000,6670000,True,8,8,True,8,8,,,,
Exodus,1,3,Exodus 1:3 bible,False,5090000,5090000,True,8,8,True,8,8,,,,
Exodus,1,4,Exodus 1:4 bible,False,4290000,4290000,True,8,8,True,8,8,,,,
Exodus,1,5,Exodus 1:5 bible,False,4180000,4180000,True,9,9,True,9,9,,,,
Exodus,1,6,Exodus 1:6 bible,False,3890000,3890000,True,8,8,True,8,8,,,,
Exodus,1,7,Exodus 1:7 bible,False,3740000,3740000,True,8,8,True,8,8,,,,
Exodus,1,8,Exodus 1:8 bible,False,3890000,3890000,True,8,8,True,8,8,,,,
Exodus,1,9,Exodus 1:9 bible,False,3510000,3510000,True,9,9,True,9,9,,,,
Exodus,1,10,Exodus 1:10 bible,False,3130000,3130000,True,9,9,True,9,9,,,,
Exodus,1,11,Exodus 1:11 bible,False,3050000,3050000,True,9,9,True,9,9,,,,
Exodus,1,12,Exodus 1:12 bible,False,3110000,3110000,True,8,8,True,8,8,,,,
Exodus,1,13,Exodus 1:13 bible,False,2460000,2460000,True,8,8,True,8,8,,,,
Exodus,1,14,Exodus 1:14 bible,False,2750000,2750000,True,8,8,True,8,8,,,,
Exodus,1,15,Exodus 1:15 bible,False,2320000,2320000,True,8,8,True,8,8,,,,
Exodus,1,16,Exodus 1:16 bible,False,2380000,2380000,True,9,9,True,9,9,,,,
Exodus,1,17,Exodus 1:17 bible,False,2400000,2400000,True,9,9,True,9,9,,,,
Exodus,1,18,Exodus 1:18 bible,False,2450000,2450000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Exodus,1,19,Exodus 1:19 bible,False,1480000,1480000,True,9,9,True,9,9,,,,
Exodus,1,20,Exodus 1:20 bible,False,2240000,2240000,True,8,8,True,8,8,,,,
Exodus,1,21,Exodus 1:21 bible,False,1610000,1610000,True,9,9,True,9,9,,,,
Exodus,1,22,Exodus 1:22 bible,False,1110000,1110000,True,9,9,True,9,9,,,,
Exodus,2,1,Exodus 2:1 bible,False,3800000,3800000,True,8,8,True,8,8,,,,
Exodus,2,2,Exodus 2:2 bible,False,2540000,2540000,True,8,8,True,8,8,,,,
Exodus,2,3,Exodus 2:3 bible,False,5000000,5000000,True,9,9,True,9,9,,,,
Exodus,2,4,Exodus 2:4 bible,False,3460000,3460000,True,8,8,True,8,8,,,,
Exodus,2,5,Exodus 2:5 bible,False,2600000,2600000,True,9,9,True,9,9,,,,
Exodus,2,6,Exodus 2:6 bible,False,2210000,2210000,True,8,8,True,8,8,,,,
Exodus,2,7,Exodus 2:7 bible,False,1710000,1710000,True,9,9,True,9,9,,,,
Exodus,2,8,Exodus 2:8 bible,False,2300000,2300000,True,9,9,True,9,9,,,,
Exodus,2,9,Exodus 2:9 bible,False,2410000,2410000,True,9,9,True,9,9,,,,
Exodus,2,10,Exodus 2:10 bible,False,2190000,2190000,True,8,8,True,8,8,,,,
Exodus,2,11,Exodus 2:11 bible,False,1850000,1850000,True,9,9,True,9,9,,,,
Exodus,2,12,Exodus 2:12 bible,False,1310000,1310000,True,8,8,True,8,8,,,,
Exodus,2,13,Exodus 2:13 bible,False,1630000,1630000,True,8,8,True,8,8,,,,
Exodus,2,14,Exodus 2:14 bible,False,1750000,1750000,True,9,9,True,9,9,,,,
Exodus,2,15,Exodus 2:15 bible,False,1680000,1680000,True,8,8,True,8,8,,,,
Exodus,2,16,Exodus 2:16 bible,False,1020000,1020000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Exodus,2,17,Exodus 2:17 bible,False,1030000,1030000,True,8,8,True,8,8,,,,
Exodus,2,18,Exodus 2:18 bible,False,872000,872000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Exodus,2,19,Exodus 2:19 bible,False,936000,936000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Exodus,2,20,Exodus 2:20 bible,False,1120000,1120000,True,9,9,True,9,9,,,,
Exodus,2,21,Exodus 2:21 bible,False,841000,841000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Exodus,2,22,Exodus 2:22 bible,False,770000,770000,True,9,9,True,9,9,,,,
Exodus,2,23,Exodus 2:23 bible,False,756000,756000,True,9,9,True,9,9,,,,
Exodus,2,24,Exodus 2:24 bible,False,891000,891000,True,9,9,True,9,9,,,,
Exodus,2,25,Exodus 2:25 bible,False,722000,722000,True,9,9,True,9,9,,,,
Exodus,3,1,Exodus 3:1 bible,False,3630000,3630000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
