book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Ezekiel,1,1,Ezekiel 1:1 bible,False,3010000,3010000,True,7,7,True,7,7,,,,
Ezekiel,1,2,Ezekiel 1:2 bible,False,4540000,4540000,True,7,7,True,7,7,,,,
Ezekiel,1,3,Ezekiel 1:3 bible,False,3670000,3670000,True,8,8,True,8,8,,,,
Ezekiel,1,4,Ezekiel 1:4 bible,False,3040000,3040000,True,8,8,True,8,8,,,,
Ezekiel,1,5,Ezekiel 1:5 bible,True,139,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ezekiel,1,6,Ezekiel 1:6 bible,False,2500000,2500000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ezekiel,1,7,Ezekiel 1:7 bible,False,2320000,2320000,True,8,8,True,8,8,,,,
Ezekiel,1,8,Ezekiel 1:8 bible,False,2310000,2310000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ezekiel,1,9,Ezekiel 1:9 bible,False,2120000,2120000,True,8,8,True,8,8,,,,
Ezekiel,1,10,Ezekiel 1:10 bible,False,1610000,1610000,True,8,8,True,8,8,,,,
Ezekiel,1,11,Ezekiel 1:11 bible,False,1440000,1440000,True,8,8,True,8,8,,,,
Ezekiel,1,12,Ezekiel 1:12 bible,False,1320000,1320000,True,8,8,True,8,8,,,,
Ezekiel,1,13,Ezekiel 1:13 bible,False,1200000,1200000,True,8,8,True,8,8,,,,
Ezekiel,1,14,Ezekiel 1:14 bible,False,1340000,1340000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ezekiel,1,15,Ezekiel 1:15 bible,False,1140000,1140000,True,8,8,True,8,8,,,,
Ezekiel,1,16,Ezekiel 1:16 bible,False,1050000,1050000,True,8,8,True,8,8,,,,
Ezekiel,1,17,Ezekiel 1:17 bible,False,1040000,1040000,True,9,9,True,9,9,,,,
Ezekiel,1,18,Ezekiel 1:18 bible,False,1120000,1120000,True,8,8,True,8,8,,,,
