book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Ezra,1,1,Ezra 1:1 bible,False,1670000,1670000,True,7,7,True,7,7,,,,
Ezra,1,2,Ezra 1:2 bible,False,3570000,3570000,True,7,7,True,7,7,,,,
Ezra,1,3,Ezra 1:3 bible,False,1690000,1690000,True,8,8,True,8,8,,,,
Ezra,1,4,Ezra 1:4 bible,False,1250000,1250000,True,8,8,True,8,8,,,,
Ezra,1,5,Ezra 1:5 bible,True,137,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ezra,1,6,Ezra 1:6 bible,False,973000,973000,True,8,8,True,8,8,,,,
Ezra,1,7,Ezra 1:7 bible,False,872000,872000,True,8,8,True,8,8,,,,
Ezra,1,8,Ezra 1:8 bible,False,908000,908000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ezra,1,9,Ezra 1:9 bible,False,817000,817000,True,9,9,True,9,9,,,,
Ezra,1,10,Ezra 1:10 bible,False,748000,748000,True,8,8,True,8,8,,,,
Ezra,1,11,Ezra 1:11 bible,False,719000,719000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ezra,2,1,Ezra 2:1 bible,False,997000,997000,True,8,8,True,8,8,,,,
Ezra,2,2,Ezra 2:2 bible,False,685000,685000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ezra,2,3,Ezra 2:3 bible,False,1770000,1770000,True,8,8,True,8,8,,,,
Ezra,2,4,Ezra 2:4 bible,False,816000,816000,True,8,8,True,8,8,,,,
Ezra,2,5,Ezra 2:5 bible,False,670000,670000,True,8,8,True,8,8,,,,
Ezra,2,6,Ezra 2:6 bible,False,624000,624000,True,9,9,True,9,9,,,,
Ezra,2,7,Ezra 2:7 bible,False,580000,580000,True,8,8,True,8,8,,,,
Ezra,2,8,Ezra 2:8 bible,False,619000,619000,True,8,8,True,8,8,,,,
Ezra,2,9,Ezra 2:9 bible,False,619000,619000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ezra,2,10,Ezra 2:10 bible,False,589000,589000,True,8,8,True,8,8,,,,
Ezra,2,11,Ezra 2:11 bible,False,502000,502000,True,8,8,True,8,8,,,,
Ezra,2,12,Ezra 2:12 bible,False,455000,455000,True,8,8,True,8,8,,,,
Ezra,2,13,Ezra 2:13 bible,True,125,479000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Ezra,2,14,Ezra 2:14 bible,False,476000,476000,True,9,9,True,9,9,,,,
Ezra,2,15,Ezra 2:15 bible,False,501000,501000,True,8,8,True,8,8,,,,
Ezra,2,16,Ezra 2:16 bible,False,389000,389000,True,8,8,True,8,8,,,,
Ezra,2,17,Ezra 2:17 bible,False,865000,865000,True,8,8,True,8,8,,,,
Ezra,2,18,Ezra 2:18 bible,False,388000,388000,True,8,8,True,8,8,,,,
Ezra,2,19,Ezra 2:19 bible,False,388000,388000,True,9,9,True,9,9,,,,
Ezra,2,20,Ezra 2:20 bible,False,672000,672000,True,8,8,True,8,8,,,,
Ezra,2,21,Ezra 2:21 bible,False,387000,387000,True,8,8,True,8,8,,,,
Ezra,2,22,Ezra 2:22 bible,False,540000,540000,True,8,8,True,8,8,,,,
