book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Galatians,1,1,Galatians 1:1 bible,False,3410000,3410000,True,8,8,True,8,8,,,,
Galatians,1,2,Galatians 1:2 bible,False,4940000,4940000,True,9,9,True,9,9,,,,
Galatians,1,3,Galatians 1:3 bible,False,4090000,4090000,True,8,8,True,8,8,,,,
Galatians,1,4,Galatians 1:4 bible,False,3550000,3550000,True,9,9,True,9,9,,,,
Galatians,1,5,Galatians 1:5 bible,False,3510000,3510000,True,8,8,True,8,8,,,,
Galatians,1,6,Galatians 1:6 bible,False,3240000,3240000,True,9,9,True,9,9,,,,
Galatians,1,7,Galatians 1:7 bible,False,3100000,3100000,True,8,8,True,8,8,,,,
Galatians,1,8,Galatians 1:8 bible,False,3470000,3470000,True,8,8,True,8,8,,,,
Galatians,1,9,Galatians 1:9 bible,False,3100000,3100000,True,8,8,True,8,8,,,,
Galatians,1,10,Galatians 1:10 bible,False,2480000,2480000,True,8,8,True,8,8,,,,
Galatians,1,11,Galatians 1:11 bible,False,2200000,2200000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Galatians,1,12,Galatians 1:12 bible,False,2320000,2320000,True,8,8,True,8,8,,,,
Galatians,1,13,Galatians 1:13 bible,False,2000000,2000000,True,8,8,True,8,8,,,,
Galatians,1,14,Galatians 1:14 bible,False,1880000,1880000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Galatians,1,15,Galatians 1:15 bible,False,1610000,1610000,True,8,8,True,8,8,,,,
Galatians,1,16,Galatians 1:16 bible,False,1690000,1690000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Galatians,1,17,Galatians 1:17 bible,False,1710000,1710000,True,8,8,True,8,8,,,,
Galatians,1,18,Galatians 1:18 bible,False,1880000,1880000,True,8,8,True,8,8,,,,
Galatians,1,19,Galatians 1:19 bible,False,1160000,1160000,True,8,8,True,8,8,,,,
Galatians,1,20,Galatians 1:20 bible,False,1410000,1410000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Galatians,1,21,Galatians 1:21 bible,True,133,1290000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Galatians,1,22,Galatians 1:22 bible,False,1060000,1060000,True,9,9,True,9,9,,,,
Galatians,1,23,Galatians 1:23 bible,False,850000,850000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Galatians,1,24,Galatians 1:24 bible,False,716000,716000,True,9,9,True,9,9,,,,
Galatians,2,1,Galatians 2:1 bible,True,138,3110000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Galatians,2,2,Galatians 2:2 bible,False,1790000,1790000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Galatians,2,3,Galatians 2:3 bible,False,3720000,3720000,True,8,8,True,8,8,,,,
Galatians,2,4,Galatians 2:4 bible,False,2760000,2760000,True,8,8,True,8,8,,,,
