book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Genesis,1,1,Genesis 1:1 bible,False,7000000,7000000,True,8,8,True,8,8,,,,
Genesis,1,2,Genesis 1:2 bible,False,12100000,12100000,True,8,8,True,8,8,,,,
Genesis,1,3,Genesis 1:3 bible,False,7930000,7930000,True,8,8,True,8,8,,,,
Genesis,1,4,Genesis 1:4 bible,False,6050000,6050000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Genesis,1,5,Genesis 1:5 bible,False,5740000,5740000,True,7,7,True,7,7,,,,
Genesis,1,6,Genesis 1:6 bible,False,5200000,5200000,True,8,8,True,8,8,,,,
Genesis,1,7,Genesis 1:7 bible,False,5030000,5030000,True,9,9,True,9,9,,,,
Genesis,1,8,Genesis 1:8 bible,False,5190000,5190000,True,9,9,True,9,9,,,,
Genesis,1,9,Genesis 1:9 bible,False,4970000,4970000,True,9,9,True,9,9,,,,
Genesis,1,10,Genesis 1:10 bible,False,4320000,4320000,True,8,8,True,8,8,,,,
Genesis,1,11,Genesis 1:11 bible,False,4490000,4490000,True,8,8,True,8,8,,,,
Genesis,1,12,Genesis 1:12 bible,False,4280000,4280000,True,9,9,True,9,9,,,,
Genesis,1,13,Genesis 1:13 bible,False,3670000,3670000,True,8,8,True,8,8,,,,
Genesis,1,14,Genesis 1:14 bible,False,3980000,3980000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Genesis,1,15,Genesis 1:15 bible,False,3550000,3550000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Genesis,1,16,Genesis 1:16 bible,False,3510000,3510000,True,9,9,True,9,9,,,,
Genesis,1,17,Genesis 1:17 bible,False,3350000,3350000,True,8,8,True,8,8,,,,
Genesis,1,18,Genesis 1:18 bible,False,3590000,3590000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Genesis,1,19,Genesis 1:19 bible,False,2670000,2670000,True,9,9,True,9,9,,,,
Genesis,1,20,Genesis 1:20 bible,True,132,3510000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Genesis,1,21,Genesis 1:21 bible,False,2830000,2830000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Genesis,1,22,Genesis 1:22 bible,False,2140000,2140000,True,8,8,True,8,8,,,,
Genesis,1,23,Genesis 1:23 bible,False,1430000,1430000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Genesis,1,24,Genesis 1:24 bible,False,1320000,1320000,True,9,9,True,9,9,,,,
Genesis,1,25,Genesis 1:25 bible,False,1060000,1060000,True,9,9,True,9,9,,,,
Genesis,1,26,Genesis 1:26 bible,False,3200000,3200000,True,8,8,True,8,8,,,,
Genesis,1,27,Genesis 1:27 bible,False,2700000,2700000,True,7,7,True,7,7,,,,
Genesis,1,28,Genesis 1:28 bible,False,1560000,1560000,True,8,8,True,8,8,,,,
Genesis,1,29,Genesis 1:29 bible,False,1330000,1330000,True,9,9,True,9,9,,,,
Genesis,1,30,Genesis 1:30 bible,True,134,1020000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Genesis,1,31,Genesis 1:31 bible,False,990000,990000,True,8,8,True,8,8,,,,
Genesis,2,1,Genesis 2:1 bible,False,5140000,5140000,True,9,8,True,9,8,,,,
Genesis,2,2,Genesis 2:2 bible,False,3640000,3640000,True,8,8,True,8,8,,,,
Genesis,2,3,Genesis 2:3 bible,True,133,8000000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Genesis,2,4,Genesis 2:4 bible,False,4930000,4930000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Genesis,2,5,Genesis 2:5 bible,False,3840000,3840000,True,9,9,True,9,9,,,,
Genesis,2,6,Genesis 2:6 bible,False,3090000,3090000,True,9,9,True,9,9,,,,
Genesis,2,7,Genesis 2:7 bible,False,3210000,3210000,True,7,7,True,7,7,,,,
Genesis,2,8,Genesis 2:8 bible,False,3610000,3610000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Genesis,2,9,Genesis 2:9 bible,False,3420000,3420000,True,8,8,True,8,8,,,,
Genesis,2,10,Genesis 2:10 bible,False,3110000,3110000,True,8,8,True,8,8,,,,
Genesis,2,11,Genesis 2:11 bible,False,2760000,2760000,True,9,9,True,9,9,,,,
Genesis,2,12,Genesis 2:12 bible,False,2340000,2340000,True,8,8,True,8,8,,,,
Genesis,2,13,Genesis 2:13 bible,False,2590000,2590000,True,9,9,True,9,9,,,,
Genesis,2,14,Genesis 2:14 bible,False,2740000,2740000,True,9,9,True,9,9,,,,
Genesis,2,15,Genesis 2:15 bible,False,2750000,2750000,True,9,9,True,9,9,,,,
Genesis,2,16,Genesis 2:16 bible,False,1960000,1960000,True,8,8,True,8,8,,,,
Genesis,2,17,Genesis 2:17 bible,False,1720000,1720000,True,9,9,True,9,9,,,,
Genesis,2,18,Genesis 2:18 bible,False,1710000,1710000,True,8,8,True,8,8,,,,
Genesis,2,19,Genesis 2:19 bible,True,133,1380000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Genesis,2,20,Genesis 2:20 bible,False,2010000,2010000,True,9,9,True,9,9,,,,
Genesis,2,21,Genesis 2:21 bible,False,1180000,1180000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Genesis,2,22,Genesis 2:22 bible,False,1080000,1080000,True,8,8,True,8,8,,,,
Genesis,2,23,Genesis 2:23 bible,False,974000,974000,True,8,8,True,8,8,,,,
Genesis,2,24,Genesis 2:24 bible,False,1720000,1720000,True,7,7,True,7,7,,,,
