book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Habakkuk,1,1,Habakkuk 1:1 bible,False,664000,664000,True,8,8,True,8,8,,,,
Habakkuk,1,2,Habakkuk 1:2 bible,False,1250000,1250000,True,7,7,True,7,7,,,,
Habakkuk,1,3,Habakkuk 1:3 bible,False,838000,838000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Habakkuk,1,4,Habakkuk 1:4 bible,False,690000,690000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Habakkuk,1,5,Habakkuk 1:5 bible,False,705000,705000,True,8,8,True,8,8,,,,
Habakkuk,1,6,Habakkuk 1:6 bible,False,663000,663000,True,9,9,True,9,9,,,,
Habakkuk,1,7,Habakkuk 1:7 bible,False,634000,634000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Habakkuk,1,8,Habakkuk 1:8 bible,False,643000,643000,True,9,9,True,9,9,,,,
Habakkuk,1,9,Habakkuk 1:9 bible,False,614000,614000,True,9,9,True,9,9,,,,
Habakkuk,1,10,Habakkuk 1:10 bible,False,467000,467000,True,8,8,True,8,8,,,,
Habakkuk,1,11,Habakkuk 1:11 bible,False,1050000,1050000,True,8,8,True,8,8,,,,
Habakkuk,1,12,Habakkuk 1:12 bible,False,481000,481000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Habakkuk,1,13,Habakkuk 1:13 bible,False,425000,425000,True,8,8,True,8,8,,,,
Habakkuk,1,14,Habakkuk 1:14 bible,False,419000,419000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Habakkuk,1,15,Habakkuk 1:15 bible,False,395000,395000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Habakkuk,1,16,Habakkuk 1:16 bible,False,396000,396000,True,9,9,True,9,9,,,,
Habakkuk,1,17,Habakkuk 1:17 bible,False,430000,430000,True,9,9,True,9,9,,,,
Habakkuk,2,1,Habakkuk 2:1 bible,False,658000,658000,True,8,8,True,8,8,,,,
Habakkuk,2,2,Habakkuk 2:2 bible,False,624000,624000,True,6,6,True,6,6,,,,
Habakkuk,2,3,Habakkuk 2:3 bible,False,1030000,1030000,True,8,8,True,8,8,,,,
Habakkuk,2,4,Habakkuk 2:4 bible,False,640000,640000,True,9,9,True,9,9,,,,
Habakkuk,2,5,Habakkuk 2:5 bible,False,415000,415000,True,8,8,True,8,8,,,,
Habakkuk,2,6,Habakkuk 2:6 bible,False,394000,394000,True,9,9,True,9,9,,,,
Habakkuk,2,7,Habakkuk 2:7 bible,False,389000,389000,True,9,9,True,9,9,,,,
Habakkuk,2,8,Habakkuk 2:8 bible,False,414000,414000,True,9,9,True,9,9,,,,
Habakkuk,2,9,Habakkuk 2:9 bible,False,424000,424000,True,9,9,True,9,9,,,,
