book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Haggai,1,1,Haggai 1:1 bible,False,503000,503000,True,8,8,True,8,8,,,,
Haggai,1,2,Haggai 1:2 bible,True,134,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Haggai,1,3,Haggai 1:3 bible,False,589000,589000,True,8,8,True,8,8,,,,
Haggai,1,4,Haggai 1:4 bible,False,452000,452000,True,9,9,True,9,9,,,,
Haggai,1,5,Haggai 1:5 bible,False,472000,472000,True,8,8,True,8,8,,,,
Haggai,1,6,Haggai 1:6 bible,False,430000,430000,True,7,7,True,7,7,,,,
Haggai,1,7,Haggai 1:7 bible,False,404000,404000,True,8,8,True,8,8,,,,
Haggai,1,8,Haggai 1:8 bible,False,427000,427000,True,8,8,True,8,8,,,,
Haggai,1,9,Haggai 1:9 bible,True,131,395000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Haggai,1,10,Haggai 1:10 bible,False,388000,388000,True,9,9,True,9,9,,,,
Haggai,1,11,Haggai 1:11 bible,False,388000,388000,True,8,8,True,8,8,,,,
Haggai,1,12,Haggai 1:12 bible,False,388000,388000,True,8,8,True,8,8,,,,
Haggai,1,13,Haggai 1:13 bible,False,387000,387000,True,8,8,True,8,8,,,,
Haggai,1,14,Haggai 1:14 bible,False,387000,387000,True,9,9,True,9,9,,,,
Haggai,1,15,Haggai 1:15 bible,False,386000,386000,True,8,8,True,8,8,,,,
Haggai,2,1,Haggai 2:1 bible,False,409000,409000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Haggai,2,2,Haggai 2:2 bible,False,387000,387000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Haggai,2,3,Haggai 2:3 bible,False,571000,571000,True,8,8,True,8,8,,,,
Haggai,2,4,Haggai 2:4 bible,False,389000,389000,True,9,9,True,9,9,,,,
Haggai,2,5,Haggai 2:5 bible,False,387000,387000,True,8,8,True,8,8,,,,
Haggai,2,6,Haggai 2:6 bible,False,387000,387000,True,8,8,True,8,8,,,,
Haggai,2,7,Haggai 2:7 bible,False,386000,386000,True,8,8,True,8,8,,,,
Haggai,2,8,Haggai 2:8 bible,False,387000,387000,True,8,8,True,8,8,,,,
Haggai,2,9,Haggai 2:9 bible,False,404000,404000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Haggai,2,10,Haggai 2:10 bible,False,386000,386000,True,8,8,True,8,8,,,,
Haggai,2,11,Haggai 2:11 bible,False,384000,384000,True,9,9,True,9,9,,,,
Haggai,2,12,Haggai 2:12 bible,False,330000,330000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Haggai,2,13,Haggai 2:13 bible,False,376000,376000,True,9,9,True,9,9,,,,
Haggai,2,14,Haggai 2:14 bible,False,386000,386000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Haggai,2,15,Haggai 2:15 bible,False,384000,384000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Haggai,2,16,Haggai 2:16 bible,False,266000,266000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Haggai,2,17,Haggai 2:17 bible,False,299000,299000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Haggai,2,18,Haggai 2:18 bible,False,264000,264000,True,9,9,True,9,9,,,,
Haggai,2,19,Haggai 2:19 bible,False,311000,311000,True,8,8,True,8,8,,,,
Haggai,2,20,Haggai 2:20 bible,False,337000,337000,True,9,9,True,9,9,,,,
Haggai,2,21,Haggai 2:21 bible,False,251000,251000,True,9,9,True,9,9,,,,
Haggai,2,22,Haggai 2:22 bible,False,201000,201000,True,9,9,True,9,9,,,,
Haggai,2,23,Haggai 2:23 bible,True,132,221000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
