book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Hebrews,1,1,Hebrews 1:1 bible,False,4590000,4590000,True,8,8,True,8,8,,,,
Hebrews,1,2,Hebrews 1:2 bible,False,7440000,7440000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hebrews,1,3,Hebrews 1:3 bible,False,5610000,5610000,True,8,8,True,8,8,,,,
Hebrews,1,4,Hebrews 1:4 bible,False,4470000,4470000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hebrews,1,5,Hebrews 1:5 bible,True,134,4450000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hebrews,1,6,Hebrews 1:6 bible,False,4170000,4170000,True,9,9,True,9,9,,,,
Hebrews,1,7,Hebrews 1:7 bible,False,4060000,4060000,True,8,8,True,8,8,,,,
Hebrews,1,8,Hebrews 1:8 bible,False,4310000,4310000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hebrews,1,9,Hebrews 1:9 bible,False,4000000,4000000,True,9,9,True,9,9,,,,
Hebrews,1,10,Hebrews 1:10 bible,True,141,3410000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hebrews,1,11,Hebrews 1:11 bible,False,3390000,3390000,True,8,8,True,8,8,,,,
Hebrews,1,12,Hebrews 1:12 bible,False,3590000,3590000,True,8,8,True,8,8,,,,
Hebrews,1,13,Hebrews 1:13 bible,False,3070000,3070000,True,8,8,True,8,8,,,,
Hebrews,1,14,Hebrews 1:14 bible,False,3310000,3310000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hebrews,2,1,Hebrews 2:1 bible,False,4050000,4050000,True,7,7,True,7,7,,,,
Hebrews,2,2,Hebrews 2:2 bible,False,2860000,2860000,True,8,8,True,8,8,,,,
Hebrews,2,3,Hebrews 2:3 bible,False,4910000,4910000,True,9,9,True,9,9,,,,
Hebrews,2,4,Hebrews 2:4 bible,False,3820000,3820000,True,8,8,True,8,8,,,,
Hebrews,2,5,Hebrews 2:5 bible,False,3160000,3160000,True,8,8,True,8,8,,,,
Hebrews,2,6,Hebrews 2:6 bible,False,2500000,2500000,True,7,7,True,7,7,,,,
Hebrews,2,7,Hebrews 2:7 bible,False,2270000,2270000,True,8,8,True,8,8,,,,
Hebrews,2,8,Hebrews 2:8 bible,False,3160000,3160000,True,8,8,True,8,8,,,,
Hebrews,2,9,Hebrews 2:9 bible,False,2980000,2980000,True,7,7,True,7,7,,,,
Hebrews,2,10,Hebrews 2:10 bible,False,2640000,2640000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hebrews,2,11,Hebrews 2:11 bible,False,2290000,2290000,True,8,8,True,8,8,,,,
Hebrews,2,12,Hebrews 2:12 bible,False,1880000,1880000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hebrews,2,13,Hebrews 2:13 bible,False,2370000,2370000,True,9,9,True,9,9,,,,
Hebrews,2,14,Hebrews 2:14 bible,False,2460000,2460000,True,7,7,True,7,7,,,,
Hebrews,2,15,Hebrews 2:15 bible,False,2380000,2380000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hebrews,2,16,Hebrews 2:16 bible,False,1360000,1360000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hebrews,2,17,Hebrews 2:17 bible,False,1340000,1340000,True,8,8,True,8,8,,,,
Hebrews,2,18,Hebrews 2:18 bible,False,1080000,1080000,True,7,7,True,7,7,,,,
Hebrews,3,1,Hebrews 3:1 bible,False,4010000,4010000,True,7,7,True,7,7,,,,
Hebrews,3,2,Hebrews 3:2 bible,False,2380000,2380000,True,8,8,True,8,8,,,,
Hebrews,3,3,Hebrews 3:3 bible,False,2770000,2770000,True,7,7,True,7,7,,,,
Hebrews,3,4,Hebrews 3:4 bible,True,136,4960000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hebrews,3,5,Hebrews 3:5 bible,False,4330000,4330000,True,8,8,True,8,8,,,,
Hebrews,3,6,Hebrews 3:6 bible,True,136,2900000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hebrews,3,7,Hebrews 3:7 bible,True,142,2450000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hebrews,3,8,Hebrews 3:8 bible,False,2830000,2830000,True,8,8,True,8,8,,,,
Hebrews,3,9,Hebrews 3:9 bible,False,2360000,2360000,True,8,8,True,8,8,,,,
Hebrews,3,10,Hebrews 3:10 bible,True,141,2460000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hebrews,3,11,Hebrews 3:11 bible,False,1950000,1950000,True,9,9,True,9,9,,,,
Hebrews,3,12,Hebrews 3:12 bible,False,2160000,2160000,True,9,9,True,9,9,,,,
Hebrews,3,13,Hebrews 3:13 bible,False,2470000,2470000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hebrews,3,14,Hebrews 3:14 bible,False,2280000,2280000,True,8,8,True,8,8,,,,
Hebrews,3,15,Hebrews 3:15 bible,False,2650000,2650000,True,8,8,True,8,8,,,,
Hebrews,3,16,Hebrews 3:16 bible,False,4390000,4390000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hebrews,3,17,Hebrews 3:17 bible,True,136,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hebrews,3,18,Hebrews 3:18 bible,False,2250000,2250000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hebrews,3,19,Hebrews 3:19 bible,False,1430000,1430000,True,9,9,True,9,9,,,,
Hebrews,4,1,Hebrews 4:1 bible,False,3520000,3520000,True,8,8,True,8,8,,,,
Hebrews,4,2,Hebrews 4:2 bible,False,2290000,2290000,True,9,9,True,9,9,,,,
Hebrews,4,3,Hebrews 4:3 bible,False,2090000,2090000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hebrews,4,4,Hebrews 4:4 bible,False,2940000,2940000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hebrews,4,5,Hebrews 4:5 bible,False,4290000,4290000,True,7,7,True,7,7,,,,
Hebrews,4,6,Hebrews 4:6 bible,False,4090000,4090000,True,8,8,True,8,8,,,,
Hebrews,4,7,Hebrews 4:7 bible,False,3380000,3380000,True,8,8,True,8,8,,,,
Hebrews,4,8,Hebrews 4:8 bible,False,3250000,3250000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
