book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Hosea,1,1,Hosea 1:1 bible,False,1140000,1140000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hosea,1,2,Hosea 1:2 bible,False,3080000,3080000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hosea,1,3,Hosea 1:3 bible,False,1610000,1610000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hosea,1,4,Hosea 1:4 bible,False,1160000,1160000,True,8,8,True,8,8,,,,
Hosea,1,5,Hosea 1:5 bible,False,1110000,1110000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hosea,1,6,Hosea 1:6 bible,False,986000,986000,True,8,8,True,8,8,,,,
Hosea,1,7,Hosea 1:7 bible,False,933000,933000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hosea,1,8,Hosea 1:8 bible,False,948000,948000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hosea,1,9,Hosea 1:9 bible,False,929000,929000,True,9,9,True,9,9,,,,
Hosea,1,10,Hosea 1:10 bible,False,800000,800000,True,8,8,True,8,8,,,,
Hosea,1,11,Hosea 1:11 bible,False,769000,769000,True,8,8,True,8,8,,,,
Hosea,2,1,Hosea 2:1 bible,True,0,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hosea,2,2,Hosea 2:2 bible,True,0,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hosea,2,3,Hosea 2:3 bible,False,1480000,1480000,True,8,8,True,8,8,,,,
Hosea,2,4,Hosea 2:4 bible,False,840000,840000,True,8,8,True,8,8,,,,
Hosea,2,5,Hosea 2:5 bible,True,0,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hosea,2,6,Hosea 2:6 bible,False,666000,666000,True,8,8,True,8,8,,,,
Hosea,2,7,Hosea 2:7 bible,False,629000,629000,True,9,9,True,9,9,,,,
Hosea,2,8,Hosea 2:8 bible,False,679000,679000,True,8,8,True,8,8,,,,
Hosea,2,9,Hosea 2:9 bible,False,688000,688000,True,8,8,True,8,8,,,,
Hosea,2,10,Hosea 2:10 bible,False,664000,664000,True,9,9,True,9,9,,,,
Hosea,2,11,Hosea 2:11 bible,False,636000,636000,True,9,9,True,9,9,,,,
Hosea,2,12,Hosea 2:12 bible,False,574000,574000,True,9,9,True,9,9,,,,
Hosea,2,13,Hosea 2:13 bible,False,635000,635000,True,9,9,True,9,9,,,,
Hosea,2,14,Hosea 2:14 bible,False,648000,648000,True,9,9,True,9,9,,,,
Hosea,2,15,Hosea 2:15 bible,False,655000,655000,True,9,9,True,9,9,,,,
Hosea,2,16,Hosea 2:16 bible,True,0,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hosea,2,17,Hosea 2:17 bible,True,0,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hosea,2,18,Hosea 2:18 bible,True,0,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hosea,2,19,Hosea 2:19 bible,True,0,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hosea,2,20,Hosea 2:20 bible,False,452000,452000,True,9,9,True,9,9,,,,
Hosea,2,21,Hosea 2:21 bible,False,393000,393000,True,8,8,True,8,8,,,,
Hosea,2,22,Hosea 2:22 bible,False,389000,389000,True,9,9,True,9,9,,,,
Hosea,2,23,Hosea 2:23 bible,False,389000,389000,True,9,9,True,9,9,,,,
Hosea,3,1,Hosea 3:1 bible,False,966000,966000,True,8,8,True,8,8,,,,
Hosea,3,2,Hosea 3:2 bible,False,649000,649000,True,8,8,True,8,8,,,,
Hosea,3,3,Hosea 3:3 bible,False,655000,655000,True,8,8,True,8,8,,,,
Hosea,3,4,Hosea 3:4 bible,False,1400000,1400000,True,8,8,True,8,8,,,,
Hosea,3,5,Hosea 3:5 bible,False,949000,949000,True,9,9,True,9,9,,,,
Hosea,4,1,Hosea 4:1 bible,False,821000,821000,True,8,8,True,8,8,,,,
Hosea,4,2,Hosea 4:2 bible,False,630000,630000,True,8,8,True,8,8,,,,
Hosea,4,3,Hosea 4:3 bible,True,0,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hosea,4,4,Hosea 4:4 bible,False,673000,673000,True,9,9,True,9,9,,,,
Hosea,4,5,Hosea 4:5 bible,False,1210000,1210000,True,8,8,True,8,8,,,,
Hosea,4,6,Hosea 4:6 bible,False,1130000,1130000,True,6,6,True,6,6,,,,
Hosea,4,7,Hosea 4:7 bible,False,763000,763000,True,8,8,True,8,8,,,,
Hosea,4,8,Hosea 4:8 bible,False,706000,706000,True,9,9,True,9,9,,,,
Hosea,4,9,Hosea 4:9 bible,False,552000,552000,True,8,8,True,8,8,,,,
Hosea,4,10,Hosea 4:10 bible,False,556000,556000,True,9,9,True,9,9,,,,
Hosea,4,11,Hosea 4:11 bible,False,513000,513000,True,9,9,True,9,9,,,,
Hosea,4,12,Hosea 4:12 bible,False,632000,632000,True,9,9,True,9,9,,,,
Hosea,4,13,Hosea 4:13 bible,False,622000,622000,True,9,9,True,9,9,,,,
Hosea,4,14,Hosea 4:14 bible,False,424000,424000,True,8,8,True,8,8,,,,
Hosea,4,15,Hosea 4:15 bible,False,399000,399000,True,8,8,True,8,8,,,,
Hosea,4,16,Hosea 4:16 bible,False,571000,571000,True,9,9,True,9,9,,,,
Hosea,4,17,Hosea 4:17 bible,False,424000,424000,True,8,8,True,8,8,,,,
Hosea,4,18,Hosea 4:18 bible,False,408000,408000,True,9,9,True,9,9,,,,
Hosea,4,19,Hosea 4:19 bible,True,0,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hosea,5,1,Hosea 5:1 bible,False,739000,739000,True,9,9,True,9,9,,,,
Hosea,5,2,Hosea 5:2 bible,True,0,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hosea,5,3,Hosea 5:3 bible,False,436000,436000,True,9,9,True,9,9,,,,
Hosea,5,4,Hosea 5:4 bible,False,418000,418000,True,9,9,True,9,9,,,,
Hosea,5,5,Hosea 5:5 bible,True,0,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hosea,5,6,Hosea 5:6 bible,True,0,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hosea,5,7,Hosea 5:7 bible,True,0,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hosea,5,8,Hosea 5:8 bible,True,0,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hosea,5,9,Hosea 5:9 bible,True,0,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hosea,5,10,Hosea 5:10 bible,True,0,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hosea,5,11,Hosea 5:11 bible,True,0,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hosea,5,12,Hosea 5:12 bible,True,0,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hosea,5,13,Hosea 5:13 bible,True,0,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hosea,5,14,Hosea 5:14 bible,True,0,502000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hosea,5,15,Hosea 5:15 bible,False,391000,391000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hosea,6,1,Hosea 6:1 bible,True,0,736000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hosea,6,2,Hosea 6:2 bible,False,543000,543000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hosea,6,3,Hosea 6:3 bible,True,132,467000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hosea,6,4,Hosea 6:4 bible,False,447000,447000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hosea,6,5,Hosea 6:5 bible,True,0,410000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hosea,6,6,Hosea 6:6 bible,True,129,605000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hosea,6,7,Hosea 6:7 bible,True,138,1150000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hosea,6,8,Hosea 6:8 bible,False,740000,740000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hosea,6,9,Hosea 6:9 bible,False,705000,705000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hosea,6,10,Hosea 6:10 bible,False,640000,640000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hosea,6,11,Hosea 6:11 bible,True,0,472000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hosea,7,1,Hosea 7:1 bible,False,646000,646000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hosea,7,2,Hosea 7:2 bible,True,135,390000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hosea,7,3,Hosea 7:3 bible,True,129,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hosea,7,4,Hosea 7:4 bible,False,386000,386000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hosea,7,5,Hosea 7:5 bible,False,386000,386000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hosea,7,6,Hosea 7:6 bible,False,388000,388000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hosea,7,7,Hosea 7:7 bible,False,406000,406000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hosea,7,8,Hosea 7:8 bible,False,1050000,1050000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Hosea,7,9,Hosea 7:9 bible,False,681000,681000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
