book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Isaiah,1,1,Isaiah 1:1 bible,False,6440000,6440000,True,9,9,True,9,9,,,,
Isaiah,1,2,Isaiah 1:2 bible,False,11200000,11200000,True,8,8,True,8,8,,,,
Isaiah,1,3,Isaiah 1:3 bible,True,40,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Isaiah,1,4,Isaiah 1:4 bible,False,6080000,6080000,True,8,8,True,8,8,,,,
Isaiah,1,5,Isaiah 1:5 bible,False,5840000,5840000,True,8,8,True,8,8,,,,
Isaiah,1,6,Isaiah 1:6 bible,False,5410000,5410000,True,8,8,True,8,8,,,,
Isaiah,1,7,Isaiah 1:7 bible,True,40,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Isaiah,1,8,Isaiah 1:8 bible,False,5160000,5160000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Isaiah,1,9,Isaiah 1:9 bible,False,5110000,5110000,True,8,8,True,8,8,,,,
Isaiah,1,10,Isaiah 1:10 bible,False,4130000,4130000,True,8,8,True,8,8,,,,
Isaiah,1,11,Isaiah 1:11 bible,True,20,3850000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Isaiah,1,12,Isaiah 1:12 bible,False,4050000,4050000,True,9,8,True,9,8,,,,
Isaiah,1,13,Isaiah 1:13 bible,True,0,3340000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Isaiah,1,14,Isaiah 1:14 bible,True,42,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Isaiah,1,15,Isaiah 1:15 bible,False,3430000,3430000,True,8,8,True,8,8,,,,
Isaiah,1,16,Isaiah 1:16 bible,False,3470000,3470000,True,9,9,True,9,9,,,,
Isaiah,1,17,Isaiah 1:17 bible,True,0,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Isaiah,1,18,Isaiah 1:18 bible,True,0,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Isaiah,1,19,Isaiah 1:19 bible,False,2530000,2530000,True,7,7,True,7,7,,,,
Isaiah,1,20,Isaiah 1:20 bible,True,0,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Isaiah,1,21,Isaiah 1:21 bible,False,2740000,2740000,True,9,9,True,9,9,,,,
Isaiah,1,22,Isaiah 1:22 bible,False,1810000,1810000,True,9,9,True,9,9,,,,
Isaiah,1,23,Isaiah 1:23 bible,False,1470000,1470000,True,8,8,True,8,8,,,,
Isaiah,1,24,Isaiah 1:24 bible,False,1130000,1130000,True,9,9,True,9,9,,,,
Isaiah,1,25,Isaiah 1:25 bible,False,945000,945000,True,9,9,True,9,9,,,,
Isaiah,1,26,Isaiah 1:26 bible,False,2060000,2060000,True,9,9,True,9,9,,,,
Isaiah,1,27,Isaiah 1:27 bible,False,1670000,1670000,True,8,8,True,8,8,,,,
Isaiah,1,28,Isaiah 1:28 bible,True,0,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Isaiah,1,29,Isaiah 1:29 bible,False,1220000,1220000,True,9,9,True,9,9,,,,
Isaiah,1,30,Isaiah 1:30 bible,False,1010000,1010000,True,9,9,True,9,9,,,,
Isaiah,1,31,Isaiah 1:31 bible,True,0,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Isaiah,2,1,Isaiah 2:1 bible,True,0,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Isaiah,2,2,Isaiah 2:2 bible,True,0,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Isaiah,2,3,Isaiah 2:3 bible,False,7170000,7170000,True,8,8,True,8,8,,,,
Isaiah,2,4,Isaiah 2:4 bible,True,0,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Isaiah,2,5,Isaiah 2:5 bible,True,0,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Isaiah,2,6,Isaiah 2:6 bible,True,0,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Isaiah,2,7,Isaiah 2:7 bible,True,0,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Isaiah,2,8,Isaiah 2:8 bible,False,3700000,3700000,True,9,9,True,9,9,,,,
Isaiah,2,9,Isaiah 2:9 bible,False,3540000,3540000,True,8,8,True,8,8,,,,
Isaiah,2,10,Isaiah 2:10 bible,False,3310000,3310000,True,8,8,True,8,8,,,,
Isaiah,2,11,Isaiah 2:11 bible,False,2670000,2670000,True,8,8,True,8,8,,,,
Isaiah,2,12,Isaiah 2:12 bible,False,2230000,2230000,True,8,8,True,8,8,,,,
Isaiah,2,13,Isaiah 2:13 bible,True,0,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Isaiah,2,14,Isaiah 2:14 bible,True,0,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
