book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
James,1,1,James 1:1 bible,False,13500000,13500000,True,8,8,True,8,8,,,,
James,1,2,James 1:2 bible,False,28400000,28400000,True,8,8,True,8,8,,,,
James,1,3,James 1:3 bible,False,14700000,14700000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
James,1,4,James 1:4 bible,False,12600000,12600000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
James,1,5,James 1:5 bible,True,124,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
James,1,6,James 1:6 bible,False,9550000,9550000,True,8,8,True,8,8,,,,
James,1,7,James 1:7 bible,False,8080000,8080000,True,7,7,True,7,7,,,,
James,1,8,James 1:8 bible,False,8880000,8880000,True,8,8,True,8,8,,,,
James,1,9,James 1:9 bible,False,7570000,7570000,True,8,8,True,8,8,,,,
James,1,10,James 1:10 bible,False,7210000,7210000,True,8,8,True,8,8,,,,
James,1,11,James 1:11 bible,False,6180000,6180000,True,9,9,True,9,9,,,,
James,1,12,James 1:12 bible,False,7120000,7120000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
James,1,13,James 1:13 bible,False,5730000,5730000,True,9,9,True,9,9,,,,
James,1,14,James 1:14 bible,False,5580000,5580000,True,9,9,True,9,9,,,,
James,1,15,James 1:15 bible,True,132,5280000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
James,1,16,James 1:16 bible,False,5230000,5230000,True,8,8,True,8,8,,,,
James,1,17,James 1:17 bible,False,5190000,5190000,True,6,6,True,6,6,,,,
James,1,18,James 1:18 bible,False,5270000,5270000,True,8,8,True,8,8,,,,
James,1,19,James 1:19 bible,False,4570000,4570000,True,9,9,True,9,9,,,,
James,1,20,James 1:20 bible,False,5260000,5260000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
James,1,21,James 1:21 bible,False,4320000,4320000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
James,1,22,James 1:22 bible,False,3980000,3980000,True,7,7,True,7,7,,,,
James,1,23,James 1:23 bible,False,3340000,3340000,True,8,8,True,8,8,,,,
James,1,24,James 1:24 bible,False,3000000,3000000,True,8,8,True,8,8,,,,
James,1,25,James 1:25 bible,False,2780000,2780000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
James,1,26,James 1:26 bible,False,3790000,3790000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
James,1,27,James 1:27 bible,False,3570000,3570000,True,9,9,True,9,9,,,,
James,2,1,James 2:1 bible,False,9600000,9600000,True,8,8,True,8,8,,,,
James,2,2,James 2:2 bible,False,5940000,5940000,True,9,9,True,9,9,,,,
James,2,3,James 2:3 bible,False,19000000,19000000,True,8,8,True,8,8,,,,
James,2,4,James 2:4 bible,False,8220000,8220000,True,8,8,True,8,8,,,,
James,2,5,James 2:5 bible,False,6110000,6110000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
James,2,6,James 2:6 bible,False,5170000,5170000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
James,2,7,James 2:7 bible,False,4980000,4980000,True,9,9,True,9,9,,,,
James,2,8,James 2:8 bible,False,5370000,5370000,True,9,9,True,9,9,,,,
James,2,9,James 2:9 bible,False,5230000,5230000,True,8,8,True,8,8,,,,
James,2,10,James 2:10 bible,True,60,5030000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
James,2,11,James 2:11 bible,False,4390000,4390000,True,8,8,True,8,8,,,,
James,2,12,James 2:12 bible,False,4190000,4190000,True,9,8,True,9,8,,,,
James,2,13,James 2:13 bible,False,4110000,4110000,True,8,8,True,8,8,,,,
James,2,14,James 2:14 bible,False,4360000,4360000,True,7,7,True,7,7,,,,
James,2,15,James 2:15 bible,False,4200000,4200000,True,8,8,True,8,8,,,,
James,2,16,James 2:16 bible,False,3420000,3420000,True,9,9,True,9,9,,,,
James,2,17,James 2:17 bible,False,3430000,3430000,True,7,7,True,7,7,,,,
James,2,18,James 2:18 bible,False,2950000,2950000,True,8,8,True,8,8,,,,
James,2,19,James 2:19 bible,False,3350000,3350000,True,6,6,True,6,6,,,,
James,2,20,James 2:20 bible,False,3680000,3680000,True,8,8,True,8,8,,,,
James,2,21,James 2:21 bible,False,2510000,2510000,True,8,8,True,8,8,,,,
James,2,22,James 2:22 bible,False,2440000,2440000,True,8,8,True,8,8,,,,
James,2,23,James 2:23 bible,False,2320000,2320000,True,9,9,True,9,9,,,,
James,2,24,James 2:24 bible,False,2930000,2930000,True,8,8,True,8,8,,,,
James,2,25,James 2:25 bible,False,2100000,2100000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
James,2,26,James 2:26 bible,False,1410000,1410000,True,7,7,True,7,7,,,,
James,3,1,James 3:1 bible,False,8370000,8370000,True,8,8,True,8,8,,,,
James,3,2,James 3:2 bible,False,5490000,5490000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
James,3,3,James 3:3 bible,False,5620000,5620000,True,8,8,True,8,8,,,,
James,3,4,James 3:4 bible,False,16600000,16600000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
James,3,5,James 3:5 bible,False,9630000,9630000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
James,3,6,James 3:6 bible,False,5710000,5710000,True,8,8,True,8,8,,,,
James,3,7,James 3:7 bible,False,5130000,5130000,True,9,9,True,9,9,,,,
James,3,8,James 3:8 bible,False,5380000,5380000,True,8,8,True,8,8,,,,
James,3,9,James 3:9 bible,False,4620000,4620000,True,8,8,True,8,8,,,,
James,3,10,James 3:10 bible,False,5000000,5000000,True,9,9,True,9,9,,,,
James,3,11,James 3:11 bible,False,4020000,4020000,True,8,8,True,8,8,,,,
James,3,12,James 3:12 bible,False,4150000,4150000,True,8,8,True,8,8,,,,
James,3,13,James 3:13 bible,False,4420000,4420000,True,8,8,True,8,8,,,,
James,3,14,James 3:14 bible,False,4110000,4110000,True,8,8,True,8,8,,,,
James,3,15,James 3:15 bible,False,4820000,4820000,True,8,8,True,8,8,,,,
James,3,16,James 3:16 bible,False,7500000,7500000,True,9,9,True,9,9,,,,
James,3,17,James 3:17 bible,False,4260000,4260000,True,9,9,True,9,9,,,,
James,3,18,James 3:18 bible,False,3840000,3840000,True,8,8,True,8,8,,,,
James,4,1,James 4:1 bible,False,6640000,6640000,True,9,9,True,9,9,,,,
James,4,2,James 4:2 bible,False,5150000,5150000,True,9,9,True,9,9,,,,
James,4,3,James 4:3 bible,False,4910000,4910000,True,8,8,True,8,8,,,,
James,4,4,James 4:4 bible,False,5470000,5470000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
James,4,5,James 4:5 bible,True,134,13500000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
James,4,6,James 4:6 bible,False,8750000,8750000,True,7,7,True,7,7,,,,
James,4,7,James 4:7 bible,False,6500000,6500000,True,6,6,True,6,6,,,,
James,4,8,James 4:8 bible,False,5980000,5980000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
James,4,9,James 4:9 bible,False,4090000,4090000,True,8,8,True,8,8,,,,
James,4,10,James 4:10 bible,False,4600000,4600000,True,8,8,True,8,8,,,,
James,4,11,James 4:11 bible,False,4050000,4050000,True,8,8,True,8,8,,,,
James,4,12,James 4:12 bible,False,4460000,4460000,True,8,8,True,8,8,,,,
James,4,13,James 4:13 bible,False,4350000,4350000,True,7,7,True,7,7,,,,
James,4,14,James 4:14 bible,False,3550000,3550000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
James,4,15,James 4:15 bible,False,3270000,3270000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
James,4,16,James 4:16 bible,False,3770000,3770000,True,8,8,True,8,8,,,,
James,4,17,James 4:17 bible,False,3260000,3260000,True,6,6,True,6,6,,,,
James,5,1,James 5:1 bible,False,6260000,6260000,True,9,9,True,9,9,,,,
James,5,2,James 5:2 bible,False,4720000,4720000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
