book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Jeremiah,1,1,Jeremiah 1:1 bible,True,42,4210000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Jeremiah,1,2,Jeremiah 1:2 bible,False,7010000,7010000,True,8,8,True,8,8,,,,
Jeremiah,1,3,Jeremiah 1:3 bible,False,5130000,5130000,True,8,8,True,8,8,,,,
Jeremiah,1,4,Jeremiah 1:4 bible,False,4180000,4180000,True,7,7,True,7,7,,,,
Jeremiah,1,5,Jeremiah 1:5 bible,True,19,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Jeremiah,1,6,Jeremiah 1:6 bible,True,39,3750000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Jeremiah,1,7,Jeremiah 1:7 bible,True,140,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Jeremiah,1,8,Jeremiah 1:8 bible,True,51,3480000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Jeremiah,1,9,Jeremiah 1:9 bible,False,3560000,3560000,True,8,8,True,8,8,,,,
Jeremiah,1,10,Jeremiah 1:10 bible,False,2760000,2760000,True,8,8,True,8,8,,,,
Jeremiah,1,11,Jeremiah 1:11 bible,False,2650000,2650000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Jeremiah,1,12,Jeremiah 1:12 bible,False,2560000,2560000,True,9,9,True,9,9,,,,
Jeremiah,1,13,Jeremiah 1:13 bible,False,2110000,2110000,True,8,8,True,8,8,,,,
Jeremiah,1,14,Jeremiah 1:14 bible,False,2220000,2220000,True,9,9,True,9,9,,,,
Jeremiah,1,15,Jeremiah 1:15 bible,True,38,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Jeremiah,1,16,Jeremiah 1:16 bible,False,1840000,1840000,True,9,9,True,9,9,,,,
Jeremiah,1,17,Jeremiah 1:17 bible,True,134,1980000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Jeremiah,1,18,Jeremiah 1:18 bible,True,202,1990000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Jeremiah,1,19,Jeremiah 1:19 bible,False,1340000,1340000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Jeremiah,2,1,Jeremiah 2:1 bible,False,3550000,3550000,True,8,8,True,8,8,,,,
Jeremiah,2,2,Jeremiah 2:2 bible,False,2300000,2300000,True,8,8,True,8,8,,,,
Jeremiah,2,3,Jeremiah 2:3 bible,False,4740000,4740000,True,8,8,True,8,8,,,,
Jeremiah,2,4,Jeremiah 2:4 bible,False,3160000,3160000,True,8,8,True,8,8,,,,
Jeremiah,2,5,Jeremiah 2:5 bible,False,2350000,2350000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Jeremiah,2,6,Jeremiah 2:6 bible,False,1650000,1650000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Jeremiah,2,7,Jeremiah 2:7 bible,False,1380000,1380000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Jeremiah,2,8,Jeremiah 2:8 bible,True,41,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Jeremiah,2,9,Jeremiah 2:9 bible,False,2070000,2070000,True,9,9,True,9,9,,,,
Jeremiah,2,10,Jeremiah 2:10 bible,False,1820000,1820000,True,9,9,True,9,9,,,,
Jeremiah,2,11,Jeremiah 2:11 bible,False,1340000,1340000,True,8,8,True,8,8,,,,
Jeremiah,2,12,Jeremiah 2:12 bible,False,1150000,1150000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Jeremiah,2,13,Jeremiah 2:13 bible,False,1460000,1460000,True,9,9,True,9,9,,,,
Jeremiah,2,14,Jeremiah 2:14 bible,True,38,1350000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Jeremiah,2,15,Jeremiah 2:15 bible,False,1330000,1330000,True,9,9,True,9,9,,,,
Jeremiah,2,16,Jeremiah 2:16 bible,False,923000,923000,True,8,8,True,8,8,,,,
Jeremiah,2,17,Jeremiah 2:17 bible,False,955000,955000,True,9,9,True,9,9,,,,
Jeremiah,2,18,Jeremiah 2:18 bible,False,780000,780000,True,9,9,True,9,9,,,,
Jeremiah,2,19,Jeremiah 2:19 bible,False,842000,842000,True,8,8,True,8,8,,,,
Jeremiah,2,20,Jeremiah 2:20 bible,False,1020000,1020000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Jeremiah,2,21,Jeremiah 2:21 bible,False,715000,715000,True,9,9,True,9,9,,,,
Jeremiah,2,22,Jeremiah 2:22 bible,False,670000,670000,True,9,9,True,9,9,,,,
