book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Job,1,1,Job 1:1 bible,False,12900000,12900000,True,8,8,True,8,8,,,,
Job,1,2,Job 1:2 bible,True,22800000,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Job,1,3,Job 1:3 bible,False,13100000,13100000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Job,1,4,Job 1:4 bible,False,10200000,10200000,True,10,10,True,10,10,,,,
Job,1,5,Job 1:5 bible,False,8940000,8940000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Job,1,6,Job 1:6 bible,False,7610000,7610000,True,10,10,True,10,10,,,,
Job,1,7,Job 1:7 bible,False,6890000,6890000,True,10,10,True,10,10,,,,
Job,1,8,Job 1:8 bible,False,7110000,7110000,True,9,9,True,9,9,,,,
Job,1,9,Job 1:9 bible,False,6330000,6330000,True,10,10,True,10,10,,,,
Job,1,10,Job 1:10 bible,False,6530000,6530000,True,9,9,True,9,9,,,,
Job,1,11,Job 1:11 bible,False,5640000,5640000,True,10,10,True,10,10,,,,
Job,1,12,Job 1:12 bible,False,5790000,5790000,True,10,10,True,10,10,,,,
Job,1,13,Job 1:13 bible,False,4780000,4780000,True,10,10,True,10,10,,,,
Job,1,14,Job 1:14 bible,True,4780000,4830000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Job,1,15,Job 1:15 bible,False,4960000,4960000,True,10,10,True,10,10,,,,
Job,1,16,Job 1:16 bible,False,4390000,4390000,True,10,10,True,10,10,,,,
Job,1,17,Job 1:17 bible,False,4280000,4280000,True,10,10,True,10,10,,,,
Job,1,18,Job 1:18 bible,False,4360000,4360000,True,9,9,True,9,9,,,,
Job,1,19,Job 1:19 bible,False,3710000,3710000,True,10,10,True,10,10,,,,
Job,1,20,Job 1:20 bible,False,4620000,4620000,True,10,10,True,10,10,,,,
Job,1,21,Job 1:21 bible,False,4050000,4050000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Job,1,22,Job 1:22 bible,False,2990000,2990000,True,9,9,True,9,9,,,,
Job,2,1,Job 2:1 bible,False,8720000,8720000,True,9,9,True,9,9,,,,
Job,2,2,Job 2:2 bible,False,5560000,5560000,True,9,9,True,9,9,,,,
Job,2,3,Job 2:3 bible,False,16700000,16700000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Job,2,4,Job 2:4 bible,False,7600000,7600000,True,10,10,True,10,10,,,,
Job,2,5,Job 2:5 bible,False,5650000,5650000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Job,2,6,Job 2:6 bible,False,4530000,4530000,True,10,10,True,10,10,,,,
Job,2,7,Job 2:7 bible,False,4140000,4140000,True,10,10,True,10,10,,,,
Job,2,8,Job 2:8 bible,False,4720000,4720000,True,10,10,True,10,10,,,,
Job,2,9,Job 2:9 bible,False,4310000,4310000,True,9,9,True,9,9,,,,
Job,2,10,Job 2:10 bible,True,4280000,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Job,2,11,Job 2:11 bible,False,3720000,3720000,True,9,9,True,9,9,,,,
Job,2,12,Job 2:12 bible,False,3380000,3380000,True,10,10,True,10,10,,,,
