book,chapter,verse,query,retry_applied,raw_hit_count_initial,raw_hit_count_final,has_result_initial,items_count_initial,organic_items_count_initial,has_result_final,items_count_final,organic_items_count_final,log10_raw_hit_count,z_log10_raw_hit_count,minmax_log10_raw_hit_count,fusion_score
Joel,1,1,Joel 1:1 bible,False,4150000,4150000,True,8,8,True,8,8,,,,
Joel,1,2,Joel 1:2 bible,False,7850000,7850000,True,8,8,True,8,8,,,,
Joel,1,3,Joel 1:3 bible,False,4790000,4790000,True,8,8,True,8,8,,,,
Joel,1,4,Joel 1:4 bible,True,135,4110000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Joel,1,5,Joel 1:5 bible,False,3870000,3870000,True,9,9,True,9,9,,,,
Joel,1,6,Joel 1:6 bible,False,3270000,3270000,True,9,9,True,9,9,,,,
Joel,1,7,Joel 1:7 bible,False,3100000,3100000,True,9,9,True,9,9,,,,
Joel,1,8,Joel 1:8 bible,False,3390000,3390000,True,9,9,True,9,9,,,,
Joel,1,9,Joel 1:9 bible,False,2730000,2730000,True,9,9,True,9,9,,,,
Joel,1,10,Joel 1:10 bible,False,2460000,2460000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Joel,1,11,Joel 1:11 bible,False,2190000,2190000,True,8,8,True,8,8,,,,
Joel,1,12,Joel 1:12 bible,False,2150000,2150000,True,9,9,True,9,9,,,,
Joel,1,13,Joel 1:13 bible,False,1580000,1580000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Joel,1,14,Joel 1:14 bible,False,1670000,1670000,True,9,9,True,9,9,,,,
Joel,1,15,Joel 1:15 bible,False,1750000,1750000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Joel,1,16,Joel 1:16 bible,True,0,1340000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Joel,1,17,Joel 1:17 bible,False,1360000,1360000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Joel,1,18,Joel 1:18 bible,True,201,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Joel,1,19,Joel 1:19 bible,False,945000,945000,True,9,9,True,9,9,,,,
Joel,1,20,Joel 1:20 bible,False,1160000,1160000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Joel,2,1,Joel 2:1 bible,True,135,0,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Joel,2,2,Joel 2:2 bible,False,1910000,1910000,True,8,8,True,8,8,,,,
Joel,2,3,Joel 2:3 bible,False,5540000,5540000,True,8,8,True,8,8,,,,
Joel,2,4,Joel 2:4 bible,False,2670000,2670000,True,8,8,True,8,8,,,,
Joel,2,5,Joel 2:5 bible,False,1870000,1870000,True,9,9,True,9,9,,,,
Joel,2,6,Joel 2:6 bible,False,1350000,1350000,True,9,9,True,9,9,,,,
Joel,2,7,Joel 2:7 bible,False,1170000,1170000,True,9,9,True,9,9,,,,
Joel,2,8,Joel 2:8 bible,False,1460000,1460000,True,9,9,True,9,9,,,,
Joel,2,9,Joel 2:9 bible,False,1440000,1440000,True,9,9,True,9,9,,,,
Joel,2,10,Joel 2:10 bible,False,1330000,1330000,True,9,9,True,9,9,,,,
Joel,2,11,Joel 2:11 bible,False,1070000,1070000,True,9,9,True,9,9,,,,
Joel,2,12,Joel 2:12 bible,False,1200000,1200000,True,7,7,True,7,7,,,,
Joel,2,13,Joel 2:13 bible,False,1150000,1150000,True,7,7,True,7,7,,,,
Joel,2,14,Joel 2:14 bible,False,1030000,1030000,True,9,9,True,9,9,,,,
Joel,2,15,Joel 2:15 bible,False,1100000,1100000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Joel,2,16,Joel 2:16 bible,False,772000,772000,True,9,9,True,9,9,,,,
Joel,2,17,Joel 2:17 bible,False,828000,828000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Joel,2,18,Joel 2:18 bible,False,705000,705000,True,8,8,True,8,8,,,,
Joel,2,19,Joel 2:19 bible,False,727000,727000,True,8,8,True,8,8,,,,
Joel,2,20,Joel 2:20 bible,False,806000,806000,True,9,9,True,9,9,,,,
Joel,2,21,Joel 2:21 bible,False,675000,675000,True,8,8,True,8,8,,,,
Joel,2,22,Joel 2:22 bible,False,618000,618000,True,9,9,True,9,9,,,,
Joel,2,23,Joel 2:23 bible,False,622000,622000,True,9,9,True,9,9,,,,
Joel,2,24,Joel 2:24 bible,False,661000,661000,True,9,9,True,9,9,,,,
Joel,2,25,Joel 2:25 bible,False,904000,904000,True,7,7,True,7,7,,,,
Joel,2,26,Joel 2:26 bible,False,405000,405000,True,7,7,True,7,7,,,,
Joel,2,27,Joel 2:27 bible,False,389000,389000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Joel,2,28,Joel 2:28 bible,False,779000,779000,True,6,6,True,6,6,,,,
Joel,2,29,Joel 2:29 bible,False,373000,373000,True,9,9,True,9,9,,,,
Joel,2,30,Joel 2:30 bible,False,561000,561000,True,8,8,True,8,8,,,,
Joel,2,31,Joel 2:31 bible,False,324000,324000,True,9,9,True,9,9,,,,
Joel,2,32,Joel 2:32 bible,False,388000,388000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Joel,3,1,Joel 3:1 bible,False,3340000,3340000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Joel,3,2,Joel 3:2 bible,False,1660000,1660000,True,9,9,True,9,9,,,,
Joel,3,3,Joel 3:3 bible,False,1580000,1580000,True,9,9,True,9,9,,,,
Joel,3,4,Joel 3:4 bible,False,5480000,5480000,True,8,8,True,8,8,,,,
Joel,3,5,Joel 3:5 bible,False,3420000,3420000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Joel,3,6,Joel 3:6 bible,False,1840000,1840000,True,9,9,True,9,9,,,,
Joel,3,7,Joel 3:7 bible,False,1450000,1450000,True,9,9,True,9,9,,,,
Joel,3,8,Joel 3:8 bible,False,1450000,1450000,True,9,9,True,9,9,,,,
Joel,3,9,Joel 3:9 bible,False,1240000,1240000,True,8,8,True,8,8,,,,
Joel,3,10,Joel 3:10 bible,False,1540000,1540000,True,8,8,True,8,8,,,,
Joel,3,11,Joel 3:11 bible,False,1060000,1060000,True,9,9,True,9,9,,,,
Joel,3,12,Joel 3:12 bible,False,1020000,1020000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Joel,3,13,Joel 3:13 bible,False,1080000,1080000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Joel,3,14,Joel 3:14 bible,False,1070000,1070000,True,8,8,True,8,8,,,,
Joel,3,15,Joel 3:15 bible,False,1160000,1160000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Joel,3,16,Joel 3:16 bible,False,2660000,2660000,True,8,8,True,8,8,,,,
Joel,3,17,Joel 3:17 bible,False,1070000,1070000,False,0,0,False,0,0,0.0,0.0,0.0,0.0
Joel,3,18,Joel 3:18 bible,False,876000,876000,True,8,8,True,8,8,,,,
Joel,3,19,Joel 3:19 bible,False,792000,792000,True,9,9,True,9,9,,,,
Joel,3,20,Joel 3:20 bible,False,922000,922000,True,9,9,True,9,9,,,,
Joel,3,21,Joel 3:21 bible,False,667000,667000,True,9,9,True,9,9,,,,
